logical_order,role,source,title,source_sha256,render_position,sidebar_position,expected_html,html_exists,html_sha256
1,shared,index.qmd,Environmental and behavioural determinants of the personal light exposome,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,35,1,_build/nathealth/index.html,TRUE,56d2d707fe817c6b53db48100339b8afb99a3d665ab78b74ee0b1aeba106df7c
2,shared,supplementary_information.qmd,Supplementary Information,8d013e4d37ca5ff438988e82907a26d65b98a9a47cc2d62ec3ddcd0e2b3862fa,36,2,_build/nathealth/supplementary_information.html,TRUE,47d0b7beecf5947a6ea262bf8ab2ffc2031579502ba095c33ecad17a871eb286
3,preparation,notebooks/preparation/01_import_state_alignment.qmd,"Preparation 01: Import and align light, sleep, and wear data",93869fb2fffb17474ada3126f48ad8ce788079b151840e4b362f6a7974977872,1,3,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,TRUE,e06e045282cb1ad98eb2844403f3537f09d8a44564c157783becef2f48df6373
4,preparation,notebooks/preparation/02_coverage_sample_flow.qmd,Preparation 02: Assess coverage and document sample flow,572173e119c9e8faac93fd61687d3a209d470742dbd82efe44a12ac87e6275fd,2,4,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,TRUE,98bb9540c6249ff745e5d73ca5979b623d24738121a50000fbe5785d7238129d
5,preparation,notebooks/preparation/03_reference_profiles.qmd,Preparation 03: Learn fixed time-of-day reference profiles,4ec7a6880591157eefe969e85d7b2adf7c22690fafaf434f715af944a7906504,3,5,_build/nathealth/notebooks/preparation/03_reference_profiles.html,TRUE,50e0801b86bbc3e83f975ca1e1f226038bb8a1de40f9a0880afbaa39513f9263
6,preparation,notebooks/preparation/04_metric_derivation.qmd,Preparation 04: Derive light-exposure metrics,6b7239ca32ecc6e75b993115f74fa2a42781ddded98ebf9ce94f2202777086d4,4,6,_build/nathealth/notebooks/preparation/04_metric_derivation.html,TRUE,30b0e3b21c489f7ed7cb4f89b6f1b50e608b857d756ff5d9e7a3444f2f1b83a6
7,preparation,notebooks/preparation/05_model_input_acquisition.qmd,Preparation 05: Acquire fixed questionnaire and diary inputs,184c40b45f349dc7129a86a2e8a0cf57665df7f9a82a4183ea1128b09954ad1d,5,7,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,TRUE,631750334df0c2ffbc120ef631659fb6bd86dd5612af3f3585b87ce8f6fcad5b
8,preparation,notebooks/preparation/06_model_ready_datasets.qmd,Preparation 06: Build model-ready datasets,23b201c404f3b30918d49459ce54a3155a26b758ff10872bc0be4264bd386f87,6,8,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,TRUE,e2ce93f288ea2fbf527624cd07d360da2da303a89c802e98a5d09f9e1e78440e
9,preparation,notebooks/preparation/07_example_days.qmd,Preparation 07: Inspect example days from each study site,e5b89c62b03af2e7989f76cb9578608b92420978393a7c857fd5edcc335dbcb1,7,9,_build/nathealth/notebooks/preparation/07_example_days.html,TRUE,0380fe40dfee16bcb457a65ae445fb45e9970e73b5bcee4bc2c3b45d66a0b449
10,shared,notebooks/placement_decision.qmd,Sensor-placement decision,b090bb87107f310662692db682118f339d7c404c09a45d9735af406d63a78498,8,10,_build/nathealth/notebooks/placement_decision.html,TRUE,569c11f9b7e710e8713d7316e3668a93bdf1367924849760c82835cc1df6fdbf
11,shared,notebooks/descriptives.qmd,Descriptive tables and figures,b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c,9,11,_build/nathealth/notebooks/descriptives.html,TRUE,03f9a46f1e9a13484853960c06f37189fdf259a234978e246dbae89d76c2e953
12,shared,notebooks/preregistration_deviations.qmd,Preregistration deviations and current analysis decisions,b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d,10,12,_build/nathealth/notebooks/preregistration_deviations.html,TRUE,422412caec90ee4365544b7c3515958172ca45502b0b493c8ef3847ae653ec3b
13,hypothesis_result,notebooks/hypotheses/H01.qmd,H01: Site differences in personal light exposure,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,11,13,_build/nathealth/notebooks/hypotheses/H01.html,TRUE,3a6908eee199e747d7c42e966fe16883fafd058cb16903f6fbc37c6047cf0244
