"check_id","subject","observed","required_disposition"
"BROWN-BA-M-DISPLAY-001","Frozen display source","SHA-256 4c2d18282cd222930f91edac6606fd0a98ee313c975728a0cfe372ded565c1fc; 19,620 bytes; 27 rows","The dedicated refresh may read this accepted source table and the minimum frozen display registries or constants only."
"BROWN-BA-M-DISPLAY-002","Accepted PNG baseline","SHA-256 c2c58e3c8119457975d57e94b062ddba41ca828ad4326b1e1e6ac19bb7f1151a; 350,620 bytes; 2,640 x 3,360 pixels; 300 dpi","Preserve as the recoverable preimage and use it for the exact decoded-pixel comparison."
"BROWN-BA-M-DISPLAY-003","Accepted SVG baseline","SHA-256 126acff6b1794864fc5b5797915046f884cc0890d445adc2aa437058f6d90fe0; 32,059 bytes","Preserve as the recoverable preimage and use it for the exact XML-structure comparison."
"BROWN-BA-M-DISPLAY-004","Prospective PNG candidate","SHA-256 2467061413fc1da4834eb92072598f5af46526631e573401bbe3fa874eb4695a; 348,627 bytes; 2,640 x 3,360 pixels; 300 dpi","Require exact reproduction in a fresh temporary candidate directory before promotion."
"BROWN-BA-M-DISPLAY-005","Prospective SVG candidate","SHA-256 8e5eee7e55b3e99953de87f6f00698c28903f5445db1bf01e15c662851123e8d; 32,073 bytes","Require exact reproduction in a fresh temporary candidate directory before promotion."
"BROWN-BA-M-DISPLAY-006","PNG decoded-pixel delta","58,782 changed pixels; one-based rows 91 to 133, 193 to 265, and 3,234 to 3,273; columns 751 to 2,590","Require zero changed pixels in data-panel rows 340 to 3,090 and classify every changed pixel as subtitle, legend, or footer text."
"BROWN-BA-M-DISPLAY-007","SVG structural delta","265 nodes before and after; 45 text nodes before and after; exactly five text strings changed; plot nodes before node 254 exact","Permit only the five approved text substitutions and their directly dependent legend-glyph x positions or text lengths."
"BROWN-BA-M-DISPLAY-008","Scientific mappings","27 rows, estimates, intervals, state and site order, five diamonds, three asterisks, colours, shapes, axes, facets, zero line, and site-average reference line","All mappings and geometry remain exact. No fit, prediction, contrast, p-value, interval, or multiplicity computation is permitted."
"BROWN-BA-M-DISPLAY-009","Reader label postcondition","Legend says vs zero and vs site average; subtitle says differences from zero and departures from the site average; footer says state-specific site-average estimate","No reader-visible BA-M4, BA-M6, or equal-site label remains in the refreshed display."
"BROWN-BA-M-DISPLAY-010","Candidate execution environment","R 4.6.1; data.table 1.18.4; ggplot2 4.0.3; ragg 1.5.0; svglite 2.2.2; scales 1.4.0","Record exact versions and command in the owner evidence and fail closed on candidate identity drift."
