role,path,sha256,bytes
controlling_order,audit/report_harmonization/owner_orders/39_h02_companion_target_render.md,21c0b6ca19651186955ea6fa19d7a7a033ae56774abd64fec0ed7fd25679918f,11013
preflight_evidence,audit/report_harmonization/report018_h02_companion_order39_preflight.csv,a3fcb39914d9eb7142fbc1101a7f4f360d4c9b1452aff1dca0bf0688b8ee2049,4832
report018_decision,audit/decisions/report_harmonization_render_completion_priority.md,0cb7c62806b40c1702c7fdde994d98090f0fc820abfa32205a8e58e392681ecf,4731
scheduling_override,audit/report_harmonization/report017_render_completion_scheduling_override.md,117dfedc650dc035b74978a7621cac8ef7bf14c8caf4533d0a94f7fecb1b52e0,2477
h02_source_acceptance,audit/report_harmonization/report017_h02_order33_source_independent_acceptance.md,127a25b9d95fbb41d4506cb1ed66df775ec01e40d3d3504a5980054dd7911d24,2618
h02_source_acceptance_manifest,audit/report_harmonization/report017_h02_order33_source_acceptance_manifest.csv,9bb334b78d36cbbfbd7bb53702166abcdac54b8b613a1d3262e49bc15fe0562a,2413
h02_result_acceptance,audit/report_harmonization/report018_h02_result_independent_acceptance.md,13a5121a00974e7660b7b045319c945e3c84a56a7ea13b2d72e23b16d204ab4d,4454
h02_result_acceptance_manifest,audit/report_harmonization/report018_h02_result_acceptance_manifest.csv,2fb519c24bb78a3b89a8465e56d693e574aec030755dd80ad8736a33c7ea9644,4614
supplementary_acceptance,audit/report_harmonization/report018_supplementary_information_independent_acceptance.md,2c1b25a9d96963b7e8030867117bb70b9958bc18a1918a9da7463f2245b545b2,5329
supplementary_acceptance_manifest,audit/report_harmonization/report018_supplementary_information_independent_acceptance_manifest.csv,91e79f7e4918a113769a18523d212267a426bf7215df910d2fa360a19cb99718,3695
supplementary_checker,scripts/report_harmonization/check_report018_supplementary_acceptance.R,3cdcb23cbd325f05983efeaa304bf9fdd7fb8dd47ffe3d0b22dabd84403b7ca8,6924
result_source,notebooks/hypotheses/H02.qmd,4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d,57148
companion_source,audit/hypotheses/H02/H02_analysis_preparation.qmd,92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1,55146
accepted_result_html,_build/nathealth/notebooks/hypotheses/H02.html,736dc6311e53f2b70349326ce0845cc35d23e3b68c000a300833952e81190dd9,296427
stale_companion_html,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,d02a0963d657ab5044ef30b5c081d627f8cb64d5781c7edc1d95d2d58c055dfa,580722
stale_build_companion_qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.qmd,52a1b3b85c4a375c44c0a2a83f542ea2663c7d233a6de18ed689cb2b7a0be557,51475
reader_test,tests/hypotheses/H02/test_h02_reader_report.R,479a702e7c5c52cf85e8591300a30c759da945f4c65ecb28cad67bb2e6752d3f,16545
paired_test,tests/hypotheses/H02/test_h02_paired_placement_display.R,873c43f0d863c78c22e3e0635d054f09bc521a24d618afcda134a831ac7e7d8a,3790
preparation_test,tests/hypotheses/H02/test_h02_preparation_report.R,ead7a55246a2625b1382acc302b6004892dbf7f7830285f2bae830cb0859d3f8,14895
preparation_manifest,artifacts/12_manifests/H02/H02_preparation_report_manifest.csv,c2e8c5a3b4fcebe53f3f813aa75fac6d3d960384333f59dd1b1501d90b08aaf7,12457
historical_worker_manifest,artifacts/12_manifests/H02/H02_worker_output_hashes.csv,0f3a96ab08f7fed2b59eb4a45f203297483919b3067bee560c9e239693242331,40049
analysis_manifest,artifacts/12_manifests/H02/H02_analysis_manifest.csv,cba73edc1d4974dd9a86a03513af7491aa62e8b09dbb3606895aa3af551b3804,12163
preparation_manifest_helper,scripts/hypotheses/H02/build_h02_preparation_report_manifest.R,8fb4744bce578df85ec9683ab87271bfcc0ba79fcc7d53a7d21b8b3d406c9d16,6122
held_worker_builder,scripts/hypotheses/H02/build_h02_worker_manifest.R,49e848952070c819c008066463d186e6d82f420e3157bda419b77ac0c2c84f01,3899
h02_handoff,audit/handoffs/H02_worker_handoff.md,fbb74b2ed98756e1e8eb7f4b0be14cc8ec4a1873d766c1828390ebd9f5793441,45489
profile,_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480
base_profile,_quarto.yml,44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c,2517
semantic_wrapper,scripts/report_harmonization/post_render_gt_html_semantics.R,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,21453
semantic_engine,scripts/report_harmonization/repair_gt_html_semantics.R,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,17747
supplementary_source,supplementary_information.qmd,8d013e4d37ca5ff438988e82907a26d65b98a9a47cc2d62ec3ddcd0e2b3862fa,993
supplementary_html,_build/nathealth/supplementary_information.html,a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb,49234
corpus_manifest,audit/report_harmonization/phase4_corpus_manifest.csv,bd3e06250bd981ed6ebadc3708f7dcc393c7373e738e0994e5857411eeb3fc6f,11937
site_registry,config/site_display_registry.csv,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,295
lockfile,renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493
positive_source,artifacts/11_source_data/H02/preparation_response_distribution_positive_observations.csv,22dff3af0f213b3ceaed0d5ca827da4184b662ff7d0366d592b6598b56e96842,1409727
zero_source,artifacts/11_source_data/H02/preparation_response_distribution_exact_zero_summary.csv,f2cc126a168bf8d6db3c5b13b3c6fea83030b23e7fdebff882bea1eb390f31db,244
paired_source,artifacts/11_source_data/H02/paired_placement_site_curves.csv,3bc65cdd98bb8e71c5bc6f586e0aab966a929cc6b47df25b8e6eaf1376f5c5c8,173630
