"document","table_count","current_native_gt_render","render_contract_complete","integration_complete","targeted_render_accepted","pending_labels"
"Descriptives",8,8,8,8,TRUE,""
"H01",36,36,21,0,FALSE,"tbl-h01-deviations | tbl-h01-metric-registry | tbl-h01-primary-publication-summary | tbl-h01-primary-tests | tbl-h01-primary-effects | tbl-h01-primary-site-deviation-matrix | tbl-h01-primary-site-contrasts | tbl-h01-primary-r2 | tbl-h01-chest-tests | tbl-h01-chest-effects | tbl-h01-chest-site-contrasts | tbl-h01-chest-r2 | tbl-h01-samples-primary-near-eye | tbl-h01-samples-primary-chest | tbl-h01-samples-primary-near-eye-matched | tbl-h01-samples-primary-chest-matched | tbl-h01-samples-gap-near-eye | tbl-h01-samples-gap-chest | tbl-h01-samples-gap-near-eye-matched | tbl-h01-samples-gap-chest-matched | tbl-h01-diagnostic-assessment | tbl-h01-representative-diagnostics | tbl-h01-sensitivity-classification | tbl-h01-sensitivity-support | tbl-h01-paired-placement | tbl-h01-l10-noon-support | tbl-h01-l10-noon-effects | tbl-h01-period-sensitivity | tbl-h01-scope-sensitivity | tbl-h01-marginalization | tbl-h01-influence | tbl-h01-latitude-loo | tbl-h01-participant-formulas | tbl-h01-participant-day-formulas | tbl-h01-preregistered-scope-formulas | tbl-h01-formula-manifest"
"H02",15,15,12,0,FALSE,"tbl-h02-model-deviations | tbl-h02-data-deviations | tbl-h02-near-sample | tbl-h02-near-variation | tbl-h02-near-dominance | tbl-h02-near-relevance | tbl-h02-near-windows | tbl-h02-near-diagnostics | tbl-h02-chest-sample | tbl-h02-chest-variation | tbl-h02-chest-dominance | tbl-h02-chest-relevance | tbl-h02-chest-windows | tbl-h02-chest-diagnostics | tbl-h02-sensitivity"
"H03",13,13,7,0,FALSE,"tbl-h03-overall-samples | tbl-h03-category-support | tbl-h03-primary-results | tbl-h03-omnibus | tbl-h03-near-site-factorization | tbl-h03-fixed-r2 | tbl-h03-primary-diagnostics | tbl-h03-sensitivities | tbl-h03-temporal-fit | tbl-h03-temporal-allocation | tbl-h03-temporal-diagnostics | tbl-h03-latitude-slopes | tbl-h03-formulas"
"H04",15,15,7,0,FALSE,"tbl-h04-overall-samples | tbl-h04-sample-flow | tbl-h04-category-support | tbl-h04-primary-results | tbl-h04-named-contrasts | tbl-h04-omnibus | tbl-h04-heterogeneity | tbl-h04-near-site-factorization | tbl-h04-fixed-r2 | tbl-h04-primary-diagnostics | tbl-h04-sensitivities | tbl-h04-temporal-fit | tbl-h04-temporal-allocation | tbl-h04-temporal-diagnostics | tbl-h04-formulas"
"H05",30,30,21,0,FALSE,"tbl-h05-factors | tbl-h05-formulas | tbl-h05-response-specifications | tbl-h05-near-samples | tbl-h05-near-results-a | tbl-h05-near-results-b | tbl-h05-near-adequacy-counts | tbl-h05-near-limitations | tbl-h05-near-sleep-diagnostics | tbl-h05-chest-samples | tbl-h05-chest-results-a | tbl-h05-chest-results-b | tbl-h05-chest-adequacy-counts | tbl-h05-chest-limitations | tbl-h05-chest-sleep-diagnostics | tbl-h05-mder-primary-scenarios | tbl-h05-mder-gap-scenarios | tbl-h05-mder-upper-tail | tbl-h05-mder-influence | tbl-h05-paired-f2 | tbl-h05-paired-f3 | tbl-h05-paired-f4 | tbl-h05-paired-f5 | tbl-h05-leading-sensitivities | tbl-h05-descriptive-spearman | tbl-h05-random-site-summary | tbl-h05-leave-site-summary | tbl-h05-exact-period | tbl-h05-model-deviations | tbl-h05-data-deviations"
"H06",11,0,0,0,FALSE,"tbl-h06-exact-samples | tbl-h06-fdr-adjustment | tbl-h06-primary-effects | tbl-h06-primary-site-interactions | tbl-h06-site-specific-associations | tbl-h06-gap-sensitivity-comparisons | tbl-h06-key-sensitivities | tbl-h06-influence-checks | tbl-h06-model-checks | tbl-h06-exploratory-diary-associations | tbl-h06-figure-readability-checks"
"H07",11,11,4,0,FALSE,"tbl-h07-response-specifications | tbl-h07-near-samples | tbl-h07-near-results | tbl-h07-chest-samples | tbl-h07-chest-results | tbl-h07-diagnostic-summary | tbl-h07-sensitivity-samples | tbl-h07-sensitivity-classifications | tbl-h07-model-form-sensitivities | tbl-h07-near-loso | tbl-h07-chest-loso"
"H08",15,14,10,0,FALSE,"tbl-h08-metrics | tbl-h08-formulas | tbl-h08-families | tbl-h08-primary-samples | tbl-h08-near-eye-results | tbl-h08-near-eye-predictions | tbl-h08-chest-results | tbl-h08-interactions | tbl-h08-paired-placement | tbl-h08-response-gate | tbl-h08-flagged-diagnostics | tbl-h08-site-influence | tbl-h08-gap-common-sample | tbl-h08-photoperiod-participant-summary | tbl-h08-metric-definition-sensitivities"
"H09",11,11,7,0,FALSE,"tbl-h09-metrics | tbl-h09-formulas | tbl-h09-primary-samples | tbl-h09-near-eye-results | tbl-h09-chest-results | tbl-h09-paired-placement | tbl-h09-interactions | tbl-h09-qualified-diagnostics | tbl-h09-gap-sensitivity | tbl-h09-sensitivity-summary | tbl-h09-mean-timing-sensitivity"
"H10",15,14,11,0,FALSE,"tbl-h10-formulas | tbl-h10-response-contract | tbl-h10-multiplicity | tbl-h10-main-results | tbl-h10-near-age | tbl-h10-near-sex | tbl-h10-chest-age | tbl-h10-chest-sex | tbl-h10-supported-interactions | tbl-h10-site-estimates | tbl-h10-diagnostic-counts | tbl-h10-metric-sensitivities | tbl-h10-current-mder | tbl-h10-current-mder-distribution | tbl-h10-stability"
"H11",15,14,10,0,FALSE,"tbl-h11-primary-samples | tbl-h11-global-tests | tbl-h11-near-effect-size | tbl-h11-chest-effect-size | tbl-h11-near-decomposition | tbl-h11-chest-decomposition | tbl-h11-activity-samples | tbl-h11-activity-global-comparison | tbl-h11-activity-diagnostics | tbl-h11-sensitivity-samples | tbl-h11-sensitivity-global | tbl-h11-sensitivity-decomposition | tbl-h11-diagnostic-assessment | tbl-h11-data-deviations | tbl-h11-model-deviations"
