"path","sha256","bytes","note"
"audit/report_harmonization/report018_h09_order57b_environment_stop_independent_acceptance.md","1285402d9b1a18a4c4c6d7e96884bee077d66c309d21b686381b92aa7f744749",5205,"independent environment-stop acceptance"
"scripts/report_harmonization/check_report018_h09_order57b_environment_stop.R","9a5cd08e47e647f1fe269f0e1f170ffced6d81defc58244af451a63f4e79a937",12243,"durable independent checker"
"audit/report_harmonization/report018_h09_order57b_environment_stop_owner_manifest_audit.csv","953eb4cf0c74c9c7aa3366339a0ebf405407eb1e6513ace7669da1674efcaa84",14993,"owner 42-row manifest replay"
"audit/report_harmonization/report018_h09_order57c_environment_preflight_inventory.csv","c86e87edf54c144dabb7829e988dc6eab03f53fd464e4ebfccd3bf851ed98096",2730,"elevated full-verifier output inventory"
"audit/report_harmonization/report018_h09_order57c_environment_preflight_invariant_comparison.csv","f45aa13da0a09c8e640ac364d9a53c2b38454acfb7404cf2bff5ad5a4babad30",3090,"owner-to-replay invariant comparison"
"audit/report_harmonization/report018_h09_order57c_elevated_process_inventory.csv","f84340420545a3342fb2488ebe6743a5cfc526b592c494b92b09c43f8ed4e782",252,"narrow elevated process inventory"
"audit/report_harmonization/report018_h09_order57b_environment_stop_independent_verification.csv","c9a411c3c55d46ebbea7bea06e9c0486b23c89a9fe621e6b4fc2c3e732027474",673,"independent acceptance checks"
"/private/tmp/h09-order57b-working.J2KttI/ORDER57B_FAIL_CLOSED.md","4e745700f8939559bb04bdc9cf2cede0439d779361e4904c39c9e260c260b33c",5555,"retained owner fail-closed record"
"/private/tmp/h09-order57b-working.J2KttI/verify_order57b_h09_companion.R","a6c418c70216227dd335e7de850c119db13f7bfda7f0340f88c7d81f0ecc99fa",37584,"retained unchanged order-specific verifier"
"/private/tmp/h09-order57b-working.J2KttI/order57b_fail_closed_evidence_manifest.csv","3d310e931c7210adfa7ea0717b4398b40894e41d2177e349d5f133614ae4d10b",11610,"retained owner 42-row non-circular seal"
"/private/tmp/h09-order57b-working.J2KttI/execution_gate.csv","5631a7c7e3a0c6fe7da2615054c7d830790c1e10b1ee32b721ee778c84f3a906",1145,"retained owner invocation ledger"
"audit/report_harmonization/owner_orders/57b_h09_stage3_manifest_transition_classification_and_companion_retry.md","568c439908bf219953938625eae72bd3c51fc5c10c550b1f84a0d6916bcbac44",12072,"controlling stopped order"
"audit/report_harmonization/report018_h09_order57b_dispatch_manifest.csv","598fb3598588ee5e590cf53066b41e23468d1f52464dada70b0ad3420b1c1287",6323,"controlling 36-row dispatch"
"audit/report_harmonization/report018_h09_order57a_stopped_independent_acceptance.md","153e753fbdc513e1c6c844b48a45a9bbd9dc261431da30c079c426f8730334f5",5807,"accepted 19-transition stopped disposition"
"audit/report_harmonization/report018_h09_order57a_stopped_independent_acceptance_manifest.csv","e18fd5e393ff09d9d28519da325ca859aa686bf4ae4fa3ab45c820b23c8da8a3",6166,"accepted 19-transition seal"
"scripts/report_harmonization/check_report018_h09_order57a_stop_and_downstream_replay.R","1c0320da38f205dafbddaa718fb709e1b6eb77c9fe939b7ce5aeddd0662f07a5",38322,"accepted complete downstream checker"
"audit/hypotheses/H09/report018_order57a_companion_retry/reader_manifest_mismatches_sealed.csv","7442ab696510b055a71018795cb5fa5366d0d67933b587fe17dafe81b09d191d",6215,"sealed 19 historical transition rows"
"audit/hypotheses/H09/report018_order57a_companion_retry/reader_manifest_live_audit_sealed.csv","ce02b3076d920c8417c163238143cb5d6421dd9114d4af49bf9fa72c4384c36b",34794,"sealed 87-live plus 19-historical audit"
"audit/hypotheses/H09/H09_analysis_preparation.qmd","394a976e52faf002cb2034a13353a053aae8bfda8942a79c2eb007017cae014f",51736,"current accepted companion postimage"
"_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html","4054dfc668365fdcb0d8cdedcb73900cbd3c471a1443fdcf37dfb4a1c9379d05",593181,"held companion HTML"
"notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",36970,"accepted result source"
"_build/nathealth/notebooks/hypotheses/H09.html","901fd63b45182be70ef77166c418633220a7226d86f52e14d1c79afbfc7cdd16",244127,"accepted result HTML"
"artifacts/12_manifests/H09/H09_stage3_artifacts.csv","0103aad8bf3b2424358fc139b85b95564054745b180a80d1e12c27ff72e1bef2",24678,"immutable Stage 3 manifest"
"scripts/hypotheses/H09/h09_contract.R","866b0f8736c8a25f50a3f1ce6e38c5d33d4666d4bf06031f0021ee1cb6d0b701",16374,"current H09 contract"
"artifacts/06_model_data/H09/H09_input_audit.csv","1ea3910539378434533dcaeeaee6ab613e325468d99ffd10e02bdc868a4175ed",4401,"current H09 input audit"
"scripts/hypotheses/H09/build_h09_preparation_report_manifest.R","c7a320367e0115aee221a3a6ba5228a9a27ba55f734bd07881455b3159cebf56",9753,"dedicated preparation helper"
"tests/hypotheses/H09/test_h09_preparation_report.R","9a243e391de7069179fcd0ccb7cc6813a5e779b1ae1bf7fcb52706349553dfe7",12824,"historical companion test"
"_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"accepted profile"
"renv.lock","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,"accepted lockfile"
