check_type,scenario,placement,rows,columns,detail,status
frame_equivalence,main,near_eye,17935,94,all columns and values equal to frozen H03 frame,PASS
frame_equivalence,main,chest,19512,94,all columns and values equal to frozen H03 frame,PASS
frame_equivalence,paired,near_eye,14103,94,all columns and values equal to frozen H03 frame,PASS
frame_equivalence,paired,chest,14103,94,all columns and values equal to frozen H03 frame,PASS
frame_equivalence,gap_timing_unaware,near_eye,17616,43,all columns and values equal to frozen H03 frame,PASS
frame_equivalence,gap_timing_unaware,chest,19220,43,all columns and values equal to frozen H03 frame,PASS
frame_equivalence,boundary_excluded,near_eye,15539,94,all columns and values equal to frozen H03 frame,PASS
frame_equivalence,boundary_excluded,chest,16942,94,all columns and values equal to frozen H03 frame,PASS
frame_equivalence,supported_cells_only,near_eye,17818,94,all columns and values equal to frozen H03 frame,PASS
frame_equivalence,supported_cells_only,chest,19416,94,all columns and values equal to frozen H03 frame,PASS
model_matrix_equivalence,primary_population_mean,near_eye,17935,15,response and model matrix equal at tolerance zero,PASS
model_matrix_equivalence,full_site_heterogeneity,near_eye,17935,63,response and model matrix equal at tolerance zero,PASS
model_matrix_equivalence,primary_population_mean,chest,19512,14,response and model matrix equal at tolerance zero,PASS
model_matrix_equivalence,full_site_heterogeneity,chest,19512,56,response and model matrix equal at tolerance zero,PASS
support_equivalence,category_and_site_cell,near_eye,0,0,category and site-by-category support equal at tolerance zero,PASS
support_equivalence,category_and_site_cell,chest,0,0,category and site-by-category support equal at tolerance zero,PASS
current_input_identity,glasses_one_hour_context,near_eye,19584,73,current base-manifest SHA and byte count exact,PASS
current_input_identity,chest_one_hour_context,chest,21648,73,current base-manifest SHA and byte count exact,PASS
