path,scope,role,sha256,bytes
audit/report_harmonization/owner_orders/33e_h02_fresh_baseline_order33d_continuation.md,project,order,2a5c7f6168a661928f33db939eb6c2ca1d5ff4c7edeab68319917df3e0e65f49,4121
audit/report_harmonization/report017_h02_order33e_baseline_recovery_verification.md,project,recovery_verification,3c215925a756d7900f622856ad617f120634948687b018a820adb08c05ae2e09,4367
scripts/report_harmonization/reconstruct_h02_order33_baseline_from_git_blobs.R,project,recovery_implementation,72d050737e2b294286b93080563de025ddd809a631acfb47064cf69f5acfc607,4162
audit/report_harmonization/report017_h02_order33e_fresh_baseline_inventory.csv,project,durable_recovery_inventory,0cff837c068f84fe1142f8214358bc9c75120d525d8ed36262bdf6e817a82d0d,1030
audit/report_harmonization/owner_orders/33d_h02_missing_argument_walker_and_final_verifier.md,project,controlling_predecessor_order,eb6214469a241776217e42b875a2b4e4063e7fdea072385d19487c9372915432,5131
audit/report_harmonization/report017_h02_order33d_dispatch_manifest.csv,project,controlling_predecessor_manifest,712ef5269c2d592b1956c67bb2ee8e23cdc8fcb2b12e50611479c4398d68be17,5069
notebooks/hypotheses/H02.qmd,project,preserved_result_source,4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d,57148
audit/hypotheses/H02/H02_analysis_preparation.qmd,project,preserved_companion_source,92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1,55146
tests/hypotheses/H02/test_h02_preparation_report.R,project,current_mutation_target,d7ff45696f15d7bc02e8e66adabd02ee0c1f952f71fca35280885418c6b1181b,14726
audit/hypotheses/H02/report017_order33_source_rewrite/run_h02_order33_source_audit.R,project,unchanged_complete_verifier,ce7ad12f41e728ec3faf271855b0cdf82545ca934b3b1efbaedd3f265a5a7c2a,43237
/private/tmp/H02-order33-recovered.7uqdRv/H02_order33_reconstructed_baseline_inventory.csv,external,fresh_generated_inventory,39200f8f0758390e09a25449a9262cfb6eed34bcb1d1eea832bd0662834da7e7,1088
