"document","locus","classification","current_issue","consolidated_action","scientific_preservation","verification"
"H02 result","HTML format","mandatory accessibility repair","Dense figures lack a zoom affordance","Add lightbox: true","No asset regeneration or figure-content change","YAML parse and later desktop/narrow lightbox check"
"H02 result","Opening registration record","mandatory structural repair","Two registration tables and 22 links precede the model and principal result","Move the complete anchored registration record to the late detailed analysis record and add a concise forward link from the opening scope","All table rows, IDs, links, anchors, and scientific wording preserved except approved reader labels","Two table endpoints, 22 occurrences, 18 unique anchors, and row equality"
"H02 result","Primary endpoint order","mandatory hierarchy repair","The exact-sample table appears before the proposed main figure and table","Begin the primary result with fig-h02-near-patterns and tbl-h02-near-variation; move tbl-h02-near-sample to the late detailed record","All sample values and main-output content unchanged","First figure/table endpoint assertions and endpoint set equality"
"H02 result","Complementary exact sample","optional harmonization","The chest sample table interrupts the complementary scientific narrative","Move tbl-h02-chest-sample to the late detailed record while retaining the exact sample sentence early","All sample rows and values unchanged","Table-cell equality and once-only endpoint"
"H02 result","Registration link list","mandatory hierarchy repair","The topic list is visually long","Put all exact links in a disclosure labelled Show linked registration entries by topic","All 22 links and 18 unique anchors preserved","Exact dynamic-link and central-anchor contract"
"H02 result","Multiplicity family wording","mandatory reader repair","Internal ID H02-F1-site-pattern appears in reader prose","Use the single confirmatory near-eye omnibus site-pattern test or the single confirmatory family","Test, family membership, p-value, and FDR decision unchanged","Forbidden internal-ID scan plus preserved scientific strings"
"H02 result","FDR terminology","mandatory vocabulary repair","Stale tests still expect BH wording","Use FDR in reader-facing compact language; retain the full Benjamini-Hochberg method only in technical reproducibility","No p-value or decision change","Source and later HTML FDR assertions; no visible BH abbreviation"
"H02 result","Near-eye model checks","mandatory hierarchy repair","Diagnostic figure and table dominate the primary result flow","Keep the accepted conclusion visible and place fig-h02-near-diagnostics plus tbl-h02-near-diagnostics in one disclosure","Every diagnostic value, caption, alt text, and classification preserved","Endpoint and protected-content equality"
"H02 result","Chest model checks","mandatory hierarchy repair","Diagnostic figure and table dominate the complementary result flow","Keep the accepted conclusion visible and place fig-h02-chest-diagnostics plus tbl-h02-chest-diagnostics in one disclosure","Every diagnostic value, caption, alt text, and classification preserved","Endpoint and protected-content equality"
"H02 result","Prose punctuation","mandatory style repair","Reader prose contains em dashes","Use commas, parentheses, colons, or separate sentences; retain dash glyph only as a missing-value symbol","No semantic or numeric change","Prose em-dash scan and numeric-token equality"
"H02 result","Detailed analysis record","mandatory structural repair","Exact samples, registration, and provenance are split across the report","End with one detailed analysis record containing exact samples, registration changes, linked entries, source data, and technical provenance","All endpoints and source links retained","Heading order, endpoint set, and link resolution"
"H02 companion","HTML format","mandatory accessibility repair","Dense descriptive and model-check figures lack zoom","Add lightbox: true","No figure-content change","YAML parse and later lightbox check"
"H02 companion","Opening headings","mandatory reader repair","Purpose and calculation wording is process-oriented","Use About this analysis record and Render boundary","No scientific change","Heading-order assertion"
"H02 companion","Model-frame first use","mandatory reader repair","Specialist term is used without a concise definition","Define a model frame as the exact rows and variables used for one fitted model","No analytical change","First-use text assertion"
"H02 companion","Render-side project writes","mandatory render-safety repair","dir.create and two write_csv calls rewrite accepted source-data files during render","Remove only those project-side writes; retain the in-memory display calculation and frozen source-data provenance","No input, plotted value, figure endpoint, or source-data artifact change","No-write scan, object-set comparison, and frozen CSV hashes"
"H02 companion","Render-boundary table labels","mandatory reader repair","Calculated_on_render is exposed as an underscore-separated label","Display Calculated when rendered","Underlying values unchanged","Native gt source-data equality and visible label assertion"
"H02 companion","Diagnostic and sensitivity table labels","mandatory reader repair","Question_answered, Interpretive_limit, Held_constant, and Entry_point are exposed","Use Question answered, Interpretive limit, Held constant, and Entry point","Underlying rows and values unchanged","Visible label assertions and row-order equality"
"H02 companion","Module and script table labels","mandatory reader repair","Why_separate, Entry_point, Main_outputs, and Run_when_page_renders are exposed","Use Why separate, Entry point, Main outputs, and Run when page renders","Underlying rows and paths unchanged","Visible label assertions and path-set equality"
"H02 companion","Input verification display","mandatory reader repair","PASS/FAIL states are production-oriented","Display Verified and Review needed while preserving stored status","Stored verification values unchanged","Stored-to-display mapping and identity checks"
"H02 companion","Multiplicity display","mandatory reader repair","Internal family ID is shown in settings and structure notes","Use plain single-family wording and FDR terminology","Family and decision unchanged","No internal family ID in reader display"
"H02 companion","Technical provenance","permitted structural exception","Exact filenames and commands are necessary for reproduction","Retain them only in the subordinate technical provenance section","All producing scripts, manifests, hashes, and environment details preserved","Path, command, and package token equality"
"H02 tests","Source-only and rendered branches","mandatory workflow repair","Tests require stale HTML and rendered-QMD copies before source acceptance","Add opt-in H02_REPORT_SOURCE_ONLY; default remains complete rendered branch","All scientific, endpoint, formula, value, link, and forbidden-call gates retained","R 4.6.1 source-only PASS, later full rendered PASS"
"H02 tests","Dynamic links and terminology","mandatory workflow repair","Source assertions require internal .html links and BH wording","Require relative .qmd source links, resolved .html only in rendered DOM, FDR wording, endpoint order, and absence of H02-F1-site-pattern","No source target or statistical decision change","Exact link, anchor, terminology, and order checks"
