"inventory_id","scope_root","kind","path","locator","status","sha256","bytes","observation","proposed_disposition"
"AUTH-001","central","queue_authority","audit/report_harmonization/report018_post_navigation_display_queue_2026_08_24.md","item 1","controlling","9ebb1d81ef202b420aec42d12e5de372871edec780c5f72885e18d327f0f5a36",4205,"Requires one consolidated Brown Stage 3 terminology and display package.","Preserve; use as the sole activation authority for this read-only package."
"AUTH-002","central","prior_reopening","audit/decisions/brown_adherence_ba_m_reader_label_reopening.md","BA-M reader labels","superseded_into_consolidated_package","946f5b0f5b816aee6f2c186512cffd838a1a9cbc39a0128a5476e16955b3c2a0",7136,"Authorized the pending BA-M4 and BA-M6 reader-label repair.","Preserve as authority and accept its owner postimages as the new source/display baseline."
"STATE-001","brown","accepted_source_preimage","audit/analyses/brown_adherence/language_harmonization/ba_m_reader_label_repair/preimages/13_cross_state_association_results_amendment.preimage.qmd","whole file","accepted_before_pending_BA_M_repair","2b3de9594e748f34753a03e8f0e8925e8aae8918d000cb2680392e98b7b49a43",55426,"Centrally accepted Stage 3 language source before the pending BA-M repair.","Preserve as historical preimage."
"STATE-002","brown","current_source","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd","whole file","pending_owner_PASS","ea8f639a5b58ef591bf4716928ef32db4de68b30e157e2670867a5c0ee2d9c05",55601,"Contains zero reader-facing BA-M4 or BA-M6 labels and is the controlling preimage for the new matrix.","Apply only BROWN-WINDOW-QMD-002 through QMD-019 after central dispatch."
"STATE-003","brown","accepted_html","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.html","whole file","accepted_stale_render","3ab7bdd7b86d513d66528b57cab1410de3c48902ce1386d17bca876d63a0926d",4825090,"Accepted Stage 3 HTML predates both the pending BA-M source package and the new window labels.","Freeze during source/display work; later replace only through a separately released Stage 3 render."
"STATE-004","brown","accepted_source_preimage","audit/analyses/brown_adherence/language_harmonization/ba_m_reader_label_repair/preimages/14_cross_state_association_preparation_and_provenance.preimage.qmd","whole file","accepted_before_pending_BA_M_repair","628b3f4dc54180180477d248cbb329a5fba6c92dc01190452efda47a80ff3475",24416,"Centrally accepted Stage 4 language source before immediate BA-M translations were added.","Preserve as historical preimage."
"STATE-005","brown","protected_source","audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd","whole file","pending_owner_PASS","8fc81d9b28b60a3ab28315b6e83f884e55d2f8cbcb7cb374312414b1922c9c92",25275,"Retains BA-M identifiers only in provenance, with immediate scientific translations.","Keep byte-identical in the Stage 3 window-label order."
"STATE-006","brown","accepted_html","audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.html","whole file","accepted_frozen","54e85fe7873a8b54772341ce95241e5dc93ec7ab14aef99f0b1b72773b0f5954",4341698,"Accepted Stage 4 HTML.","Keep byte-identical; no Stage 4 render."
"STATE-007","brown","linked_reader_source","audit/analyses/brown_adherence/07_results.qmd","line 394","one_exact_evening_window_use","a1c9b4662038c584d6338d0b38378ae572f27fc4ef84fa558557ff9137640cef",29588,"The only Brown-report use of evening that denotes the exact three-hour Pre-sleep window.","Apply BROWN-WINDOW-QMD-001 only; keep every ordinary clock-time evening and bibliographic title unchanged."
"STATE-008","brown","linked_reader_html","audit/analyses/brown_adherence/07_results.html","whole file","accepted_stale_render","06edb255a521cc285832dc31846de39878648856bde7ee9cbb6959f83db629c8",1374116,"Rendered linked main-analysis page containing the stale sentence.","Freeze in source/display order; require a separate serial target release if central accepts the source edit."
