check,path_or_value,sha256,bytes,status
r_version,4.6.1,,,PASS
owner_status,idle,,,PASS
companion_source,audit/hypotheses/H02/H02_analysis_preparation.qmd,92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1,55146,PASS
result_source,notebooks/hypotheses/H02.qmd,4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d,57148,PASS
accepted_result_html,_build/nathealth/notebooks/hypotheses/H02.html,736dc6311e53f2b70349326ce0845cc35d23e3b68c000a300833952e81190dd9,296427,PASS
stale_companion_html,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,d02a0963d657ab5044ef30b5c081d627f8cb64d5781c7edc1d95d2d58c055dfa,580722,PASS
stale_build_qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.qmd,52a1b3b85c4a375c44c0a2a83f542ea2663c7d233a6de18ed689cb2b7a0be557,51475,PASS
reader_test,tests/hypotheses/H02/test_h02_reader_report.R,479a702e7c5c52cf85e8591300a30c759da945f4c65ecb28cad67bb2e6752d3f,16545,PASS
paired_test,tests/hypotheses/H02/test_h02_paired_placement_display.R,873c43f0d863c78c22e3e0635d054f09bc521a24d618afcda134a831ac7e7d8a,3790,PASS
preparation_test,tests/hypotheses/H02/test_h02_preparation_report.R,ead7a55246a2625b1382acc302b6004892dbf7f7830285f2bae830cb0859d3f8,14895,PASS
preparation_manifest,artifacts/12_manifests/H02/H02_preparation_report_manifest.csv,c2e8c5a3b4fcebe53f3f813aa75fac6d3d960384333f59dd1b1501d90b08aaf7,12457,PASS
worker_manifest,artifacts/12_manifests/H02/H02_worker_output_hashes.csv,0f3a96ab08f7fed2b59eb4a45f203297483919b3067bee560c9e239693242331,40049,PASS
analysis_manifest,artifacts/12_manifests/H02/H02_analysis_manifest.csv,cba73edc1d4974dd9a86a03513af7491aa62e8b09dbb3606895aa3af551b3804,12163,PASS
manifest_helper,scripts/hypotheses/H02/build_h02_preparation_report_manifest.R,8fb4744bce578df85ec9683ab87271bfcc0ba79fcc7d53a7d21b8b3d406c9d16,6122,PASS
worker_builder,scripts/hypotheses/H02/build_h02_worker_manifest.R,49e848952070c819c008066463d186e6d82f420e3157bda419b77ac0c2c84f01,3899,PASS
profile,_quarto-nathealth.yml,80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3,7480,PASS
semantic_wrapper,scripts/report_harmonization/post_render_gt_html_semantics.R,28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205,,PASS
semantic_engine,scripts/report_harmonization/repair_gt_html_semantics.R,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1,,PASS
supplementary_html,_build/nathealth/supplementary_information.html,a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb,49234,PASS
supplementary_acceptance,audit/report_harmonization/report018_supplementary_information_independent_acceptance.md,2c1b25a9d96963b7e8030867117bb70b9958bc18a1918a9da7463f2245b545b2,5329,PASS
supplementary_acceptance_manifest,audit/report_harmonization/report018_supplementary_information_independent_acceptance_manifest.csv,91e79f7e4918a113769a18523d212267a426bf7215df910d2fa360a19cb99718,3695,PASS
positive_source,artifacts/11_source_data/H02/preparation_response_distribution_positive_observations.csv,22dff3af0f213b3ceaed0d5ca827da4184b662ff7d0366d592b6598b56e96842,1409727,PASS
zero_source,artifacts/11_source_data/H02/preparation_response_distribution_exact_zero_summary.csv,f2cc126a168bf8d6db3c5b13b3c6fea83030b23e7fdebff882bea1eb390f31db,244,PASS
target_table_endpoints,16,,,PASS
target_figure_endpoints,4,,,PASS
target_r_chunks,24,,,PASS
profile_adjacency,result_then_companion,,,PASS
build_inventory,1124_entries_823_files_301_directories,,,PASS
build_symlinks,0,,,PASS
preparation_manifest_mismatch_count,4,,,PASS
preparation_manifest_mismatch_1,_quarto-nathealth.yml,,,EXPECTED_HELD_STATE
preparation_manifest_mismatch_2,audit/hypotheses/H02/H02_analysis_preparation.qmd,,,EXPECTED_HELD_STATE
preparation_manifest_mismatch_3,notebooks/hypotheses/H02.qmd,,,EXPECTED_HELD_STATE
preparation_manifest_mismatch_4,_build/nathealth/notebooks/hypotheses/H02.html,,,EXPECTED_HELD_STATE
worker_manifest_mismatch_count,7,,,PASS
worker_manifest_mismatch_1,_build/nathealth/notebooks/hypotheses/H02.html,,,EXPECTED_HISTORICAL_STATE
worker_manifest_mismatch_2,audit/handoffs/H02_shared_change_request.md,,,EXPECTED_HISTORICAL_STATE
worker_manifest_mismatch_3,audit/hypotheses/H02/H02_analysis_preparation.qmd,,,EXPECTED_HISTORICAL_STATE
worker_manifest_mismatch_4,notebooks/hypotheses/H02.qmd,,,EXPECTED_HISTORICAL_STATE
worker_manifest_mismatch_5,tests/hypotheses/H02/test_h02_paired_placement_display.R,,,EXPECTED_HISTORICAL_STATE
worker_manifest_mismatch_6,tests/hypotheses/H02/test_h02_preparation_report.R,,,EXPECTED_HISTORICAL_STATE
worker_manifest_mismatch_7,tests/hypotheses/H02/test_h02_reader_report.R,,,EXPECTED_HISTORICAL_STATE
coordination_matrix_dispatch_evidence,audit/report_harmonization/coordination_matrix.csv,8758a136ca070df1c9660d40294bfc1bafbfa1ff35ab0e033fc87511a8a0f63e,25749,PASS
