"role","path","sha256","bytes","r_version"
"independent acceptance","audit/report_harmonization/report018_h05_order45a_integrity_stop_independent_acceptance.md","99693e99720d3ac4725a254e1ca570eb8a76f39e50f607d3c4d7ebcb2232f9df",2165,"4.6.1"
"accepted owner stop evidence","audit/hypotheses/H05/report018_order45a_companion_render/order45a_stopped_state.md","7f474471b2c221e8e66f8b67e5cbfb1b583b30da8e158de78daeb53aa65ba07b",3972,"4.6.1"
"accepted owner stop evidence","audit/hypotheses/H05/report018_order45a_companion_render/owner_evidence_manifest.csv","643931c04ff3b8ce421f36aa65c72a5ba1968c74fa45889a133afe9b7ec1bc27",4587,"4.6.1"
"accepted owner stop evidence","audit/hypotheses/H05/report018_order45a_companion_render/integrity_failure_classification.csv","7070b271dfbca49f55d34518cc185d80b0bce07d84fbda44c702716b209dcba6",454,"4.6.1"
"accepted owner stop evidence","audit/hypotheses/H05/report018_order45a_companion_render/render_execution.txt","5fc3248cb98e933f4409d1769a0a4799b006b3c1a93f2abf13f027849d854e81",827,"4.6.1"
"accepted owner stop evidence","audit/hypotheses/H05/report018_order45a_companion_render/build_inventory_prerender.csv","e938b4ff1649943491dfaf1391c618578cc00842f6e70ccce7ef616e7a613070",141429,"4.6.1"
"accepted owner stop evidence","audit/hypotheses/H05/report018_order45a_companion_render/build_inventory_postfailure.csv","e938b4ff1649943491dfaf1391c618578cc00842f6e70ccce7ef616e7a613070",141429,"4.6.1"
"accepted owner stop evidence","audit/hypotheses/H05/report018_order45a_companion_render/protected_inventory_prerender.csv","7f6cb9560ab8778d573c4e87d9040e26983230487e808d98e3969ec9050e999c",24901,"4.6.1"
"accepted owner stop evidence","audit/hypotheses/H05/report018_order45a_companion_render/protected_inventory_postfailure.csv","7f6cb9560ab8778d573c4e87d9040e26983230487e808d98e3969ec9050e999c",24901,"4.6.1"
"repaired companion source","audit/hypotheses/H05/H05_analysis_preparation.qmd","cce35a2631206945b23144abc6cba44d7297237fc60c716d0d0e3949d128ee57",77741,"4.6.1"
"accepted result source","notebooks/hypotheses/H05.qmd","7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0",74309,"4.6.1"
"accepted result HTML","_build/nathealth/notebooks/hypotheses/H05.html","a088e105be1987508280e91b938142773c8fb9275f1e924ac1ec9958a9b199f1",640855,"4.6.1"
"stale companion HTML","_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html","c44f4f77f4e2295f6b265ed9505c3c560361a7280562dd9ce1afce73149d5866",839152,"4.6.1"
"profile","_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"4.6.1"
