role,path,sha256,bytes,note
accepted_source,notebooks/descriptives.qmd,b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c,25629,unchanged accepted reader source; target render blocked before knitr
dispatch_config,_quarto-nathealth.yml,b9c10a09d525d7de37bb08f5160e37409e382df6be0af58698a8219783b84ed5,7031,unchanged Nature Health profile
stale_html,_build/nathealth/notebooks/descriptives.html,2d88888c888bc6f89374bd43753c239329bb1b9dd33f0f6e466d5cece5556ce0,2197203,unchanged pre-render HTML; not accepted for current source
startup_profile,.Rprofile,3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4,26,loads project renv activation
startup_activation,renv/activate.R,51798a35c2772b94b4a73ae7a7cc928975ff6e628a17bad1bc73d30defca82e6,39946,current activation script; not edited
environment_lock,renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,current lockfile; not edited
main_figure,artifacts/10_figures/descriptives/descriptive_overview.png,97c4e60318a9e0733da44a97cc8bd176ac4ebc85c4e41bdd40d900b32fca7248,2540471,unchanged accepted main figure
main_table_preview,artifacts/09_tables/descriptives/participant_site_characteristics_replica.png,875164c74f784554cc6878c330bf2df5c723325e99c1d92200ca4f848c840582,1171348,unchanged accepted table preview; reader-only footnote correction pending
figure_contract_input,artifacts/12_manifests/descriptives/figure_specifications.csv,f2d8e91429c3a56cb18110be3c6803033f64698abeb621dc5d3544e938d60fe1,5001,unchanged sealed display input
sample_contract_input,audit/descriptives/sample_count_contract.csv,034e449164d617431e149b9ab28867ba4cc52830620e7acd606e756de61f1dd3,492,unchanged sealed display input
site_registry,config/site_display_registry.csv,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,295,unchanged country-coded site registry
display_formatter,scripts/descriptives/build_publication_tables.R,ca9295db766fb1726201392377eaa0136bd27fad7fa00dd3dd8dff44dfd825c3,28228,current formatter containing the pending reader-only footnote text
focused_html_test,tests/report_harmonization/test_descriptives_render.R,60d5342a3742e456d29502fc51a808c0f6dcc0bcfac0e5a54dbedc56c40a09d0,5419,owned acceptance test; cannot pass until a current render exists
