"source","line","text","target","target_kind"
"index.qmd",231,"Overview of the study. (A) Study protocol, including used instruments, light logger, and sensor positions. (B) Location of the data collection sites. (C) Timing of the data collection. Sites are arranged in decreasing latitude. (D) Distribution of photoperiod (timespan from dawn until dusk) across sites. (E) Doubleplot of average daily light exposure patterns for each site and overall (black trace)","assets/Fig1.png","other"
"index.qmd",233,"Summary table of site, data collection, and participant-specific information. Sites are arranged from left to right by decreasing latitude.","assets/tbl1_red.png","other"
"index.qmd",245,"Summary table of adherence to recommendations for healthy light exposure according to Brown et al. Sites are arranged by latitude.","assets/Brown_table.png","other"
"index.qmd",299,"Model results from H2, showing the decomposition of daily light exposure patterns into an average smooth of time (A), participants (B), and site (D). Combinations of time and site are shown in panel (B). Panels A, C, and D show 95% confidence intervals as ribbons, whereas each trace in panel B indicates an individual participant. Grey shaded areas indicate average nighttimes. Red traces in panel D indicate significant deviations from the average trend of time.","assets/Fig4.png","other"
"index.qmd",323,"Summary table of model results for Hypothesis 4","assets/H4.png","other"
"index.qmd",335,"Model results from H4, showing daily light exposure patterns depending on activity and micro-environment (A), deviations from the average (B), and number of observations for a given context and time of day, e.g., the low number of sleeping participants between 12:00-20:00 (C). Panels A, and B, show 95% confidence intervals as ribbons. Grey ribbons in panel A show all other categories for direct comparison. Grey shaded rectangular areas indicate average nighttimes. Red traces in panel B indicate significant deviations from the average trend of time.","assets/Fig10.png","other"
"index.qmd",546,"Research Question 1, Hypothesis 1","RQ1.qmd","dynamic_qmd"
"index.qmd",616,"AkuffoEtAl_Dataset_2025","https://github.com/MeLiDosProject/AkuffoEtAl_Dataset_2025","external"
"index.qmd",617,"Sancho-SalasEtAl_Dataset_2025","https://github.com/MeLiDosProject/Sancho-SalasEtAl_Dataset_2025","external"
"index.qmd",618,"DidikogluEtAl_Dataset_2025","https://github.com/MeLiDosProject/DidikogluEtAl_Dataset_2025","external"
"index.qmd",619,"BaezaEtAl_Dataset_2025","https://github.com/MeLiDosProject/BaezaEtAl_Dataset_2025","external"
"index.qmd",620,"HildenEtAl_Dataset_2025","https://github.com/MeLiDosProject/HildenEtAl_Dataset_2025","external"
"index.qmd",621,"GuidolinEtAl_Dataset_2025","https://github.com/MeLiDosProject/GuidolinEtAl_Dataset_2025","external"
"index.qmd",622,"BroszioEtAl_Dataset_2025","https://github.com/MeLiDosProject/BroszioEtAl_Dataset_2025","external"
"index.qmd",623,"AertsEtAl_Dataset_2025","https://github.com/MeLiDosProject/AertsEtAl_Dataset_2025","external"
"index.qmd",624,"NilssonTengelinEtAl_Dataset_2026","https://github.com/MeLiDosProject/NilssonTengelinEtAl_Dataset_2026","external"
"index.qmd",655,"Light-exposure metrics extract specific features from personal light-exposure time series. For example, time above 250 lx melanopic EDI ($TAT_{250}$) quantifies the daily duration above the recommended threshold for daytime activation and circadian synchronization. (A) Seven diverse light-exposure profiles from similar geographical locations, all German participants, shown across five days per participant. The dashed line indicates the recommended daytime threshold. (B) Boxplots of $TAT_{250}$ for each participant, illustrating pronounced intraindividual variability in some participants and relatively stable exposure patterns in others. (C) Boxplots of $TAT_{250}$ for each of the five days, showing substantial interindividual variability within days. (D) Combined participant-by-day representation of panels B and C, with circle size indicating $TAT_{250}$. This panel visualizes both interindividual and intraindividual differences.","assets/Timeseries_to_metrics.png","other"
"index.qmd",657,"Model results from H3 and H4, showing predicted interaction effects for primary light source (left panels) and activity (right panels). Black dots indicate the predicted value for a given site, with 95% confidence intervals as colored bands. .","assets/Fig5.png","other"
"index.qmd",659,"Model results from H3, showing daily light exposure patterns depending on primary light source (A), deviations from the average (B), and number of observations for a given light source and time of day (C). Panels A, and B, show 95% confidence intervals as ribbons. Grey ribbons in panel A show all other categories for direct comparison. Grey shaded rectangular areas indicate average nighttimes. Red traces in panel B indicate significant deviations from the average trend of time.","assets/Fig9.png","other"
"index.qmd",661,"Model results from H5, showing the correlation matrix of LEBA factors by exposure metrics. Correlation coefficients and p-values are shown at every grid point. Significant values are highlighted.","assets/Fig6.png","other"
"index.qmd",663,"Model results from H6, showing daily light exposure patterns depending on daytype (A) and differences between work-days and free days (B). Ribbons show 95% confidence intervals. Grey shaded areas indicate average nighttimes. Red traces in panel B indicate significant differences between the two daytypes.","assets/Fig12.png","other"
"index.qmd",665,"Model results from H7, showing the nonlinear dependency of a given metric on photoperiod (left panels, A, C, E, G, I, K), as well as the smooth derivative of the relationship (right panels, B, D, F, H, J, L). Labels of panels H and J are deliberately cut, as no plateau was reached for these metrics.","assets/Fig14.png","other"
"index.qmd",667,"Model results from H9, showing significantly associated timing metrics with chronotype. (A) scatter plots with linear smooths of metric value against midsleep on free days (sleep corrected) $MSF_{sc}$. (B) Distribution of $MSF_{sc}$ across sites.","assets/Fig7.png","other"
"index.qmd",669,"Model results from H10, showing significantly associated metrics with age. (A) scatter plot with linear smooth of metric value against age. (B) Distribution of age across sites.","assets/Fig8.png","other"
"index.qmd",671,"Model results from H11, showing daily light exposure patterns depending on sex (A) and differences between the sexes (B). Ribbons show 95% confidence intervals. Grey shaded areas indicate average nighttimes. Red traces in panel B indicate significant differences between the sexes.","assets/Fig13.png","other"
"index.qmd",673,"Distribution of sampled photoperiod across sites shown as absolute latitude against photoperiod. The x-axis shows the photoperiod length as the duration from civil dawn until dusk. The white cone shows the possible range of photoperiods at a given (absolute) latitude. E.g., Kumasi (GH) has photoperiods between 12.5 and 13.3 hours in length, whereas Borås (SE) has photoperiods between 8.2 and 20.5 hours. The plot highlights the need and potential for future assessments across the available space.","assets/photoperiod_potential_ridges.png","other"
"index.qmd",677,"Summary table personal light exposure metrics for the glasses measurements. Sites are arranged from left to right by decreasing latitude.","assets/tbl2.png","other"
"index.qmd",679,"Model results for Hypothesis 1","assets/H1.png","other"
"index.qmd",681,"Summary table of $R^2$ for models in Hypothesis 1","assets/H1_R2_tbl.png","other"
"index.qmd",683,"Model results for Hypothesis 3","assets/H3.png","other"
"index.qmd",685,"Model results for Hypothesis 6","assets/H6.png","other"
"index.qmd",687,"Model results for Hypothesis 8","assets/H8.png","other"
"index.qmd",689,"Model results for Hypothesis 9","assets/H9.png","other"
"index.qmd",691,"Signiciant model results for Hypothesis 10","assets/H10.png","other"
"notebooks/preparation/01_import_state_alignment.qmd",599,"`pinned_downloads.csv`","../../artifacts/12_manifests/pinned_downloads.csv","other"
