"document","source_qmd","source_sha256","source_line","chunk_end_line","label","caption","label_option_count","caption_option_count","label_conforms","caption_nonempty","source_native_gt_static","native_gt_evidence","prohibited_output_calls","duplicate_caption_call","backend_specific_markup_present","local_gt_tbl_assertion","manuscript_role","source_contract_complete"
"Descriptives","notebooks/descriptives.qmd","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c",130,176,"tbl-descriptive-sample-flow","Updated descriptive sample after each fixed coverage step.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor; gt object: sample_flow_gt","",FALSE,FALSE,TRUE,"supplementary table",TRUE
"Descriptives","notebooks/descriptives.qmd","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c",220,226,"tbl-participant-site","Participant, site, collection, sleep, chronotype, and wear characteristics.",1,1,TRUE,TRUE,TRUE,"gt helper: build_participant_site_publication_gt; gt object: participant_gt","",FALSE,FALSE,FALSE,"main table",TRUE
"Descriptives","notebooks/descriptives.qmd","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c",236,243,"tbl-participant-site-manuscript","Reduced participant and site characteristics.",1,1,TRUE,TRUE,TRUE,"gt helper: build_participant_site_manuscript_publication_gt; gt object: participant_manuscript_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"Descriptives","notebooks/descriptives.qmd","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c",269,275,"tbl-near-eye-metrics","Primary near eye melEDI metric distributions overall and by site.",1,1,TRUE,TRUE,TRUE,"gt helper: build_metric_publication_gt; gt object: metric_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"Descriptives","notebooks/descriptives.qmd","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c",381,389,"tbl-recommendation-context","Fractions of primary near eye minutes in the Brown et al. light-context ranges, with explicit denominators.",1,1,TRUE,TRUE,TRUE,"gt helper: build_recommendation_publication_gt; gt object: recommendation_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"Descriptives","notebooks/descriptives.qmd","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c",436,485,"tbl-descriptive-comparison-summary","Complete cell-level comparison with the earlier manuscript-generating tables.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor; gt object: comparison_summary_gt","",FALSE,FALSE,TRUE,"supplementary table",TRUE
"Descriptives","notebooks/descriptives.qmd","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c",501,548,"tbl-descriptive-visual-export-comparison","Original and rebuilt visual exports available for side-by-side comparison.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor; gt object: visual_export_comparison_gt","",FALSE,FALSE,TRUE,"supplementary table",TRUE
"Descriptives","notebooks/descriptives.qmd","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c",557,697,"tbl-descriptive-figure-contract","Deterministic dimensions and formats for the replicated descriptive figures.",1,1,TRUE,TRUE,TRUE,"direct gt::gt constructor; gt object: figure_contract_gt","",FALSE,FALSE,TRUE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1120,1143,"tbl-h01-deviations","H01 deviations from the preregistered or otherwise expected specification.",1,1,TRUE,TRUE,TRUE,"gt helper: h01_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
"H01","notebooks/hypotheses/H01.qmd","5a3f1a03c5c83fba24f59d85d5fb949dd73162d9df9f33fde1a14a17aadda7a9",1236,1251,"tbl-h01-metric-registry","H01 response package and fitted response families.",1,1,TRUE,TRUE,TRUE,"gt helper: h01_gt","",FALSE,FALSE,FALSE,"supplementary table",TRUE
