"check","observed","expected","status","r_version","digest_version","xml2_version"
"owner manifest schema","relative_path|role|sha256|bytes|modified_utc|is_symlink|symlink_target","relative_path|role|sha256|bytes|modified_utc|is_symlink|symlink_target","PASS","4.6.1","0.6.39","1.6.0"
"owner manifest rows","98","98","PASS","4.6.1","0.6.39","1.6.0"
"owner manifest unique paths","98","98","PASS","4.6.1","0.6.39","1.6.0"
"owner manifest non-circular","0","0","PASS","4.6.1","0.6.39","1.6.0"
"owner manifest identities","98/98","98/98","PASS","4.6.1","0.6.39","1.6.0"
"owner stopped record identity","6f1d5900c51ecc9f7215ecb080d8f1cf0bc10d476e3c0baddb10610f8f8135e5/1241","6f1d5900c51ecc9f7215ecb080d8f1cf0bc10d476e3c0baddb10610f8f8135e5/1241","PASS","4.6.1","0.6.39","1.6.0"
"owner manifest identity","a9ed20cdafbc27a826574be3337e5a7769b1fff7f129bb0b12a347b490ba7ace/22521","a9ed20cdafbc27a826574be3337e5a7769b1fff7f129bb0b12a347b490ba7ace/22521","PASS","4.6.1","0.6.39","1.6.0"
"frozen current identities","8/8","8/8","PASS","4.6.1","0.6.39","1.6.0"
"sole successful render","1/0/4.6.1","1/0/4.6.1","PASS","4.6.1","0.6.39","1.6.0"
"semantic repair summary","REPAIRED/11/54/505/559","REPAIRED/11/54/505/559","PASS","4.6.1","0.6.39","1.6.0"
"semantic exact reverse and reapply","6/6","6/6","PASS","4.6.1","0.6.39","1.6.0"
"fresh HTML endpoints","11/4","11/4","PASS","4.6.1","0.6.39","1.6.0"
"fresh HTML unique IDs","0","0","PASS","4.6.1","0.6.39","1.6.0"
"table header references","505/505","505/505","PASS","4.6.1","0.6.39","1.6.0"
"nonvisual domains","16/16","16/16","PASS","4.6.1","0.6.39","1.6.0"
"visual domain classification","8/9+1","8/9+1 exact final-size failure","PASS","4.6.1","0.6.39","1.6.0"
"exact consolidated typography finding","4/4","4/4 below 7 pt","PASS","4.6.1","0.6.39","1.6.0"
"post-QA build stability","851/851/TRUE","851/851/TRUE","PASS","4.6.1","0.6.39","1.6.0"
"post-QA protected stability","176/176/TRUE","176/176/TRUE","PASS","4.6.1","0.6.39","1.6.0"
"historical Stage 3 post-render classification","96/108","96/108 with 12 expected transitions","PASS","4.6.1","0.6.39","1.6.0"
"loopback teardown","2/2","2/2","PASS","4.6.1","0.6.39","1.6.0"
