role,relative_path,sha256,bytes,status
accepted_source,notebooks/preparation/02_coverage_sample_flow.qmd,572173e119c9e8faac93fd61687d3a209d470742dbd82efe44a12ac87e6275fd,28373,ACCEPTED
render_configuration,_quarto-nathealth.yml,b9c10a09d525d7de37bb08f5160e37409e382df6be0af58698a8219783b84ed5,7031,PRESERVED
rendered_target,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,0eeb0114db9161d5bc69b9a0186bd629b302d5fec2e08dcf35e78d049f20886d,313890,ACCEPTED
render_support,_build/nathealth/search.json,fedf8b394efb2fe499b8f05168b36e202e51ca023b8016577c53b93633b36e46,1535458,ACCEPTED
render_support,_build/nathealth/sitemap.xml,fb7d35e07c77e21ea3b231276fb89711e326ed49837f5d24654fe50d4936c5f8,5219,ACCEPTED
focused_test,tests/test_preparation02_report.R,1a6fd5fb83fdefa7e7862c055fee71b6d6b9508a59b0a434b20936b51cea52c3,6169,PASS
owner_verification,audit/preparation_reports/report017_preparation02_diagram_verification.md,b1edcf7e22012c3ff6809429ef553f92d35cfb4c0a8cd6f2e0b64e1702e14f9e,9990,PASS
owner_manifest,audit/preparation_reports/report017_preparation02_diagram_manifest.csv,55298ea7f56b55a690cb7132e5f64b40202e3200bc8b58b6055c78a3c05150c0,2922,PASS
protected_verification,audit/preparation_reports/report017_preparation02_diagram_final_scoped_verification.csv,6abd7f479f283f95c94c8dd571dce1c25cdd5bd90ce7580c52ed8b7f6bbd3722,9941,PASS
deviation_link_target,_build/nathealth/notebooks/preregistration_deviations.html,c033c1b8110e58375757e8ef8ac5c5d0dbf5f402a651454b247c1a622ded6880,160936,PRESERVED
accepted_handoff,audit/handoffs/preparation_reports_worker_handoff.md,ae882eb5a3079851d29367ad1883c7a4115edaf8774e3271d69ecf7e90dc4640,31435,READ_COMPLETE
