check_id,viewport_width,viewport_height,observed,status
SEL-FV-001,1440,1000,"document client and scroll widths 1425/1425; zero page overflow; fixed right table of contents; 40/40 images complete",PASS
SEL-FV-002,708,1000,"document client and scroll widths 693/693; zero page overflow; 40/40 images complete",PASS
SEL-FV-003,390,844,"document client and scroll widths 375/375; zero page overflow; 40/40 images complete",PASS
SEL-FV-004,708,1000,"Proposed manuscript display order region 642 px client width, 1557 px scroll width; local scroll moved to 600 px while document scrollX remained zero",PASS
SEL-FV-005,708,1000,"Recommendation adherence region 642 px client width, 2233 px scroll width; local scroll moved to 700 px while document scrollX remained zero",PASS
SEL-FV-006,708,1000,"Person-level evidence region 642 px client width, 3975 px scroll width; local scroll moved to 900 px while document scrollX remained zero",PASS
SEL-FV-007,390,844,"Proposed manuscript display order region 324 px client width, 1557 px scroll width; local scroll moved to 500 px while document scrollX remained zero",PASS
SEL-FV-008,NA,NA,"exactly three local-table-scroll regions; each has role=region, a specific aria-label, tabindex=0, overflow-x auto, and exactly one direct table",PASS
SEL-FV-009,NA,NA,"browser console contained zero warnings and zero errors",PASS
SEL-FV-010,NA,NA,"served only the exact HTML from 127.0.0.1:54451; QA tab closed; viewport reset; server stopped; no listener remained",PASS
