"change_id","document","section_or_endpoint","current_wording_or_structure","replacement_wording_or_rule","reason","protected_scientific_tokens","dependent_source_check"
"BROWN-LANG-S3-001","Stage 3","YAML subtitle","Main endpoint-inflated analysis with an exploratory cross-state extension","Main Work-Free analysis with a separate exploratory cross-state extension","Lead with the scientific question and retain the exploratory hierarchy.","title; engine; format; all analysis names and values","Exact one-field YAML transition; all other YAML bytes and options unchanged."
"BROWN-LANG-S3-002","Stage 3","Opening orientation before Answer in brief","This integrated report presents the approved main Brown-adherence analysis first, followed by a separate exploratory extension; the extension asks whether Wake adherence aligns with Sleep and Pre-sleep adherence within behavioral cycles and across participants.","This report presents the [main Brown-adherence analysis](07_results.qmd) first and a separate exploratory cross-state extension second. The main analysis asks how adherence differs between Work and Free days across states and sites. The extension asks whether Wake adherence is associated with Sleep and Pre-sleep adherence within participants across behavioral cycles and between participants.","Remove workflow-status language and use the same within-participant and between-participant terms as the report body.","Work; Free; Wake; Sleep; Pre-sleep; main versus exploratory role; existing 07_results.qmd link","Exact paragraph substitution; no inline R expression touched; the relative 07_results.qmd target remains present exactly once."
"BROWN-LANG-S3-003","Stage 3","Answer in brief callout","across nine equally weighted sites; all three 95% confidence intervals excluded zero after false-discovery-rate adjustment, and the conclusions passed the at-least-80% coverage gate","for the site-average estimate, which gives each of the nine sites equal weight; all three 95% confidence intervals (95% CIs) excluded zero, all three corresponding tests met the false-discovery-rate (FDR) threshold, and the conclusions were unchanged in the at-least-80% coverage sensitivity analysis","Apply the corpus first-use vocabulary for site averaging, uncertainty, multiplicity, and sensitivity without changing the summary claim or conflating interval exclusion with multiplicity adjustment.","all three inline effects; nine sites; 95%; at least 80%; direction; exclusion of zero; three corresponding FDR-threshold decisions","All callout inline R expressions byte-identical; exact scientific numeric-token multiset unchanged; interval evidence and FDR-adjusted tests remain distinct."
"BROWN-LANG-S3-004","Stage 3","Main analysis heading and terms orientation","## Main analysis: adherence across Work and Free days, without a stable source anchor or compact vocabulary orientation","Add {#sec-brown-main-results} to the existing heading. Immediately after the scientific question, add a Terms used below callout defining site-average estimate, 95% CI, FDR adjustment, random intercept, model checks, sensitivity analysis, marginal and conditional R², and Shapley allocation using the accepted corpus definitions.","Provide one compact first-use orientation and stable anchors without changing results.","all existing headings; Work and Free; Brown state definitions; no new scientific result","Anchor unique; glossary contains the eight approved reader terms; no endpoint, code, formula, value, or link removed."
"BROWN-LANG-S3-005","Stage 3","Scientific question and selected model prose","melEDI is a light level in lux weighted for melanopic photoreception; separate coverage analysis; accepted endpoint-inflated model; reported population averages give each site equal weight","Use melanopic equivalent daylight illuminance (melEDI) as a measure of light weighted for melanopsin-related sensitivity and expressed in lux. Call the any-valid analysis the primary construction and the at-least-80% repetition the coverage sensitivity analysis. Define day type as Work versus Free. Remove accepted from the model sentence. Replace reported population averages with site-average estimates, explicitly stating that each of the nine sites receives equal weight.","Align measurement, sample, day-type, and estimand terminology with the reader corpus.","250 lx; 10 lx; 1 lx; exact 0% and 100%; Wake-start date; F3/R3/Q2/Q1/D0; State by Site by Day-type; near-eye; bedside","All thresholds, model tokens, placement roles, and state definitions exact; 38/38 inline R expressions unchanged."
"BROWN-LANG-S3-006","Stage 3","tbl-main-compact-adherence source note plus fig-main-adherence-levels, tbl-main-primary-results, and tbl-main-compact-adherence captions","equal-site average; Equal-site Brown-recommendation adherence; Equal-site adherence; Population-average Brown adherence","Use site-average estimate in the source note. Use Site-average Brown-recommendation adherence by state and day type for Figure 1; Site-average adherence and Free-minus-Work differences in the main Brown model for Table 2; Brown adherence by state, day type, and site, including the site-average estimate for Table 4.","Use one site-average term across the main reader outputs.","all six adherence estimates and CIs; Free-minus-Work effects; FDR-adjusted p-values","Endpoint IDs, source paths, alt scientific content, values, table construction, row and column order unchanged."
"BROWN-LANG-S3-007","Stage 3","tbl-main-site-interactions and surrounding prose","Tests of site variation in the main Free-minus-Work pattern; overall interaction remained after FDR adjustment","Caption becomes FDR-adjusted tests of whether the Free-minus-Work difference varies by site. Prose states that the State by Site by Day-type interaction and the Wake and Sleep site-variation tests met their FDR thresholds, while Pre-sleep did not.","Describe the interaction tests in reader terms while preserving all decisions.","all four degrees of freedom and FDR-adjusted p-values; significant statuses","Four rows, exact p-value inline expressions, endpoint and source link unchanged."
"BROWN-LANG-S3-008","Stage 3","fig-main-site-workday-adherence prose, caption, and alt text","equal-site Work-day mean; stored site-minus-equal-site contrast; accepted FDR threshold","Use site-average Work-day estimate. Explain that filled diamonds mark the seven sites whose separate deviation from that site-average estimate met its FDR threshold, and that the markers do not test the plotted adherence levels. Remove workflow-status adjectives stored and accepted where they do not add scientific meaning.","Explain the marker comparison without implying a ranking of sites.","seven marked sites; nine sites; three states; 95% CIs; pooled-model and non-causal qualifications","Figure path and endpoint exact; every country-coded site, count, marker role, CI statement, and no-ranking boundary retained."
"BROWN-LANG-S3-009","Stage 3","fig-main-site-free-work-contrasts prose, caption, and alt text","BA-M4 and BA-M6 are introduced through original/requested-here and equal-site terminology","State directly that BA-M4 tests each site-specific Free-minus-Work difference against zero, whereas BA-M6 tests whether that difference departs from the state-specific site-average Free-minus-Work estimate. State that the site-average estimate gives all nine sites equal weight and includes the indexed site. Use site-average estimate throughout caption and alt text; remove accepted and requested-here workflow language.","Separate the two inferential questions and remove workflow-history wording.","BA-M4; BA-M6; 27-member FDR family; 15.0; 6.9; 23.1; 0.004; 9.2; -15.6; -2.8; 0.042; 6.3; 3.4; 9.1; <0.001; all sites and marker roles","All numbers, countries, tests, FDR decisions, figure path, endpoint, symbol meanings, null line, and coverage result exact."
"BROWN-LANG-S3-010","Stage 3","Detailed adherence disclosure","Site cells compare each country-coded site with the equal-site average on the same day type.","Site cells compare each country-coded site with the site-average estimate for the same day type. They do not replace the separate site-specific Free-minus-Work contrasts.","Use the corpus site-average term without changing the distinction between adherence levels and day-type contrasts.","country-coded sites; same day type; separate contrasts","Disclosure title, table endpoint, table body, source path, and sentence-two scientific distinction exact."
