"path","role","sha256","bytes","status"
"notebooks/preparation/01_import_state_alignment.qmd","accepted source","74f32890d53fb39e38126764737486327cea0826d82ea3ea8e12a9cfbf1fb85a","34924","unchanged"
"_quarto-nathealth.yml","accepted profile","b9c10a09d525d7de37bb08f5160e37409e382df6be0af58698a8219783b84ed5","7031","unchanged"
"_build/nathealth/notebooks/preparation/01_import_state_alignment.html","accepted target HTML","03a18638500185707fa29b47981aeca4093d32f1d5efdcc8c54c5658df9c8465","371295","unchanged"
"_build/nathealth/search.json","accepted search index","7a3b2e48bcf53bb18da7e91c35cbe8c2fa987f7b18e027ab0e52957e0ede51e3","1535924","unchanged"
"_build/nathealth/sitemap.xml","accepted sitemap","9aa9d28fa79b8529e65c4a7c7410ad13b61ddf3b6e3caff0ad5db372ebe2bebd","5219","unchanged"
"audit/report_harmonization/report017_preparation01_loopback_desktop_top.png","desktop top viewport","34109eda3d2dac5dbdbc80aeafcea62a9be10ab3b62ce4f9101026fc4fb54ee1","189838","visual evidence"
"audit/report_harmonization/report017_preparation01_loopback_desktop_tables_01.png","desktop source tables","de904c4f02c256483f18e54129d38a29d3839eed78ff69b1d36e08744ac9d1bc","169903","visual evidence"
"audit/report_harmonization/report017_preparation01_loopback_desktop_tables_08_09.png","desktop sample tables","c8fe390d73e00b6eb33b34dcebd776b0cc98593ec79f8466416305e48a8e6495","158821","visual evidence"
"audit/report_harmonization/report017_preparation01_loopback_desktop_callout_checks.png","desktop callout and validation tables","c005bd5587159193ebcc33746e0dff1829cd67c76eb2acfe86efa317d88385ab","189939","visual evidence"
"audit/report_harmonization/report017_preparation01_loopback_desktop_bottom.png","desktop final sections","63176026c69abe22b9145eae1b8c49c4dce66beac870f0d31cdb4edb7b9be278","135786","visual evidence"
"audit/report_harmonization/report017_preparation01_loopback_narrow_top.png","narrow top and Mermaid diagram","ca14cb9288eafcd9566fa1660df69ebbd4239e29d6fd0c9434617cf9ff27a358","102494","visual evidence for RH-VIS-001"
"audit/report_harmonization/report017_preparation01_loopback_narrow_tables_01_02.png","narrow source tables","1341f5dc295459c81e54661467fe5e1bdfd701253dbf9f7033c50966b7d5a944","87893","visual evidence"
"audit/report_harmonization/report017_preparation01_loopback_narrow_tables_08_09.png","narrow sample tables","bd30c56a2d4071bcf110b54ac4df79c2299fc85b882d44118e513a84795b74d1","93535","visual evidence"
"audit/report_harmonization/report017_preparation01_loopback_narrow_callout_checks.png","narrow callout and validation tables","7b204ce68279294d2f5e1f74a394cf0ee3c82531cab5cd0941f28aecffe2d850","112945","visual evidence"
"audit/report_harmonization/report017_preparation01_loopback_narrow_bottom.png","narrow final sections","7530684544d2d7aea063939257cf61aedc400c31c498619ef6c25737a6b7e866","87977","visual evidence"
"audit/report_harmonization/report017_preparation01_loopback_desktop.png","full-page screenshot compositor diagnostic","ff3b3e5b9354ccda42c20cbabbb7106e988603b02ed339743f6218e468936e24","197075","not used for visual verdict"
