"authority","role","project_relative_path","bytes","sha256"
"central","acceptance_record","audit/report_harmonization/report018_brown_stage3_stage4_source_independent_acceptance.md",4334,"1a41eff44049194072dfcdaa58fc67a9a91802b31adf14bc31a1d9ae2bc4185f"
"central","acceptance_checker","scripts/report_harmonization/check_report018_brown_stage3_stage4_source_acceptance.R",11963,"a3d43892670ca1aac6d22d42fd0bc81d50cf3e89a7e4eeddd9a14c64b9ab1938"
"central","paired_read_only_audit","audit/report_harmonization/brown_stage3_stage4_paired_language_read_only_audit.md",9189,"4c28cebece937a0d8f34f5c1a41b3272fdfaf9c916e9cd0885fa91bc17bc44f2"
"central","language_change_matrix","audit/report_harmonization/brown_stage3_stage4_language_change_matrix.csv",29488,"4f684d62236658b3bc7ae6fdfc37984fcb2bfc727e151842144e53e83c8aafae"
"central","approved_owner_order","audit/report_harmonization/owner_orders/brown_stage3_stage4_language_harmonization_source_only_proposed_dispatch.md",9363,"d0c015860627efbdd4802fbd23f2119c74087053684d476c2e535fcc486ad345"
"central","paired_audit_checker","scripts/report_harmonization/check_brown_stage3_stage4_paired_language_audit.R",14787,"bf335549abbcf6966a09684351dfec973f63732e74bcf65877d87688d7d08d9f"
"central","paired_audit_seal","audit/report_harmonization/brown_stage3_stage4_paired_language_audit_manifest.csv",5657,"392d5d8d65cccb8281353e4c8a7c5f41a71863c9c50baa95b6f84e73315432d3"
"central","dispatch_record","audit/report_harmonization/brown_stage3_stage4_language_harmonization_dispatch.md",3293,"68308548cad52cf79b54bc39b1d458d55c4682bcd08cdbca6a627d137a3c3a97"
"central","dispatch_manifest","audit/report_harmonization/brown_stage3_stage4_language_harmonization_dispatch_manifest.csv",3565,"f01accf5db22b4e1e8d92e0c40cb605ec51618e750870660b1f7bd41556c7dab"
"central","dispatch_receipt","audit/report_harmonization/brown_stage3_stage4_language_harmonization_dispatch_receipt.md",1353,"a9c572ca4ecc42924cad0ea8cbee975865dddf37d89100d69ff05eba7e90cf35"
"central","dispatch_receipt_seal","audit/report_harmonization/brown_stage3_stage4_language_harmonization_dispatch_receipt_manifest.csv",992,"9fbfa85f4a4a0f9bcd138bda5eaa19b49c69c42c0d768b06a1fdd1ea767ae280"
"brown","stage3_qmd","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",55426,"2b3de9594e748f34753a03e8f0e8925e8aae8918d000cb2680392e98b7b49a43"
"brown","stage4_qmd","audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",24416,"628b3f4dc54180180477d248cbb329a5fba6c92dc01190452efda47a80ff3475"
"brown","owner_source_verifier","audit/analyses/brown_adherence/language_harmonization/01_verify_stage3_stage4_source_harmonization.R",49667,"1819c29ee644886b2a0c1f17ee27a2c45e2f006210e7917463dffb6360a33fc0"
"brown","owner_handoff","audit/analyses/brown_adherence/language_harmonization/brown_stage3_stage4_language_harmonization_handoff.md",2361,"9fce5e71a270eda25e62d557bbecb3862fdd3c197c647b5ff0ff11e8f938bb02"
"brown","owner_source_manifest","audit/analyses/brown_adherence/language_harmonization/source_only/source_only_final_manifest.csv",3659,"bfa16d787640a698e453e4b2b657bf531735ae6a15f705d92162a5671cf07b46"
"brown","verification_results","audit/analyses/brown_adherence/language_harmonization/source_only/verification_results.csv",1753,"adb249ac6922a83280f7261dfd4792f6320a5e8d4174dab0c50a23c19473d012"
"brown","language_change_ledger","audit/analyses/brown_adherence/language_harmonization/source_only/language_change_ledger.csv",30020,"ac4311fc6c861dd0b6f58dc3aa23d492e3c1fe9e266fe1fc6c9250b41840d0ec"
"brown","historical_member_preservation","audit/analyses/brown_adherence/language_harmonization/source_only/historical_manifest_member_preservation.csv",65599,"a46a34050a22a07ad4a7b25a0c1b52986772110d2a22ffb1318b80a1e2894c65"
"brown","reverse_reconstruction_proof","audit/analyses/brown_adherence/language_harmonization/source_only/reverse_reconstruction_proof.csv",885,"65da1a91ebbd8c474572394fbfc7e0cd61804b339ebb1f46a08501b35206bfed"
"brown","link_target_inventory","audit/analyses/brown_adherence/language_harmonization/source_only/link_target_inventory.csv",10053,"2baad9940c67da2b5b5996db2cc47c8263b060b395690935900ab8af66327556"
"brown","stage3_html","audit/analyses/brown_adherence/13_cross_state_association_results_amendment.html",4808772,"9a4f89f2291eaa8926a429a1e12acdc4d7de8d9ca47d37db5801fbd4d5b35fe0"
"brown","stage4_html","audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.html",4340432,"c32f4a20da7533e1ae722b0bbad6b4e822889ac14bbbddf0ef0303a8ea1e9f3f"
"brown","stage3_accepted_manifest","audit/analyses/brown_adherence/stage3_cross_state_association/integrated_report_amendment/site_free_work_vs_equal_site_inference_amendment/plot_note_clipping_recovery/fallback_candidate_recovery/final_manifest.csv",44950,"69033a670469ba3c511afdd0dce0caa9cf55bc946af548d795584043442e3a21"
"brown","stage4_accepted_manifest","audit/analyses/brown_adherence/stage4_cross_state_association/stage4_final_manifest.csv",54203,"80490b61df19ba5f20fdcb013fea6e6de3d28a337fae1db30aa0f7b7fcf040c2"
"brown","stage4_manifest_verification","audit/analyses/brown_adherence/stage4_cross_state_association/stage4_final_manifest_verification.csv",29804,"60c582410460ac4f48a5ff8ff6498a96c5876ab286724395037073453690de38"
"brown","brown_lockfile","renv.lock",603493,"3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350"
