evidence_id,evidence_type,target,historical_sha256,current_sha256,historical_bytes,current_bytes,rows,columns,status,interpretation
H02-39A-IN-001,input_transition,artifacts/06_model_data/base/metrics_glasses_30_minute_context.rds,afa5a23308744ae495ef07a521c99e11bd7296aa855c5cb773f71f2b68eeb8e5,85a927003c54821ae9ed5d9b4266e07f75488c743b570ec67b48a14ecfa88920,399328,399680,39168,72,PASS_PROVENANCE_ONLY,current 30-minute near-eye input reconstructs the frozen H02 frames exactly
H02-39A-IN-002,input_transition,artifacts/06_model_data/base/metrics_chest_30_minute_context.rds,01a4a85e5ead5b30219f969c64d50b94a2bebf84b60cc4006badbc3c3c9513a2,b2c0290c3eff5ef5ae5e92af6d8c693043f3ad0409392e80652e97ffcac8ef15,436728,437084,43296,72,PASS_PROVENANCE_ONLY,current 30-minute chest input reconstructs the frozen H02 frames exactly
H02-39A-IN-003,input_transition,artifacts/12_manifests/base_model_data_artifacts.csv,142d1044dd7e6a566e45e3a5c56033b1e8251e100c0d7c7523564c824950a0e4,8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce,10273,10273,,,PASS_PROVENANCE_ONLY,current base manifest verifies both current 30-minute inputs with PASS
H02-39A-IN-004,input_transition,index.qmd,aa24170aa24cb6a39f2a1e3cf6d33ead9d1a20c6cfe2860674d20802ca28ec9e,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,,91250,,,PASS_DISPLAY_ONLY,accepted order 00b changed one internal link target and reverse substitution reproduces the historical identity
H02-39A-FR-001,frame_equivalence,main__glasses__all_available,,8420e7a5c1d1b89eda29807abf1c339c5d3b43095ae5d297ebed85f13f6de11e,,356660,37756,26,PASS_EXACT,"names, rows, and every column value are identical"
H02-39A-FR-002,frame_equivalence,main__chest__all_available,,5826c426d127c096a381e4b894c514b95552672fa12b59b28d6fd26c9b655c90,,398764,41842,26,PASS_EXACT,"names, rows, and every column value are identical"
H02-39A-FR-003,frame_equivalence,main__glasses__paired_common_sample,,4c69dc4219220662628377fe2d9e71195f65080409c300eedd48be64464238b1,,287936,29786,26,PASS_EXACT,"names, rows, and every column value are identical"
H02-39A-FR-004,frame_equivalence,main__chest__paired_common_sample,,a5ab949b605e7fb0730baea601b2fedecd469231435e97a34199ea4873a71c67,,290760,29786,26,PASS_EXACT,"names, rows, and every column value are identical"
H02-39A-MF-001,manifest_verification,glasses_30_minute_context,,85a927003c54821ae9ed5d9b4266e07f75488c743b570ec67b48a14ecfa88920,,399680,39168,72,PASS,current base manifest row is exact
H02-39A-MF-002,manifest_verification,chest_30_minute_context,,b2c0290c3eff5ef5ae5e92af6d8c693043f3ad0409392e80652e97ffcac8ef15,,437084,43296,72,PASS,current base manifest row is exact
H02-39A-CT-001,prospective_contract,scripts/hypotheses/H02/h02_contract.R,76a72eb8a164f93756796ac593c76c09d5aff983167861ae39efac45974ee025,48fef63abda50e1189b019254d56d588d539c40a984fde66502ec468878c72f0,11946,11946,,,PASS,"exactly four hash substitutions, exact reverse proof, full H02 contract test passes"
