"document","proposed_main_table","current_source_components","current_gt_status","required_gt_action","quarto_caption_owner","analysis_boundary","current_render_target","later_delivery_target"
"Descriptives","tbl-participant-site","tbl-participant-site","native gt in current targeted HTML","Retain native gt; simplify title/footnote hierarchy only after approval.","Quarto tbl-cap only","Preserve accepted participant/site prepared data, values, missingness, and row/column order.","HTML","Submission DOCX when configured and approved"
"H01","tbl-h01-primary-publication-summary","tbl-h01-primary-publication-summary","native gt in current targeted HTML","Retain native gt and accepted p-value/sample formatting.","Quarto tbl-cap only","Preserve stored primary publication-summary rows and all intervals/samples.","HTML","Submission DOCX when configured and approved"
"H02","tbl-h02-near-variation","tbl-h02-near-variation","native gt in current targeted HTML","Retain native gt; clarify ratio definitions in targeted notes.","Quarto tbl-cap only","Preserve accepted variation and participant-to-site ratio values/order.","HTML","Submission DOCX when configured and approved"
"H03","tbl-h03-primary-results","tbl-h03-primary-results","native gt in current targeted HTML","Retain native gt; change only approved reader labels and notes.","Quarto tbl-cap only","Preserve accepted interaction-model estimands, intervals, units, and missing category.","HTML","Submission DOCX when configured and approved"
"H04","tbl-h04-primary-results","tbl-h04-primary-results","native gt in current targeted HTML","Retain native gt; change only approved reader labels and notes.","Quarto tbl-cap only","Preserve accepted estimands and the additive display-only status of Other/unspecified.","HTML","Submission DOCX when configured and approved"
"H05","tbl-h05-near-results","tbl-h05-near-results-a | tbl-h05-near-results-b","both current components are native gt","Implement one logical continued gt table with a shared caption/note hierarchy and repeated headers.","Quarto tbl-cap only; continuation does not create a competing caption","Preserve all 68 accepted associations, multiplicity status, row order, and four unfit cells.","HTML","Submission DOCX when configured and approved"
"H06","tbl-h06-primary-effects","primary-effects","native gt in current targeted HTML; identifier is nonconforming","Retain native gt and rename the cell to tbl-h06-primary-effects; preserve the displayed object.","Quarto tbl-cap only","Preserve accepted HC3 intervals, ratios, test family, and row order.","HTML","Submission DOCX when configured and approved"
"H07","tbl-h07-near-results","tbl-h07-near-results","native gt in current targeted HTML","Retain native gt; use approved plain classification labels with formal method in a note.","Quarto tbl-cap only","Preserve derivative method, classifications, endpoint values, intervals, and order.","HTML","Submission DOCX when configured and approved"
"H08","tbl-h08-near-eye-results","tbl-h08-near-eye-results","native gt in current targeted HTML","Retain native gt and group/annotate the mixed effect scales semantically.","Quarto tbl-cap only","Preserve accepted differences, percent changes, intervals, p-values, and samples.","HTML","Submission DOCX when configured and approved"
"H09","tbl-h09-near-eye-results","tbl-h09-near-eye-results","native gt in current targeted HTML","Retain native gt and expand abbreviations through labels/notes.","Quarto tbl-cap only","Preserve instrument-specific signed-hour effects, intervals, p-values, samples, and order.","HTML","Submission DOCX when configured and approved"
"H10","tbl-h10-main-results","new display-only selection from artifacts/09_tables/H10/H10_primary_main_results.csv","not yet implemented","Create a native gt table from the 11 accepted stored rows; detailed current gt tables remain supplemental.","Quarto tbl-cap only","Selection and display formatting only; no recalculation, reclassification, or changed family.","HTML","Submission DOCX when configured and approved"
"H11","tbl-h11-global-tests","tbl-h11-near-global | tbl-h11-chest-global","both current components are native gt","Create one two-row native gt table from the accepted stored global-test rows.","Quarto tbl-cap only","Preserve accepted near-eye/chest test values, roles, p-values, and sample notes.","HTML","Submission DOCX when configured and approved"
