role,project_relative_path,bytes,sha256
controlling_order68,audit/report_harmonization/owner_orders/68_nature_health_manuscript_html_docx_production_render.md,11475,c6878872e2bb533d203f3a352134f5bc91e9bef3c647c406b4204118a1f8d118
order68_dispatch_manifest,audit/report_harmonization/report018_order68_manuscript_render_dispatch_manifest.csv,3588,a735d6e4f692d3f180b952284d9e158e9cb12207b494a1db5917cf718c92d813
order68_dispatch_receipt,audit/report_harmonization/report018_order68_manuscript_render_dispatch_receipt.md,1363,ace24e49c9122ff0fcd128ccbdf7ea1bba8ffb48e2969b41c18d296f21ce16a8
raw_canonical_html,manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown.html,30864003,c9156f078af52713a71a58adda545e03687a8b206d164d4d548b93ebae9732ee
raw_html_evidence,audit/manuscript_nature_health/final_production_render_2026_09_02/failed_render_ZaunerEtAl2026_NatHealth_phase3_brown.html,30864003,c9156f078af52713a71a58adda545e03687a8b206d164d4d548b93ebae9732ee
raw_canonical_docx,manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown.docx,9872181,b8eeca31794e06c7c2ec2d6a474ae812b77b2b8c2dcadf7d341e3b6178430cdd
raw_docx_evidence,audit/manuscript_nature_health/final_production_render_2026_09_02/raw_quarto_ZaunerEtAl2026_NatHealth_phase3_brown.docx,9872181,b8eeca31794e06c7c2ec2d6a474ae812b77b2b8c2dcadf7d341e3b6178430cdd
preimage_html,audit/manuscript_nature_health/final_production_render_2026_09_02/preimage_ZaunerEtAl2026_NatHealth_phase3_brown.html,30528489,498bc0ad5e9d08841f48411e290ae7ec8912a7af89c8fa8397c44d3f46864d99
preimage_docx,audit/manuscript_nature_health/final_production_render_2026_09_02/preimage_ZaunerEtAl2026_NatHealth_phase3_brown.docx,52450,d3ffb9abb583d91d4dffffea69fce870987b59494c76c462f9dfa53b1bf53a02
historical_repair_script,audit/manuscript_nature_health/final_serial_render_2026_09_01/repair_mixed_gt_semantics.R,7275,30fe707420758a2f0207c4601bb8343e3d63ae2b1bf6965aa05469283af8f0b1
semantic_engine,scripts/report_harmonization/repair_gt_html_semantics.R,17747,7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1
stopped_validator,audit/manuscript_nature_health/final_production_render_2026_09_02/verify_final_html.R,6522,285c0edaa3b98eb7fffa298b4f50fd76fb47daa266f156b0407730d28ea1804c
independent_checker,scripts/report_harmonization/check_report018_order68_raw_semantic_stop.R,15194,b442ff754810d156f704843d0c3d1565782a39d8ee5e411399a320323d24c9f9
independent_checks,audit/report_harmonization/report018_order68_raw_semantic_stop_checks.csv,2759,0f3e557eef242b45674e93e8a3651b7f20d299ad1d6ffd3e39d01440ae477969
independent_acceptance,audit/report_harmonization/report018_order68_raw_semantic_stop_independent_acceptance.md,3836,d349ff17de984bbb1140995c2e170a2a1f20c71bc825685203f32b000a2c1b84
historical_accepted_precedent,audit/manuscript_nature_health/final_serial_render_2026_09_01/completion_record.md,3126,7a14948c2d5c31b5e62c9fb39385f9f284f4ef32f6ba1cf195b1f682ba2c2c05
