"check","observed","expected","status","r_version","digest_version","xml2_version"
"owner manifest columns","scope|path|sha256|bytes","scope|path|sha256|bytes","PASS","4.6.1","0.6.39","1.6.0"
"owner manifest rows","108","108","PASS","4.6.1","0.6.39","1.6.0"
"owner manifest paths unique","108","108","PASS","4.6.1","0.6.39","1.6.0"
"owner manifest non-circular","0","0","PASS","4.6.1","0.6.39","1.6.0"
"owner manifest live identities","108","108","PASS","4.6.1","0.6.39","1.6.0"
"identity: audit/hypotheses/H07/report018_order52_result_render/ORDER52_COMPLETION.md","27c341dd1ed2bae0e260f4f804a5b41e6f30f39fd0c4c615494400fe7e3b90c8/1125","27c341dd1ed2bae0e260f4f804a5b41e6f30f39fd0c4c615494400fe7e3b90c8/1125","PASS","4.6.1","0.6.39","1.6.0"
"identity: audit/hypotheses/H07/report018_order52_result_render/order52_evidence_manifest.csv","5a5a7c2e898080cf21cafaa6d088ae92b147c7fd6be160c3cfe9925d79f79221/20133","5a5a7c2e898080cf21cafaa6d088ae92b147c7fd6be160c3cfe9925d79f79221/20133","PASS","4.6.1","0.6.39","1.6.0"
"identity: notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226/45440","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226/45440","PASS","4.6.1","0.6.39","1.6.0"
"identity: audit/hypotheses/H07/H07_analysis_preparation.qmd","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b/49762","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b/49762","PASS","4.6.1","0.6.39","1.6.0"
"identity: _build/nathealth/notebooks/hypotheses/H07.html","7814860467f71311c56e22960e757059524ccc3890b0721708eda7a5c661ab40/265730","7814860467f71311c56e22960e757059524ccc3890b0721708eda7a5c661ab40/265730","PASS","4.6.1","0.6.39","1.6.0"
"identity: _build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html","53c261b88b5d10238e18e33323ad705c61c92215c040fc84880385cdc434fd2f/641597","53c261b88b5d10238e18e33323ad705c61c92215c040fc84880385cdc434fd2f/641597","PASS","4.6.1","0.6.39","1.6.0"
"identity: _quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3/7480","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3/7480","PASS","4.6.1","0.6.39","1.6.0"
"identity: renv.lock","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350/603493","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350/603493","PASS","4.6.1","0.6.39","1.6.0"
"identity: tests/hypotheses/H07/test_h07_stage3_reader_report.R","84e96a523bf1d9051be8abe3cabbef9837dfe98ab978a30bd846d0f2d728cd17/8435","84e96a523bf1d9051be8abe3cabbef9837dfe98ab978a30bd846d0f2d728cd17/8435","PASS","4.6.1","0.6.39","1.6.0"
"identity: tests/hypotheses/H07/test_h07_preparation_report.R","89fd3eaa2f4f9928234280844e480ff5b863e104366af17675fe36366c456558/12912","89fd3eaa2f4f9928234280844e480ff5b863e104366af17675fe36366c456558/12912","PASS","4.6.1","0.6.39","1.6.0"
"semantic disposition","REPAIRED","REPAIRED","PASS","4.6.1","0.6.39","1.6.0"
"semantic counts table/id/headers/total","11/154/361/515","11/154/361/515","PASS","4.6.1","0.6.39","1.6.0"
"semantic final HTML identity","7814860467f71311c56e22960e757059524ccc3890b0721708eda7a5c661ab40","7814860467f71311c56e22960e757059524ccc3890b0721708eda7a5c661ab40","PASS","4.6.1","0.6.39","1.6.0"
"semantic ledger rows","515","515","PASS","4.6.1","0.6.39","1.6.0"
"semantic ledger attribute counts","361/154","361/154","PASS","4.6.1","0.6.39","1.6.0"
"semantic reverse audit","6/6","6/6","PASS","4.6.1","0.6.39","1.6.0"
"semantic invariance audit","7/7","7/7","PASS","4.6.1","0.6.39","1.6.0"
"unique main element","1","1","PASS","4.6.1","0.6.39","1.6.0"
"duplicate document IDs","0","0","PASS","4.6.1","0.6.39","1.6.0"
"native gt tables","11","11","PASS","4.6.1","0.6.39","1.6.0"
"H07 figure endpoints","2","2","PASS","4.6.1","0.6.39","1.6.0"
"table header tokens","965","965","PASS","4.6.1","0.6.39","1.6.0"
"table header token resolution","TRUE","TRUE","PASS","4.6.1","0.6.39","1.6.0"
"table endpoint audit","11/11","11/11","PASS","4.6.1","0.6.39","1.6.0"
"figure endpoint audit","2/2","2/2","PASS","4.6.1","0.6.39","1.6.0"
"nonvisual audit","15/15","15/15","PASS","4.6.1","0.6.39","1.6.0"
"visual audit","3/3","3/3","PASS","4.6.1","0.6.39","1.6.0"
"post-QA inventory stability","2/2","2/2","PASS","4.6.1","0.6.39","1.6.0"
"loopback lifecycle","0/8","8/8","PASS","4.6.1","0.6.39","1.6.0"
"independent reader test","H07 Stage 3 reader-report checks passed.","exit 0 and pass marker","PASS","4.6.1","0.6.39","1.6.0"
