role,relative_path,sha256,bytes,status
controlling_order,audit/report_harmonization/owner_orders/21_h06_daily_baked_figure_labels.md,30fa855f2039002bb24a06a4ce905c48ab000effc261f29957330275d2afc95f,4679,PINNED
independent_checker,scripts/report_harmonization/check_h06_daily_order21_display.R,e7648a13494f396512f3cd9481b08db6e964968635a6c3adbd24accd3d06b88d,3667,PASS
owner_refresh_script,scripts/hypotheses/H06_daily/refresh_h06_daily_stage3_site_deviation_labels.R,6ecdf76296fca9f479a06d319274cc6c5d03366867e0f69c5c8b15845013ab8d,7436,ACCEPTED
refreshed_png,artifacts/10_figures/H06_daily/H06_daily_stage3_primary_site_deviations.png,a1ddd2ae719d5a6ab11c1c591801d4b4aa7cb06f9eb0bcad7c983d8024fd86e1,476355,ACCEPTED
frozen_figure_source,artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_deviation_figure.csv,12193a0a1795fe478bf4829a3986c2b1290510038e4c4aed59aa7e61714bcbcc,85705,PRESERVED
site_display_registry,config/site_display_registry.csv,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,295,PRESERVED
stage3_qmd,notebooks/hypotheses/H06_daily.qmd,01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08,65344,PRESERVED
stage4_qmd,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,ef4fde67d5dd2ebbb14deb76c025b5ac2ac9b6a34f7b34ca62c2fdb382bde709,35409,PRESERVED
protected_inventory,audit/hypotheses/H06_daily/H06_daily_stage3_site_deviation_label_refresh_protected_inventory.csv,eb61d5bb9a727c1ac84fa7db0eb81c416bbe0d6d16e5844f8cdb51b3f658e3a4,6652,PASS
visual_qa,audit/hypotheses/H06_daily/H06_daily_stage3_site_deviation_label_refresh_visual_qa.csv,976f7e7f1381392fb3f9fb6afaaa48eab8577a4adb9a5323bc54f51b246316a5,2272,PASS
owner_audit,audit/hypotheses/H06_daily/H06_daily_stage3_site_deviation_label_refresh_audit.md,aac2a7112efe8a0fe1a5c0dce9272665d0af7e64a75daa28bc6872af76127497,6546,PASS
owner_manifest,artifacts/12_manifests/H06_daily/H06_daily_stage3_site_deviation_label_refresh_manifest.csv,34958c709e575381e164fb4061d2e4b4bdead00295e2bf664ca611a84a3b2b32,3130,PASS
protected_svg,artifacts/10_figures/H06_daily/H06_daily_stage3_primary_site_deviations.svg,b23f9a6838c2ecc476bdb5e68c203e0c7a85d05479a65841f75ee02d21e20b1c,72789,PRESERVED
historical_alt_text,artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_deviation_figure_alt_text.csv,a8be1b85d4c0c98922b98080148dcd87b43a28a3ee1fe6a1c55b979c1791200f,794,PRESERVED
nature_health_config,_quarto-nathealth.yml,b9c10a09d525d7de37bb08f5160e37409e382df6be0af58698a8219783b84ed5,7031,PRESERVED
