check,observed,expected,status
owner stopped-state seal,58/58 exact; unique=TRUE; non-circular=TRUE,58/58 exact; unique=TRUE; non-circular=TRUE,PASS
order 60 dispatch seal,30/30 exact,30/30 exact,PASS
complete H11 preflight seal,28/28 exact,28/28 exact,PASS
fixed order 60 stop identities,10/10 exact,10/10 exact,PASS
sole render execution,rows=1 attempt=1 exit=1 stage=knitr completed all 53 cells and emitted H11.knit.md,rows=1 attempt=1 exit=1 after 53 cells,PASS
render failure classification,5/5 required tokens,5/5 required tokens,PASS
build tree unchanged,byte_equal=TRUE rows=1180 files=871 directories=309 symlinks=0,byte_equal=TRUE rows=1180 files=871 directories=309 symlinks=0,PASS
protected state unchanged,byte_equal=TRUE live_exact=336/336,byte_equal=TRUE live_exact=336/336,PASS
scientific assets,193/193 exact,193/193 exact,PASS
result companion sensitivity and environment pins,8/8 exact,8/8 exact,PASS
semantic hook did not run,sealed_rows=0 live_entries=0,sealed_rows=0 live_entries=0,PASS
owner process teardown,rows=1 matches=0,rows=1 matches=0,PASS
Quarto Sass-cache routing,bundle_exact=TRUE fragments=7/7,bundle_exact=TRUE fragments=7/7,PASS
existing user-owned Sass database,exists=TRUE bytes=36864 owner_uid=501 wal=FALSE shm=FALSE,exists=TRUE bytes=36864 owner=current_user wal=FALSE shm=FALSE,PASS
