"change_id","document_or_artifact","exact_location","current_text_or_literal","approved_replacement","preservation_contract"
"BROWN-BA-M-001","Stage 3 QMD","Figure 3 orientation paragraph","@fig-main-site-free-work-contrasts shows all 27 site-specific contrasts.\n`BA-M4` tests each site-specific Free-minus-Work difference against zero,\nwhereas `BA-M6` tests whether that difference departs from the state-specific\nsite-average Free-minus-Work estimate shown by the blue line. The site-average\nestimate gives all nine sites equal weight and includes the indexed site.","@fig-main-site-free-work-contrasts shows all 27 site-specific contrasts.\nEach site-specific Free-minus-Work difference was tested against zero and\nagainst the state-specific site-average Free-minus-Work estimate shown by the\nblue line. Orange diamonds identify FDR-retained differences from zero, whereas\nblack asterisks identify FDR-retained departures from the site-average\nestimate. The site-average estimate gives all nine sites equal weight and\nincludes the indexed site.","All 27 contrasts, both comparison questions, marker roles, equal weighting, indexed-site inclusion, endpoint, and surrounding links remain exact."
"BROWN-BA-M-002","Stage 3 QMD","Figure 3 localization paragraph","Three BA-M6 contrasts passed the 27-member FDR family.","Three departures from the site-average estimate passed the 27-member FDR family.","All three localizations, estimates, intervals, FDR-adjusted p-values, coverage conclusions, and following sentences remain byte-identical."
"BROWN-BA-M-003","Stage 3 QMD","Figure 3 caption","Orange filled diamonds mark the five BA-M4 contrasts that differed from zero after their FDR adjustment. Black asterisks mark the three BA-M6 contrasts that differed from the state-specific site-average Free-minus-Work estimate after adjustment across the 27-member family.","Orange filled diamonds mark the five site-specific contrasts that differed from zero after their FDR adjustment. Black asterisks mark the three contrasts that differed from the state-specific site-average Free-minus-Work estimate after adjustment across the 27-member family.","Caption role, five and three retained markers, 27-member family, null and reference lines, pooled-model qualification, endpoint, and figure path remain exact."
"BROWN-BA-M-004","Stage 3 QMD","Figure 3 accessible description","Five orange diamonds identify BA-M4 differences from zero. Three black asterisks identify BA-M6 differences from the site-average estimate: Wake in Dortmund, Wake in Madrid, and Sleep in Kumasi. Other estimates use open circles unless they carry only the orange BA-M4 marker.","Five orange diamonds identify site-specific Free-minus-Work differences from zero. Three black asterisks identify departures from the site-average Free-minus-Work estimate: Wake in Dortmund, Wake in Madrid, and Sleep in Kumasi. Other estimates use open circles unless they carry only the orange difference-from-zero marker.","All states, country-coded sites, symbols, interval and line descriptions, and accessible content remain exact apart from the three terminology substitutions."
"BROWN-BA-M-005","Stage 3 figure builder and dedicated refresh","Figure 3 legend factor literals","BA-M4 FDR p ≥ 0.05 [6 exact builder occurrences]; BA-M4 FDR p < 0.05 [6]; BA-M6 FDR p < 0.05 [3]","vs zero: FDR p ≥ 0.05 [6]; vs zero: FDR p < 0.05 [6]; vs site average: FDR p < 0.05 [3]","Only factor and scale labels change. The five diamonds, three asterisks, 27 rows, estimates, intervals, shapes, colours, sizes, line widths, order, axes, and facets remain exact."
"BROWN-BA-M-006","Stage 3 figure builder and dedicated refresh","Figure 3 subtitle literal","Orange diamonds test BA-M4 versus zero; black asterisks test BA-M6 versus the equal-site effect.","Orange diamonds: differences from zero; black asterisks: departures from the site average.","Exact one-literal display substitution. No scientific or geometric mapping changes."
"BROWN-BA-M-007","Stage 3 figure builder and dedicated refresh","Figure 3 footer literal","state-specific equal-site estimate.","state-specific site-average estimate.","Exact one-literal display substitution. The dotted zero line, blue reference line, and pooled-model statement remain exact."
"BROWN-BA-M-008","Stage 4 QMD","Stored-covariance derivation paragraph","`BA-M6` was calculated from 54 stored state-by-site-by-day-type cell means and\ntheir 54 by 54 covariance matrix without refitting the model. Its 27 contrast\nvectors were applied once. Every point estimate was reconciled in two\nindependent ways: `BA-M4 - BA-M1`, and the Free-day `BA-M5` site deviation\nminus the Work-day `BA-M5` site deviation. Within each state, the nine\ndeviations from the site-average effect summed to zero to machine tolerance.","The family of site-specific departures from the state-specific site-average\nFree-minus-Work estimate (`BA-M6`) was calculated from 54 stored\nstate-by-site-by-day-type cell means and their 54 by 54 covariance matrix\nwithout refitting the model. Its 27 contrast vectors were applied once. Every\npoint estimate was reconciled in two independent ways: the site-specific\nFree-minus-Work difference against zero (`BA-M4`) minus the state-specific\nsite-average Free-minus-Work difference (`BA-M1`), and the Free-day site\ndeviation from the site-average adherence estimate (`BA-M5`) minus the\ncorresponding Work-day deviation (`BA-M5`). Within each state, the nine\ndeviations from the site-average effect summed to zero to machine tolerance.","All 54 means, 54 by 54 covariance, 27 vectors, component identities, state sums, and no-refit boundary remain exact. Numeric-token multiset remains exact."
"BROWN-BA-M-009","Stage 4 QMD","Table 13 caption and display column","Stored-covariance and component reconciliation for BA-M6. | Reconciled BA-M6 rows","Stored-covariance and component reconciliation for site-specific departures from the state-specific site-average Free-minus-Work estimate (BA-M6). | Reconciled site-average-departure rows (BA-M6)","The source column remains named Reconciled BA-M6 rows. Add only a cols_label display mapping. Table endpoint, body, values, source data, and other formatting remain exact."
"BROWN-BA-M-010","Stage 4 QMD","Table 14 caption","BA-M6 localizations and coverage-sensitivity identities.","Site-specific departures from the state-specific site-average Free-minus-Work estimate (BA-M6) and coverage-sensitivity identities.","All three stored localizations, rows, values, display mappings, endpoint, and source link remain exact."
