"domain","check","observed","expected","status"
"environment","R version","4.6.1","4.6.1","PASS"
"environment","dplyr version","1.2.1","1.2.1","PASS"
"environment","digest version","0.6.39","0.6.39","PASS"
"stop","direct controlling pins","14/14","14/14","PASS"
"stop","owner evidence manifest","45/45","45/45 exact unique non-circular","PASS"
"stop","owner failure verification","14/14","14/14 PASS","PASS"
"stop","exact stopped transition set","gap_timing_unaware_metrics|gap_manifest|metric_display_registry","gap_timing_unaware_metrics|gap_manifest|metric_display_registry","PASS"
"gap provenance","gap-repair evidence manifest","7/7","7/7 exact","PASS"
"gap provenance","non-MDER participant-day cells","25620 exact","25620 exact","PASS"
"gap provenance","current gap artifact","27328 rows; 9 columns","27328 rows; 9 columns","PASS"
"H09 scope","H09 gap metric set","first_timing_above_250|l10_midpoint|last_timing_above_250|m10_midpoint|mean_timing_above_250","first_timing_above_250|l10_midpoint|last_timing_above_250|m10_midpoint|mean_timing_above_250","PASS"
"H09 scope","current-to-stored gap frames","40/40; rows=32492","40/40; rows=32492","PASS"
"H09 scope","gap frame full-object equality","40/40","40/40","PASS"
"registry","execution registry identity","6c0adc3ca061ac49591d71243dd7ff0693311eb1f499836cf52c2742328b8154","6c0adc3ca061ac49591d71243dd7ff0693311eb1f499836cf52c2742328b8154","PASS"
"registry","current registry identity","c82db05a77cc50ce5b9dbd459c90997fa6bb7d87c0b8e880c1bf8186fad06ed0","c82db05a77cc50ce5b9dbd459c90997fa6bb7d87c0b8e880c1bf8186fad06ed0","PASS"
"registry","only changed registry construct","mder_ratio_of_integrals -> mder_mean_of_viable_ratios","mder_ratio_of_integrals -> mder_mean_of_viable_ratios","PASS"
"registry","H09 shared display rows","5/5","5/5 exact","PASS"
"preservation","historical H09 scientific inventory","57 live-exact + 8 accepted display transitions","57 live-exact + 8 accepted display transitions","PASS"
"disposition","H09 scientific scope","INVARIANT","INVARIANT","PASS"
"disposition","bounded provenance repin eligibility","ELIGIBLE","ELIGIBLE","PASS"
