path,bytes,sha256,role
audit/report_harmonization/report018_post_navigation_display_queue_2026_08_24.md,4205,9ebb1d81ef202b420aec42d12e5de372871edec780c5f72885e18d327f0f5a36,queue authority
audit/report_harmonization/report018_h06_daily_order63_dispatch.md,1682,e42f017db61e1722a38dd441cd06411b1ceb7c7893a15df19f4512c4d2d617f7,H06_daily dispatch
audit/report_harmonization/report018_h06_daily_order63_dispatch_receipt.md,863,cad6491ecf6e0a848e478ca9f2ee016e5dc4a75140747c67b2caada0fc7f1c88,H06_daily dispatch receipt
audit/report_harmonization/report018_h06_daily_order63_supplementary_figure_s12_independent_acceptance.md,3366,a9c62b39c8940d3c6164146dc023ece2b91d80fdc9ce858d87a5c2d834e08ab8,H06_daily independent acceptance
audit/report_harmonization/owner_orders/65_brown_stage3_window_label_and_ba_m_display_repair.md,6187,497aa2f1ece654f908f2b58abfaf04f4887a7af0da81b183ea582fd4a8f9cef5,Brown final order
audit/report_harmonization/report018_brown_order65_dispatch.md,2095,6fe3e9df7f10defc83da017b17960aa75126c8056e335de9b6f07027d92b0851,Brown dispatch
audit/report_harmonization/report018_brown_order65_dispatch_manifest.csv,1525,8899cd04e2eff272af294b54fe6ce1e14f8dd8dba02413176c34a0f8a72b5a27,Brown non-circular dispatch manifest
audit/report_harmonization/report018_brown_order65_dispatch_receipt.md,1323,f1d0337fd93fcb099f9aac83f3b752395e030d8eb0c38f5d22dbaa3bffaafbcc,Brown dispatch receipt
audit/report_harmonization/report018_post_navigation_h03_h04_queue_closure_2026_09_02.md,3879,074beaba4ef69597ed2954bbe944265e534c7780c3b592624e31d3377322c0d9,H03 H04 closure
audit/report_harmonization/report018_post_navigation_h03_h04_queue_closure_2026_09_02_manifest.csv,2137,a62b8ba00e9189ea5b1c57f7fbe0dd3d39d6193d6df0ee6ad6384d6a9317bfe9,H03 H04 closure manifest
audit/report_harmonization/table3_author_approval_and_all_gt_integration_2026_08_31.md,3049,bda154f404020a928c26fbabde178203f088830f1a44746749431225e287e8d9,Table 3 order and author approval evidence
audit/report_harmonization/owner_orders/64_writer_finalized_figure_integration.md,5030,f48abd6967964fc381b0ce602989ca7b265014ebf7ae5591311b42630d78b024,Writer integration order
audit/report_harmonization/report018_writer_order64_postsend_receipt.md,1633,0ce0f7400a9888ccba81de6c0aa83bd4b8b23ac12549971b23c793273681891f,Writer receipt
audit/manuscript_nature_health/manuscript_figure_table_selection.qmd,48345,1e29b5f4a83343978bbb4bf8e841072d1b941832991e3fa78139517738044676,final accepted selection source
audit/report_harmonization/report018_post_navigation_display_queue_reconciliation_2026_09_02.md,4322,2b00b7d5a12d671f8229b5cb6ec1cc5636d4e1b8d84676c186098a2940b63520,reconciliation record
