"table_endpoint","attribute","old_count","new_count","delta","status"
"tbl-h09-prep-boundary","headers",15,15,0,"PASS"
"tbl-h09-prep-boundary","id",3,3,0,"PASS"
"tbl-h09-prep-code-map","headers",16,16,0,"PASS"
"tbl-h09-prep-code-map","id",4,4,0,"PASS"
"tbl-h09-prep-common-samples","headers",8,8,0,"PASS"
"tbl-h09-prep-common-samples","id",4,4,0,"PASS"
"tbl-h09-prep-diagnostic-summary","headers",20,20,0,"PASS"
"tbl-h09-prep-diagnostic-summary","id",5,5,0,"PASS"
"tbl-h09-prep-execution","headers",7,7,0,"PASS"
"tbl-h09-prep-execution","id",7,7,0,"PASS"
"tbl-h09-prep-families","headers",28,28,0,"PASS"
"tbl-h09-prep-families","id",7,7,0,"PASS"
"tbl-h09-prep-input-identities","headers",44,44,0,"PASS"
"tbl-h09-prep-input-identities","id",4,4,0,"PASS"
"tbl-h09-prep-integrity-checks","headers",44,44,0,"PASS"
"tbl-h09-prep-integrity-checks","id",4,4,0,"PASS"
"tbl-h09-prep-intermediate-artifacts","headers",28,28,0,"PASS"
"tbl-h09-prep-intermediate-artifacts","id",4,4,0,"PASS"
"tbl-h09-prep-key-output-identities","headers",30,27,-3,"PASS"
"tbl-h09-prep-key-output-identities","id",3,3,0,"PASS"
"tbl-h09-prep-metric-contract","headers",30,30,0,"PASS"
"tbl-h09-prep-metric-contract","id",12,12,0,"PASS"
"tbl-h09-prep-predictor-contract","headers",12,12,0,"PASS"
"tbl-h09-prep-predictor-contract","id",6,6,0,"PASS"
"tbl-h09-prep-primary-formulas","headers",16,16,0,"PASS"
"tbl-h09-prep-primary-formulas","id",4,4,0,"PASS"
"tbl-h09-prep-primary-samples","headers",140,140,0,"PASS"
"tbl-h09-prep-primary-samples","id",9,9,0,"PASS"
"tbl-h09-prep-reader-manifest-check","headers",12,18,6,"PASS"
"tbl-h09-prep-reader-manifest-check","id",3,3,0,"PASS"
"tbl-h09-prep-score-audit","headers",16,16,0,"PASS"
"tbl-h09-prep-score-audit","id",8,8,0,"PASS"
"tbl-h09-prep-script-map","headers",40,40,0,"PASS"
"tbl-h09-prep-script-map","id",5,5,0,"PASS"
"tbl-h09-prep-sensitivity-formulas","headers",54,54,0,"PASS"
"tbl-h09-prep-sensitivity-formulas","id",6,6,0,"PASS"
"tbl-h09-prep-sensitivity-map","headers",28,28,0,"PASS"
"tbl-h09-prep-sensitivity-map","id",4,4,0,"PASS"
