"path","historical_sha256","historical_bytes","current_sha256","current_bytes","live_exact","accepted_display_transition","classification","scientific_scope","status"
"artifacts/10_figures/H09/H09_diagnostics_chest.pdf","614b46f3cb2026ea1f6c7350959482ce4473c114b0c90ec066a176f73c635596",695820,"1f8dd115d2e249f23acaa7560c8df432418f129c97f733cea5177f675997f09c",696614,FALSE,TRUE,"ORDER56_ACCEPTED_DISPLAY_TRANSITION","accepted display-only transition; underlying tables, source data, models, estimates, intervals, and decisions are unchanged","PASS"
"artifacts/10_figures/H09/H09_diagnostics_chest.png","e82b32d5d69a73e45a7d93e8b1bb8357dc3104e67c5f128eba4f3f5538961a75",2626860,"dcced15b55b9f4abd912f1fbad0ccd3eaddcbabe820b41591350601df29f0f1a",2874977,FALSE,TRUE,"ORDER56_ACCEPTED_DISPLAY_TRANSITION","accepted display-only transition; underlying tables, source data, models, estimates, intervals, and decisions are unchanged","PASS"
"artifacts/10_figures/H09/H09_diagnostics_near_eye.pdf","a01d7184d3fc68bf33375f950c9ba422ac7f86f803cd214064ddf86d003ca5ac",627893,"e63794d0eaad64d0fe8fd65f31e9e4a8162a6dbf50f047a1af2caf18f78f3db5",628572,FALSE,TRUE,"ORDER56_ACCEPTED_DISPLAY_TRANSITION","accepted display-only transition; underlying tables, source data, models, estimates, intervals, and decisions are unchanged","PASS"
"artifacts/10_figures/H09/H09_diagnostics_near_eye.png","df6a267517ea08635a00fcfa153a1e3a7f6dbbbe764745860c16bd3b53165e96",2557336,"cfb7136446dabf79334933f0677ba0db89b4a3052f1871ced3e90dbc3ed7d5b5",2795403,FALSE,TRUE,"ORDER56_ACCEPTED_DISPLAY_TRANSITION","accepted display-only transition; underlying tables, source data, models, estimates, intervals, and decisions are unchanged","PASS"
"artifacts/10_figures/H09/H09_paired_placement_effects.pdf","5d8f8e95c4642ca29391941f63852776ee6d4ee3cb0cbdedfe74d24ec645ff7c",16857,"e3371426b6a2c7a3d2db32ce5641697fad1aec6592b86a80d316ec81d54a7ea2",16853,FALSE,TRUE,"ORDER56_ACCEPTED_DISPLAY_TRANSITION","accepted display-only transition; underlying tables, source data, models, estimates, intervals, and decisions are unchanged","PASS"
"artifacts/10_figures/H09/H09_paired_placement_effects.png","4cffc5339801d25e817639064b6f40e0b0a6bbe69a735e5f245d97cee898e185",129869,"ae6fc387a28a840d57ad5088dc446f3ab902136cb9038a7f119ace2db7a6a4be",131504,FALSE,TRUE,"ORDER56_ACCEPTED_DISPLAY_TRANSITION","accepted display-only transition; underlying tables, source data, models, estimates, intervals, and decisions are unchanged","PASS"
"artifacts/10_figures/H09/H09_primary_effects.pdf","b354077d2c1225104ecef7af1d879acd2037a7b740940392092b2d09f2f833e0",17970,"69275a6a3fbfa7bd0b47efa4f53cb61ccbe3c7a776f146148f58026f4329357f",17941,FALSE,TRUE,"ORDER56_ACCEPTED_DISPLAY_TRANSITION","accepted display-only transition; underlying tables, source data, models, estimates, intervals, and decisions are unchanged","PASS"
"artifacts/10_figures/H09/H09_primary_effects.png","f288cfaff6e555715af30c778974e50d9bcc8c9a90c643b5e994ad2d8b95be1f",139103,"8525b9dda4a635efe2d8410e6eeb6a99722c6bc0d225f09abe684a73595dc4dd",162887,FALSE,TRUE,"ORDER56_ACCEPTED_DISPLAY_TRANSITION","accepted display-only transition; underlying tables, source data, models, estimates, intervals, and decisions are unchanged","PASS"
"artifacts/10_figures/H09/H09_v0_chest_recreation.pdf","8cf88beea0e452906ace63d601b3d38ca5895baf4c750d6f3eb1cec12982e224",189662,"8cf88beea0e452906ace63d601b3d38ca5895baf4c750d6f3eb1cec12982e224",189662,TRUE,FALSE,"LIVE_EXACT","historical scientific identity remains live-exact","PASS"
"artifacts/10_figures/H09/H09_v0_chest_recreation.png","1ad09d57531df119e222bff5f54dba86ea1d526a1fa91e23447ccf06dbd320e2",1987878,"1ad09d57531df119e222bff5f54dba86ea1d526a1fa91e23447ccf06dbd320e2",1987878,TRUE,FALSE,"LIVE_EXACT","historical scientific identity remains live-exact","PASS"
