role,path,sha256,bytes,note
repair_request,audit/report_harmonization/report017_environment_startup_repair_request.md,f97600f17a8c68bbfcb0ccb77de4d9b95493332c53740fdebd466ae0741591fa,3845,sealed bounded diagnostic and repair contract
blocked_record,audit/report_harmonization/report017_render_order_01_blocked_verification.md,2a5dc1e39478ed9df4c57a7fb075644fb9b469b03462ef1cf7f95902648804d3,6558,sealed pre-knitr startup failure record
blocked_manifest,audit/report_harmonization/report017_render_order_01_blocked_manifest.csv,917735a5fbaa630181e0bb113c039808d8cabc3cf3b46e4ae62338a6cd7735e3,2271,thirteen-entry blocked-order manifest
verification_record,audit/report_harmonization/report017_environment_startup_repair_verification.md,2b8a24115ce9e187abcf57f0f9b52d643c917db57d2cd8d08f3d65e96983f249,6522,normal-profile smoke diagnosis repair and release record
startup_profile,.Rprofile,3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4,26,unchanged project profile
startup_activation,renv/activate.R,51798a35c2772b94b4a73ae7a7cc928975ff6e628a17bad1bc73d30defca82e6,39946,unchanged renv activation script
environment_lock,renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,unchanged project lockfile
accepted_source,notebooks/descriptives.qmd,b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c,25629,unchanged accepted Descriptives source
dispatch_config,_quarto-nathealth.yml,b9c10a09d525d7de37bb08f5160e37409e382df6be0af58698a8219783b84ed5,7031,unchanged Nature Health profile
stale_html,_build/nathealth/notebooks/descriptives.html,2d88888c888bc6f89374bd43753c239329bb1b9dd33f0f6e466d5cece5556ce0,2197203,unchanged pre-existing HTML pending the released target render
reader_formatter,scripts/descriptives/build_publication_tables.R,3b75ff59af4ddb0d8f74c905f60e06539c2a8490cf29f4fa44ac74c524895834,28195,separate owner-controlled reader-only wording correction already present before the confirming smoke
