"path","role","sha256","bytes"
"audit/report_harmonization/report017_h01_order32k_companion_independent_acceptance.md","independent_acceptance","ba3804ebf425ae760ea7d71aee5af3a23e0d38cbe59fa691b9fc9be96cb72cc7",5596
"audit/hypotheses/H01/report017_order32k_companion_acceptance/order32k_acceptance_record.md","owner_acceptance","b0a7f6ec7a2cbd3912191d779ed1b418020b7224802b5053a01b6fbc66a688d9",1579
"audit/hypotheses/H01/report017_order32k_companion_acceptance/order32k_non_circular_completion_manifest.csv","owner_manifest","1b69dc2f2b102e105ef7554b33a0c40a137fa5216016d9d78a3043814a7701b5",15978
"audit/hypotheses/H01/report017_order32k_companion_acceptance/order32k_visual_acceptance.csv","visual_acceptance","06f1517ccfb63a38e39ec5b4bbe68d6920cc405793b4c7f295f787480fdfa887",1345
"audit/hypotheses/H01/report017_order32k_companion_acceptance/order32k_loopback_server_lifecycle.csv","loopback_lifecycle","dd42ebc3ffa03481eda92098441e023695367e36f70a97eee94a906f95ecae82",569
"audit/hypotheses/H01/report017_order32k_companion_acceptance/order32k_final_identity_audit.csv","identity_audit","a595593bc65df03b3edef12412c4a68688a6ed94a7439c0d695720ca341a8237",2555
"audit/hypotheses/H01/report017_order32k_companion_acceptance/order32k_semantic_reverse_audit.csv","semantic_reverse_audit","1210af4746737f1b2b0a30001256323c4c8f1da0f4a005087ec421c1323437b4",468
"audit/hypotheses/H01/report017_order32k_companion_acceptance/order32k_html_contracts.csv","html_contracts","e41df77773beb372c4d1175b06293e02d61651aba2b671a7537035f754daf0d8",896
"notebooks/hypotheses/H01.qmd","accepted_result_source","9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb",93260
"_build/nathealth/notebooks/hypotheses/H01.html","accepted_result_html","df78ac3c2ed91515058b6af38e01b85b4baae74118699c008a29ba4dacf4d007",1643915
"audit/hypotheses/H01/H01_analysis_preparation.qmd","accepted_companion_source","ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f",55827
"_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html","accepted_companion_html","5ab6587465f01f946fcf133f9f81a69168e08fa866f69830c2378e6c3cf250fe",727310
"_quarto-nathealth.yml","accepted_profile","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480
"tests/hypotheses/H01/test_h01_preparation_report.R","accepted_test","7c1466cd8f964e0696c3c0a17fc2c53a9702dd7ccbb84e0e4926089b56de0fc6",10974
"artifacts/12_manifests/H01/H01_preparation_report_manifest.csv","accepted_preparation_manifest","310a017f49992e8a4a17f8497b66112b8352364ef80526c11709c1f39155653e",14470
"artifacts/12_manifests/H01_worker_artifacts.csv","accepted_worker_manifest","d695d40401f3d6758fa81a8370d7bd224c3526a8038258e835e5917c8f675bb6",397567
"audit/hypotheses/H01/report017_order32k_companion_acceptance/order32k_external_order35b_classification.csv","concurrent_order_classification","1b9fec65d563482b60de5f2138e67c62f7649ac5012a77d74985bccba5bafe3d",1068
"audit/hypotheses/H01/report017_order32k_companion_acceptance/order32k_screenshot_manifest.csv","screenshot_manifest","f18a7016908e9bfa333ebcf1432b73513a2250609da3a314231dee7e92393cf1",3109
