scope_root,path,bytes,sha256,role
central,audit/report_harmonization/owner_orders/65c_brown_svg_only_author_disposition_and_nine_endpoint_promotion.md,7958,7501583354b606dc187e5f3642e1b5ab43444b239764d6f8eb92766b881f9b6c,final SVG-only promotion order
central,scripts/report_harmonization/check_brown_order65c_svg_only_preflight.R,7648,c2a6a89d09f517378b2065a00cc79f6cfbaaaca1ead57b31716377f3454e8dab,non-mutating R 4.6.1 SVG-only preflight
central,audit/report_harmonization/owner_orders/65b_brown_stage3_accepted_rasterizer_and_svg_verifier_continuation.md,9255,56c59e009c26cc4ff1d6e12b368a09afa25832348fca4c5b7c3303695aef1c59,immediate stopped parent order
central,scripts/report_harmonization/check_brown_order65b_environment_preflight.R,10347,0d5080765df5548e5e74a41ddba380708411ffa2b3e865cc2c39f90b80e034f9,accepted-environment parent preflight
central,audit/report_harmonization/report018_brown_order65b_dispatch_manifest.csv,3150,aa2e5171936db0ffaba2f785c763d81e38bed5414d7176dcc7cbfa6b707e40bd,parent dispatch seal
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair_order65b/stop_manifest.csv,9648,695fd5c42669cbb34e3be3fee797525a459459d2415c683d4d17816eb7d8f583,48-member non-circular stopped seal
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair_order65b/stop_checks.csv,1379,cf3fd975ee168603b96f6e33e069c8d1064ccf26c4d7eaab67434cb16517ad8f,ten stopped-state checks
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair_order65b/candidate_gate_checks.csv,2713,3a841b8d75bef207b12ca2ecc85103ef307e255842199b12a0ee71bb5c21b38e,16-of-17 candidate gate
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair_order65b/candidate_cross_environment_comparison.csv,2605,d45611eef2d95a17201ed7b94808dc1c3287c4741b6f3358f8294235351ff81d,cross-environment candidate identity
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair_order65b/canonical_endpoint_preservation.csv,3053,4843878ecd377ba6acb16451477d6a3ee8a0f7f3c15249abf86049c13f29b196,ten canonical preimages
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair_order65b/source_preservation.csv,1599,3db30ab34c5012d8b1cb219e24089a17aab463970dbcfdb199e9541e04510102,six source postimages
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair_order65b/order65b_stop_summary.md,1408,70c0ed9d393e514f3c014e4d1bbbc19f1848e0dc95386f0ebc3e3e6d511ec5f4,accurate stopped-state summary
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair_order65b/order65b_owner_handoff.md,569,db6ff147ec298be9379b0ff71e1d6252c8765221e7644978a3a2e7b85089329a,owner stopped-state handoff
brown,audit/analyses/brown_adherence/language_harmonization/window_label_repair_order65b/candidate_inventory.csv,1968,50704d6a9e4a0d45e0394a37e928a36c25c475920ea304bbef9a74b69e545601,ten sealed candidate identities
