"source","line","category","term","in_code","content"
"index.qmd",209,"placement_sample","\bchest\b",FALSE,"Personal light exposure is a modifiable component of the health exposome, but its everyday determinants remain poorly understood. We conducted an observational, harmonised, multi-country wearable study of ocular light exposure in 191 adults across nine sites in Sweden, the Netherlands, Germany, Spain, Turkey, Costa Rica, and Ghana, comprising 1,480 participant-days. Participants wore calibrated light loggers near the corneal plane and at chest level and completed repeated contextual assessments. Average daytime exposure remained below recommended melanopic levels, with adherence varying by site, daily phase and photoperiod. Exposure generally increased with latitude despite greater year-round sunlight at lower latitudes, consistent with behavioural filtering through shade-seeking, indoor living or heat avoidance. Individual and activity-level differences explained more variation than site. Daylight access, outdoor activity and micro-environment were the strongest correlates. These findings support personalized, context-sensitive light interventions and establish ocular light exposure as a measurable exposomic factor relevant to health."
"index.qmd",221,"placement_sample","\bchest\b",FALSE,"Here, we address these limitations using a harmonised, multi-country field study from the MeLiDos project [@spitschan2024; @guidolin2024]. Participants in Sweden, the Netherlands, Germany, Spain, Turkey, Costa Rica, and Ghana, wore calibrated light loggers for one week while completing smartphone-based experience sampling and daily questionnaires. Light was measured near the corneal plane, providing an ocular-level estimate of the stimulus most relevant to non-visual photoreception, and at chest level for comparison. The study combines temporally resolved melanopic light exposure with repeated contextual reports on sleep, mood, alertness, activity, work patterns, location and light-related behaviour. The resulting dataset, published alongside this study [@zauner2026a], provides a basis for comparing personal light exposure across diverse everyday environments and geographical contexts."
"index.qmd",229,"placement_sample","\bchest\b",FALSE,"@fig-overview summarises the study and collected data. The final dataset comprised 191 participants and 1,480 participant-days. Of these, 1,416 participant-days met the predefined completeness criterion of \>80% valid light-exposure data coverage. Near-corneal, or ocular, measurements were available for 811 participant-days, and chest-level measurements for 1,249 participant-days. Chest-level measurements were unavailable in the Tübingen cohort, whereas ocular measurements were available for only 6 of 39 participants in the Costa Rica cohort. @tbl-T1 provides site-level descriptive statistics. Unless otherwise specified glasses-level data and derived metrics are reported. Further, lux refers to melanopic equivalent daylight illuminance, or melanopic EDI, not photopic illuminance."
"index.qmd",273,"specialist","\brandom effect(s)?\b",FALSE,"Site was supported as a random effect in only 5 of 7 models in which it was otherwise supported as a fixed effect (see @supptbl-H1). The random-effect specification was preferable to the fixed-effect specification only for overall and nighttime light levels, suggesting that meaningful site effects were usually site-specific rather than well described as draws from a common random-effect distribution."
"index.qmd",295,"deviation","\bdeviation(s)?\b",FALSE,"Decomposing daily patterns of 30-minute-binned melanopic EDI into contributions of time, photoperiod, site, participant, and participant-day showed that sites deviated from the overall daily pattern mainly before and after solar noon (see @fig-H2). Compared with the average, Borås (SE) showed approximately 2- to 5-fold higher exposure during these windows. Dortmund (DE) and Munich (DE) showed similar but smaller deviations of approximately 2- to 3-fold. In Borås, the increase was strongest in the morning, whereas in the German sites it was more pronounced in the evening."
"index.qmd",299,"specialist","\bconfidence interval(s)?\b",FALSE,"![Model results from H2, showing the decomposition of daily light exposure patterns into an average smooth of time (A), participants (B), and site (D). Combinations of time and site are shown in panel (B). Panels A, C, and D show 95% confidence intervals as ribbons, whereas each trace in panel B indicates an individual participant. Grey shaded areas indicate average nighttimes. Red traces in panel D indicate significant deviations from the average trend of time.](assets/Fig4.png){#fig-H2}"
"index.qmd",299,"deviation","\bdeviation(s)?\b",FALSE,"![Model results from H2, showing the decomposition of daily light exposure patterns into an average smooth of time (A), participants (B), and site (D). Combinations of time and site are shown in panel (B). Panels A, C, and D show 95% confidence intervals as ribbons, whereas each trace in panel B indicates an individual participant. Grey shaded areas indicate average nighttimes. Red traces in panel D indicate significant deviations from the average trend of time.](assets/Fig4.png){#fig-H2}"
"index.qmd",309,"specialist","\binteraction(s)?\b",FALSE,"Primary light source strongly predicted personal light exposure (p \< 0.001, $R^2$ = 0.69), with small but significant site variation (site: p \< 0.001, $R^2$ = 0.05; interaction with primary light source: p \< 0.001, $R^2$ = 0.02). For indoor electric lighting, the reference exposure was approximately 75 lx melanopic EDI. Relative to this, exposure was higher in Borås (SE), Delft (NL), and Madrid (ES), by factors of 2.04, 2.16, and 1.48, and lower in Tübingen (DE) and Kumasi (GH), by factors of 0.56 and 0.50. Full model results are shown in @supptbl-H3, and interaction effects in @suppfig-H3H4."
"index.qmd",317,"deviation","\bdeviation(s)?\b",FALSE,"@suppfig-H3 extends the H2 pattern decomposition (see @fig-H2) by including the primary light source context, illustrating when lightsource categories occur, how lightsource-related deviations contribute to daily exposure patterns."
"index.qmd",321,"specialist","\binteraction(s)?\b",FALSE,"Activity and micro-environment strongly affected personal light exposure (p \< 0.001, $R^2$ = 0.58), with small but significant site-specific variation (site: p \< 0.001, $R^2$ = 0.09; interaction with activity: p \< 0.001, $R^2$ = 0.04). Being awake at home corresponded to approximately 59 lx melanopic EDI. Relative to this, Borås (SE), Delft (NL), and Dortmund (DE) showed higher values by factors of 1.77, 2.37, and 2.04, whereas Tübingen (DE) and Kumasi (GH) showed lower values by factors of 0.46 and 0.33. Full model results are shown in @tbl-H4 and interaction effects in @suppfig-H3H4."
