"domain","check_id","pass","detail"
"stable_identity","owner_order",TRUE,"audit/report_harmonization/owner_orders/32_h10_sex_gender_construct_wording.md | c37577debae69e731c22d0d12966e5deff03f2c14419349d1abd4276c58c9317 | 7966"
"stable_identity","result_qmd",TRUE,"notebooks/hypotheses/H10.qmd | 3c8d6891854a298e4fad69d1d7499c4d45a7d7c522f50e920b6b6aa1e4abac3f | 49191"
"stable_identity","companion_qmd",TRUE,"audit/hypotheses/H10/H10_analysis_preparation.qmd | c46d6ae965daba94750220e6eeaf95aa01b5cff4bc929117848f72090b7583f1 | 58413"
"stable_identity","result_test",TRUE,"tests/hypotheses/H10/test_h10_stage3_reader_report.R | 9f683babf2fd036bf33acf71ce5ef694d4a78a2893b5c6d4b54df9b9c01a1c3c | 23426"
"stable_identity","companion_test",TRUE,"tests/hypotheses/H10/test_h10_preparation_report.R | 836a6b48250946375c512895d05a50c77e6472ccccf987510675a33235cdcb22 | 14764"
"stable_identity","current_handoff",TRUE,"audit/handoffs/H10_worker_handoff.md | 70f4b211d329f893ce5f75ac3e494e634546e160f96761509259f7ba6518087f | 8177"
"stable_identity","profile",TRUE,"_quarto-nathealth.yml | 80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3 | 7480"
"stable_identity","planning_manifest",TRUE,"audit/report_harmonization/report017_h10_rh_rep_001_planning_manifest.csv | cbcac3952837059ebb8dac5ed09fc513077010940a5d9778d990dd7cd2ee644c | 1796"
"stable_identity","reporting_defect",TRUE,"audit/report_harmonization/reporting_defects.md | 8427c01b2ca4ae257553a033ba3590ae764e1c9855dfa2288ba4c60f0ca06552 | 3863"
"stable_identity","writer_request",TRUE,"audit/handoffs/nature_health_manuscript_shared_change_request.md | 202330fbc562a8012be449d1d16a2921beb52d8f5b4c0416e9a0bfc4fc332f1a | 2146"
"stable_identity","model_manifest",TRUE,"artifacts/07_models/H10/H10_model_manifest.csv | 9ce9c4153d38122398c259ed9bec013ac91afd99a8f90b70a919390321c3baae | 258608"
"stable_identity","stage1_source",TRUE,"audit/hypotheses/H10/01_audit_and_plan.qmd | cc3faa888ba932a7346e89463435b55608529045ad33111be6a5b57a6480cac4 | 70297"
"stable_identity","result_html",TRUE,"_build/nathealth/notebooks/hypotheses/H10.html | 6bd3da932b7f743c2c28b2b5abe7a3772fc2ee6587c75f6fff1dca8910332c84 | 315514"
"stable_identity","companion_build_html",TRUE,"_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html | efd4c91f970040cf551c5d7a8ad2cb8026f36e8413c6f4846882b4c7111521d8 | 617113"
"stable_identity","companion_source_html",TRUE,"audit/hypotheses/H10/H10_analysis_preparation.html | efd4c91f970040cf551c5d7a8ad2cb8026f36e8413c6f4846882b4c7111521d8 | 617113"
"stable_identity","stage3_manifest",TRUE,"artifacts/12_manifests/H10/H10_stage3_artifacts.csv | b556d9fdb19eeda766414bab30420846ee5c46138e9d7861f61e92da7516683e | 147622"
"stable_identity","preparation_manifest",TRUE,"artifacts/12_manifests/H10/H10_preparation_report_manifest.csv | 091c2661020dce63826ea7a21745dd3a1328681f343ba256b04f852b9fef518c | 170241"
"stable_identity","input_audit",TRUE,"artifacts/06_model_data/H10/H10_input_audit.csv | 9c8aebbc232d8706a23b71f87e31b649078055e139f9f011bc8c0c3d4d557f3b | 8083"
"planning_refresh","all_historical_rows_exact",TRUE,"exact historical planning rows=12/12"
"planning_refresh","current_demographics.rds",TRUE,"artifacts/06_model_data/normalized_inputs/demographics.rds sha256=a11d0ff6615b51dbaa0be8c0790c1ea550750d9f1d4d7e8893609803f269dadf bytes=2824"
"planning_refresh","current_H10_model_frames.rds",TRUE,"artifacts/06_model_data/H10/H10_model_frames.rds sha256=2d1c9119409c908f6890062c46827698aff19b12c3bcc93ce15cb37b28b8a6e7 bytes=381924"
"construct","demographics_shape_and_distinct_fields",TRUE,"rows=191 columns=17 differing_records=191"
"construct","demographics_recorded_levels",TRUE,"sex=Female|Male gender=Man|Non-binary|Woman"
"construct","model_frame_construct_boundary",TRUE,"frames=68 biological_sex=68 gender=0 levels=Female|Male"
"construct","model_manifest_construct_boundary",TRUE,"rows=612 biological_sex_formulas=272 gender_formulas=0"
"edit_target","four_source_passages_present",TRUE,"result opening false phrase=1; result caption false phrase=1; companion false phrase=1; companion No gender field=1"
"edit_target","dependent_test_targets_present",TRUE,"both stale source assertions are present exactly before dispatch"
"preservation","no_gender_identity_inference_limitation",TRUE,"accepted result limitation is present before dispatch"
