"check","observed","expected","status"
"owner manifest columns","path|sha256|bytes|role","path|sha256|bytes|role","PASS"
"owner manifest rows","47","47","PASS"
"owner manifest paths unique","47","47","PASS"
"owner manifest non-circular","0","0","PASS"
"owner manifest live identities","47","47","PASS"
"identity: audit/hypotheses/H07/report018_order53_companion_render/ORDER53_FAIL_CLOSED_STOP.txt","22a0f7e6bd5ba808496138420a75c097600e4ce4276248233ce609d04211ee95/12411","22a0f7e6bd5ba808496138420a75c097600e4ce4276248233ce609d04211ee95/12411","PASS"
"identity: audit/hypotheses/H07/report018_order53_companion_render/ORDER53_STOPPED_STATE_MANIFEST.csv","0b059a86079ceea2a4e0922185903a24537065e5683efe976def238770eb7c85/9273","0b059a86079ceea2a4e0922185903a24537065e5683efe976def238770eb7c85/9273","PASS"
"identity: audit/hypotheses/H07/report018_order53_companion_render/current_endpoint_identities.csv","1e4db1b6e9af7b5e90764806da6eb0c2f732bd00af616f8fab6c701753b8f153/15896","1e4db1b6e9af7b5e90764806da6eb0c2f732bd00af616f8fab6c701753b8f153/15896","PASS"
"identity: notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226/45440","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226/45440","PASS"
"identity: _build/nathealth/notebooks/hypotheses/H07.html","7814860467f71311c56e22960e757059524ccc3890b0721708eda7a5c661ab40/265730","7814860467f71311c56e22960e757059524ccc3890b0721708eda7a5c661ab40/265730","PASS"
"identity: audit/hypotheses/H07/H07_analysis_preparation.qmd","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b/49762","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b/49762","PASS"
"identity: _build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.qmd","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b/49762","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b/49762","PASS"
"identity: _build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html","4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93/654955","4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93/654955","PASS"
"identity: artifacts/12_manifests/H07/H07_preparation_report_manifest.csv","db1b00058848d27eed9d5ece9d9eae97851d1bdc997c4f2fe28d2ce9abd3c8e2/335146","db1b00058848d27eed9d5ece9d9eae97851d1bdc997c4f2fe28d2ce9abd3c8e2/335146","PASS"
"identity: _quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3/7480","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3/7480","PASS"
"identity: tests/hypotheses/H07/test_h07_preparation_report.R","89fd3eaa2f4f9928234280844e480ff5b863e104366af17675fe36366c456558/12912","89fd3eaa2f4f9928234280844e480ff5b863e104366af17675fe36366c456558/12912","PASS"
"identity: tests/hypotheses/H07/test_h07_stage3_reader_report.R","84e96a523bf1d9051be8abe3cabbef9837dfe98ab978a30bd846d0f2d728cd17/8435","84e96a523bf1d9051be8abe3cabbef9837dfe98ab978a30bd846d0f2d728cd17/8435","PASS"
"identity: scripts/hypotheses/H07/build_h07_preparation_report_manifest.R","9e961ec8746f512f34d1330b227118e407a75260168619a6457413a3ecb74508/10592","9e961ec8746f512f34d1330b227118e407a75260168619a6457413a3ecb74508/10592","PASS"
"identity: renv.lock","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350/603493","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350/603493","PASS"
"preparation manifest rows","1235","1235","PASS"
"preparation manifest unique non-circular paths","1235/0","1235/0","PASS"
"preparation manifest live identities","1235","1235","PASS"
"exact source-side canonical cleanup set","audit/hypotheses/H07/H07_analysis_preparation_files/libs/bootstrap/bootstrap-138a6193a3bd40baf1e627da441a4734.min.css|audit/hypotheses/H07/H07_analysis_preparation_files/libs/bootstrap/bootstrap-icons.css|audit/hypotheses/H07/H07_analysis_preparation_files/libs/bootstrap/bootstrap-icons.woff|audit/hypotheses/H07/H07_analysis_preparation_files/libs/bootstrap/bootstrap.min.js|audit/hypotheses/H07/H07_analysis_preparation_files/libs/clipboard/clipboard.min.js|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-diagram/mermaid-init.js|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-diagram/mermaid.css|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-diagram/mermaid.min.js|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/anchor.min.js|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/popper.min.js|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/quarto.js|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/tabsets/tabsets.js|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/tippy.css|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/tippy.umd.min.js|audit/hypotheses/H07/H07_analysis_preparation.html","audit/hypotheses/H07/H07_analysis_preparation_files/libs/bootstrap/bootstrap-138a6193a3bd40baf1e627da441a4734.min.css|audit/hypotheses/H07/H07_analysis_preparation_files/libs/bootstrap/bootstrap-icons.css|audit/hypotheses/H07/H07_analysis_preparation_files/libs/bootstrap/bootstrap-icons.woff|audit/hypotheses/H07/H07_analysis_preparation_files/libs/bootstrap/bootstrap.min.js|audit/hypotheses/H07/H07_analysis_preparation_files/libs/clipboard/clipboard.min.js|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-diagram/mermaid-init.js|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-diagram/mermaid.css|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-diagram/mermaid.min.js|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/anchor.min.js|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/popper.min.js|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/quarto.js|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/tabsets/tabsets.js|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/tippy.css|audit/hypotheses/H07/H07_analysis_preparation_files/libs/quarto-html/tippy.umd.min.js|audit/hypotheses/H07/H07_analysis_preparation.html","PASS"
"source-side historical outputs remain absent","0","0","PASS"
"all other protected deltas are expected current integrations","CHANGED_CONTENT|CHANGED_CONTENT|CHANGED_CONTENT","CHANGED_CONTENT|CHANGED_CONTENT|CHANGED_CONTENT","PASS"
"semantic disposition and counts","REPAIRED 21/116/734/850","REPAIRED 21/116/734/850","PASS"
"semantic post identity","4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PASS"
"semantic ledger rows and attributes","850/116/734","850/116/734","PASS"
"complete semantic_reverse_audit.csv","6/6","6/6","PASS"
"complete semantic_invariance_audit.csv","7/7","7/7","PASS"
"unique main element","1","1","PASS"
"duplicate document IDs","0","0","PASS"
"native gt tables","21","21","PASS"
"PNG figure endpoints","2","2","PASS"
"top-down Mermaid","1","1","PASS"
"table header references","1144/1144","1144/1144","PASS"
"applicable reader links","405/405","405/405","PASS"
"Quarto JavaScript controls classified","3","3","PASS"
"result reader test passed","PASS","PASS","PASS"
"preparation test held unchanged and unexecuted","PASS","PASS","PASS"
"process and browser stop state","PASS|PASS|PASS|PASS","PASS|PASS|PASS|PASS","PASS"
