"order","source","owner_task_at_phase1","scientific_status","phase2_disposition","mandatory_reader_repairs","optional_harmonization","approved_or_proposed_exception"
"1","index.qmd","019faf58-3df3-7383-8034-f715cdfdd154","Shared landing source; current claims and legacy RQ assets are not reconciled to all accepted hypothesis reports.","scientific/content hold","Stop this document editorially until the coordinator reconciles its claims to accepted H01-H11 results; replace legacy RQ links and construction-history language only after that reconciliation; then provide a plain study orientation and dynamic links.","Short route cards to descriptives, preparations, results, deviations, and supplementary material.","Landing page may be shorter than other documents and contains no methods template."
"2","supplementary_information.qmd","019faf58-3df3-7383-8034-f715cdfdd154","Future-tense assembly outline rather than an accepted reader document.","content completion hold","Do not present planned content as completed; once assembled, use dynamic links and a concise map of accepted supplemental material.","Group by shared methods, hypothesis details, and reproducibility rather than workflow stages.","Structure depends on final supplementary assembly."
"3","notebooks/placement_decision.qmd","019faf58-3df3-7383-8034-f715cdfdd154","Accepted shared placement context.","mandatory harmonization","Replace future/decision-process wording with current placement roles; define near-eye primary and chest complementary; define the same-participant/day comparison; link descriptives and exact deviations where mentioned.","Add one compact comparison diagram only if prose remains difficult to scan.","A shared context page may keep more design rationale than a result report."
"4","_deviations.qmd","019faf58-3df3-7383-8034-f715cdfdd154","Partial legacy page without stable entry anchors; stops at H07.","supersede after approval","Replace in navigation with the proposed notebooks/preregistration_deviations.qmd; do not silently migrate or invent IDs.","Retain an audit-only note that the old page was superseded if needed for provenance.","Not a repair target; it is replaced only in Phase 3 after approval and ledger repair."
"5","notebooks/descriptives.qmd","019fb87f-41b5-75c1-bc11-aa7fa233ef89","Accepted and current after bounded metric refreshes.","mandatory harmonization","Lead with the participant/site/light description; remove submitted-analysis reproduction history, hashes, pilot IDs, and production mechanics from the reader flow; retain all values and scientific qualifications; use approved main outputs.","Move detailed export/comparison evidence to collapsible provenance or audit links.","Descriptives uses a study-overview structure rather than a hypothesis question."
"6","notebooks/preparation/01_import_state_alignment.qmd","019fbd2a-3d80-7ed0-b93e-96457a9e7f26","Accepted preparation/provenance page.","mandatory harmonization","Explain import, time alignment, state masks, and resulting data in reader order; move hashes, verifier names, and production labels out of the main narrative.","Add a short how-to-read box only if timestamp and state terminology remains dense.","Preparation pages document data decisions and need more process detail than result reports."
"7","notebooks/preparation/02_coverage_sample_flow.qmd","019fbd2a-3d80-7ed0-b93e-96457a9e7f26","Accepted preparation/provenance page.","mandatory harmonization","Explain coverage, exclusions, gap handling, and sample flow in plain terms; retain exact denominators; replace internal IDs and production history; add only material dynamic preparation/deviation links.","Use a single sample-flow table as the visual anchor.","Coverage definitions and denominator detail must remain explicit."
"8","notebooks/preparation/03_reference_profiles.qmd","019fbd2a-3d80-7ed0-b93e-96457a9e7f26","Accepted page with a current independent-reconstruction qualification.","mandatory harmonization with qualification","Explain reference profiles before implementation detail; state plainly that independent reconstruction of the current reference-profile input remains incomplete; remove FIND IDs, hashes, and refresh history from reader prose.","Move file provenance to a collapsible technical record.","The unresolved qualification must remain visible and must not be editorially resolved."
"9","notebooks/preparation/04_metric_derivation.qmd","019fbd2a-3d80-7ed0-b93e-96457a9e7f26","Accepted page with a current diary-period-support reconstruction qualification.","mandatory harmonization with qualification","Define metric families and specialist terms before details; state plainly that independent reconstruction of current diary-period support remains incomplete; replace internal metric/change IDs and repair history with exact deviation links and concise current definitions.","Use a small glossary because several metric concepts recur.","The unresolved diary-support qualification must remain visible and linked to audit provenance."
"10","notebooks/preparation/05_model_input_acquisition.qmd","019fbd2a-3d80-7ed0-b93e-96457a9e7f26","Accepted preparation/provenance page.","mandatory harmonization","Lead with what inputs were acquired and why; retain privacy, access, and immutable-release constraints; move commit hashes and acquisition mechanics to technical provenance.","Summarize input classes in one table.","Data-access and privacy constraints may require more provenance language than other pages."
