"document","locus","classification","current_issue","consolidated_action","scientific_preservation","verification"
"H01 result","YAML subtitle","mandatory reader repair","Internal report-type subtitle","Use a scientific subtitle describing site, photoperiod, and latitude associations in personal light exposure","No claim or result change","Exact old/new string and YAML parse"
"H01 result","HTML format","mandatory accessibility repair","Dense figures become too small at 708 px","Add lightbox: true","No asset regeneration or figure-content change","YAML parse and later desktop/narrow lightbox check"
"H01 result","Answer in brief","mandatory reader repair","Central answer is accurate but denser and less direct than the shared template","Rewrite as four concise sentences while preserving every inline-R expression, number, interval, and inference","All numerical tokens and inline-R expressions preserved","Protected-token and inline-expression comparison"
"H01 result","What was analysed","mandatory reader repair","Exact support appears only much later","Add concise primary and complementary support ranges and define all-available and matched samples; retain exact metric-specific tables later","Use stored accepted sample summaries only","R 4.6.1 stored-output check and exact-table preservation"
"H01 result","Opening registration material","mandatory structural repair","Detailed registration table and 40-link list precede the central result","Move the complete registration section to the late detailed analysis record and add a forward link from the opening scope","All IDs, rows, links, anchors, and wording classifications preserved except approved reader labels","40-link/36-anchor contract and table-row equality"
"H01 result","Results overview","mandatory structural repair","Principal table is currently Table 3","Place fig-h01-model-support and tbl-h01-primary-publication-summary before other table and figure endpoints","Endpoint construction and content unchanged","All 36 table and 10 figure labels preserved; principal endpoints first"
"H01 result","Principal table heading and note","mandatory reader repair","Publication-oriented internal wording","Rename to Primary near-eye summary and replace This publication summary with This summary","All rows, order, values, and notes otherwise unchanged","Native gt data pipeline and visible-cell equality"
"H01 result","Within-metric site follow-ups","mandatory vocabulary repair","Reader displays say adjusted p without naming the adjustment","Use Within-metric FDR-adjusted p in columns, notes, captions, and alt text; retain full method in technical provenance","No p-value or decision change","Stored p-value vector equality and rendered FDR wording"
"H01 result","Model checks","mandatory structural repair","Representative diagnostics dominate the main flow","Keep concise conclusion visible and place the representative table and four images in one disclosure","Every diagnostic classification and endpoint preserved","Endpoint set, captions, alt text, and stored values unchanged"
"H01 result","Exact fitted samples","optional harmonization","Eight detailed tables interrupt the result narrative","Move the complete section into the late detailed analysis record","Every exact sample table preserved","Eight endpoint and table-cell equality checks"
"H01 result","Technical formulas","mandatory structural repair","Long formula and engine record sits in the primary narrative","Place exact formulas and engine tables in a disclosure within the detailed analysis record","Every formula string and engine field preserved","Formula-string and endpoint equality"
"H01 result","Registration link list","mandatory hierarchy repair","Forty links are visually overwhelming","Keep the topic-organized list in a disclosure labelled Show linked registration entries by topic","All 40 occurrences and 36 unique anchors preserved","Exact dynamic-link contract"
"H01 result","Run labels and headings","mandatory style repair","Reader prose contains em dashes","Use colons, commas, parentheses, or separate sentences; retain dash glyph only as a table symbol","No semantic change","Prose-em-dash scan and run-key equality"
"H01 result","End record","mandatory structural repair","Source data and implementation record are fragmented","End with Detailed analysis record and Analysis record and source data, preserving reciprocal QMD link and source files","All links and artifacts preserved","Relative QMD and source-data target resolution"
"H01 companion","HTML format","mandatory accessibility repair","Dense figures lack a zoom affordance","Add lightbox: true","No figure-content change","YAML parse and later lightbox check"
"H01 companion","Setup chunk","mandatory render-safety repair","Unused source_dir and dir.create attempt a project-side write","Remove only those unused statements","All objects used by displayed content unchanged","Top-level assignment comparison and no-write scan"
"H01 companion","Opening headings","mandatory reader repair","Purpose and calculation wording is process-oriented","Use About this analysis record and Render boundary","No scientific change","Heading-order assertion"
"H01 companion","Model-frame definition","mandatory reader repair","Specialist term is used before explanation","Define model frame as the exact rows and variables used for one fitted model","No analytical change","First-use text assertion"
"H01 companion","Visible table headers","mandatory reader repair","Underscore-separated internal column names appear to readers","Use spaced reader labels for all listed visible headers","Underlying objects and values unchanged","Native gt visible-cell and row-order equality"
"H01 companion","Input and provenance tables","mandatory hierarchy repair","Paths, hashes, and implementation labels lead the reader section","Show reader-facing input roles and Verified status first; keep exact paths and hashes in technical provenance","All path and hash evidence preserved","Path/hash set equality and visible-label checks"
"H01 companion","Model descriptions","mandatory vocabulary repair","Engine names lead the model descriptions","Put plain model descriptions first and lm/lmer/glmmTMB second","All formulas and engines unchanged","Formula and engine-token equality"
"H01 companion","Estimand table","mandatory scientific wording repair","Non-overlapping term part-R² contradicts the accepted estimand","Insert the exact RH-SCI-H01-003 wording stating model-specific values may overlap and must not be summed","All estimates, intervals, formulas, and models unchanged","Exact replacement and adjacent latitude explanation preserved"
"H01 companion","Joint-refit and model-check maps","mandatory reader repair","Audit wording, PASS/CHECK states, and filenames are exposed","Use Stored joint-refit support, Verified/Review needed, and reader role labels; retain codes and filenames in technical provenance","Stored states and files unchanged","Stored-to-display mapping and path-set equality"
"H01 companion","Sensitivity and takeaway language","mandatory vocabulary repair","Marginalisation and model-data bundle wording are inconsistent/internal","Use marginalization, analysis dataset, and one declared model implementation for 17 responses","No result change","Protected-token and terminology scan"
"H01 tests","Current reader-source contracts","mandatory workflow repair","Historical reconciliation and render pins reopen on every editorial change","Keep historical seals exact; make mutable source checks semantic; resolve current QMDs through current manifests; move durable HTML acceptance to post-render tests","All historical files and immutable scientific checks preserved","R 4.6.1 full source tests, exact historical hashes, fail on unexpected path or value drift"
"H01 preparation test","Source-only and rendered branches","mandatory workflow repair","Current test requires stale .html source link and a current render before source acceptance","Require dynamic .qmd links; add a source-only branch; retain full HTML assertions for final render","Every scientific and endpoint gate preserved","R 4.6.1 source-only PASS, later full rendered PASS"
"H01 current manifests","Direct source rows","mandatory provenance repair","QMD hashes will change in the coherent rewrite","Update only result and companion QMD hash/byte rows in reporting, Stage 3, preparation, and worker manifests; preserve all other rows","All scientific artifact rows unchanged","Exact row-level diff and reverse proof"
"H01 handoff","Current reader sources","mandatory provenance repair","Handoff must describe the consolidated editorial revision","Record pre/post QMD identities, RH-SCI-H01-003, structure, test evidence, and no-scientific-change boundary","Scientific conclusions and historical seals preserved","Handoff hash and scoped source inventory"
"H01 post-render","Result and companion integration","later gated verification","Current companion HTML is stale and current result predates final source rewrite","After source acceptance, render each page once and perform one combined semantic, link, table, figure, exported-output, desktop, narrow, and protected-identity review","No additional source or scientific change unless one combined defect package is approved","Semantic hook, 36/20 native tables, 10/2 figures, all links, visual QA, and bounded manifest reseal"
