document,locus,classification,current_issue,consolidated_action,scientific_preservation,verification
"H06 result","HTML format","mandatory accessibility repair","Dense figures have no zoom affordance","Add lightbox true","No figure regeneration or content change","YAML parse and later desktop/narrow lightbox check"
"H06 result","Hourly and daily hierarchy","mandatory reader orientation","The main hourly result does not yet link back to the now accepted complementary daily report","Add one dynamic H06_daily.qmd link and state that hourly remains main while daily is complementary","No estimate or claim moves between analyses","Exact relative-target and hierarchy-language checks"
"H06 result","Answer in brief","mandatory hierarchy repair","The answer is accurate but carries detailed secondary qualifications before the principal display","Keep the central answer concise and retain detailed site sensitivity and clock-time wording in the relevant sections","All estimates intervals p-values and qualifications retained","Protected-token and statement map"
"H06 result","Opening orientation","mandatory hierarchy repair","Recurring estimand sensor sample and inference terms are spread across later sections","Create one compact first-use orientation for melEDI participant-hour participant-day near-eye chest 95% CI HC3 FDR interaction site-average and sensitivity","Definitions only with no sample or estimand change","Approved-vocabulary scan"
"H06 result","Principal endpoint order","mandatory hierarchy repair","Sample formula and FDR tables precede the central result","Make fig-h06-core-effects the first figure and tbl-h06-primary-effects the first table","Every endpoint and scientific value retained","Exact endpoint set and first-endpoint checks"
"H06 result","tbl-h06-exact-samples","mandatory hierarchy repair","Exact samples precede the principal result","Move the unchanged table to the late Detailed analysis record","Rows values caption note and code preserved","Canonicalized chunk comparison"
"H06 result","exact-confirmatory-formulas","mandatory hierarchy repair","The formula display precedes the principal result","Move the unchanged native table display to the late Detailed analysis record","Both formulas and all settings preserved","Exact formula and chunk-body checks"
"H06 result","tbl-h06-fdr-adjustment","mandatory hierarchy repair","Declared families precede the principal result","Move the unchanged table to the late Detailed analysis record","All families sizes and methods preserved","Exact table-pipeline and family checks"
"H06 result","fig-h06-core-effects","mandatory principal-output placement","The provisional main figure is delayed","Place it first in the principal result and keep the accepted scientific caption and alt content","All 18 plotted rows estimates intervals order symbols colours facets and null lines preserved","Source reference hash caption alt and first-figure checks"
"H06 result","tbl-h06-primary-effects","mandatory principal-output placement","The provisional main table is delayed","Place it immediately after the main figure and keep concise comparison HC3 and FDR notes","Three rows order values intervals p-values and decisions preserved","Native gt pipeline and first-table checks"
"H06 result","Primary interpretation","mandatory clarity repair","Central estimates and the no-association caveat are separated from the first display by methods","Keep the three accepted estimates and previous-sleep qualification immediately with the main outputs","Exact numeric and claim tokens preserved","Protected statement comparison"
"H06 result","Site-dependence conclusion","mandatory hierarchy repair","The key day-type qualification is embedded among detailed tables","Keep the accepted interaction and model-dependence conclusion visible before details","All interaction and site-average estimates unchanged","Statement and numeric-token checks"
"H06 result","Site-specific detail","optional harmonization","The full site figure and wide table are always expanded","Place detailed site outputs in Show site-specific estimates and interaction details","All rows sites values notes source links and pointwise/FDR distinctions preserved","Endpoint presence and disclosure-title checks"
"H06 result","Site vocabulary","mandatory terminology repair","Code-only heterogeneity and equal-site names coexist with reader language and may leak through display strings","Use predictor-by-site interaction and site-average estimate in visible text; keep internal fields unchanged","Model and estimand unchanged","Visible-prose versus fenced-code scan"
"H06 result","Site table display states","mandatory reader repair","Compact labels still use terse p-value phrases and technical comparison wording","Use concise FDR and site-average labels with the first-use explanation outside the table","All p-values decisions and comparison targets unchanged","Cell-label allow-list and value preservation"
"H06 result","Required dataset sensitivity","mandatory hierarchy repair","The exact data-sensitivity evidence is longer than its central conclusion","Keep the stability conclusion visible and place the full comparison table in the complementary-placement disclosure","All hour counts ratios interactions and exact-common comparison preserved","Statement and endpoint checks"
"H06 result","Chest and paired-day evidence","mandatory scientific clarity","The same-participant and same-participant-day role needs to remain distinct from hour-level identity","Keep the visible non-equivalence conclusion and place the detailed figure with supporting outputs","Three differing keys and all placement roles preserved","Paired/common-sample contract checks"
"H06 result","Sensitivity details","optional harmonization","Working-variance influence and other tables interrupt the main narrative","Use Show complementary placement and sensitivity results for detailed outputs","Every named sensitivity and result preserved","Disclosure and exact endpoint checks"
"H06 result","Sensitivity labels","mandatory terminology repair","Equal-site and underscore-delimited classification labels may appear in compact tables","Display site-average and spaced sentence-case labels while preserving stored IDs","No classification or result change","Display-string allow-list"
"H06 result","Model-check conclusion","mandatory hierarchy repair","The model limitations follow a production-style status table","Keep the residual and calibration qualification visible before detailed outputs","All diagnostic values and claims preserved","Protected statement and value checks"
"H06 result","tbl-h06-model-checks","mandatory terminology repair","The Checks column renders PASS or FAIL","Render Meets numerical checks or Review needed from the same stored boolean","Fail-closed numerical gate remains unchanged","Raw-boolean and display-mapping checks"
"H06 result","Detailed model checks","optional harmonization","The diagnostic table and residual figure are always expanded","Place them in Show detailed model checks and influence analyses","All table values residual figure source caption and alt text preserved","Endpoint and source-link checks"
"H06 result","Exploratory diary analyses","mandatory role clarity","Exploratory outputs are prominent relative to the principal result","Keep their descriptive role visible and place the detailed table in the exploratory disclosure","No confirmatory p-values added and all estimates unchanged","Role-language and endpoint checks"
"H06 result","Nonlinear clock-time analysis","mandatory role clarity","Technical GAM details precede the timing interpretation","Lead with the plain nonlinear GAM explanation and pointwise limitation; move formulas and full figures into the exploratory disclosure","All curves windows model components and qualifications preserved","Formula numeric and statement checks"
"H06 result","Exploratory displays","optional harmonization","Two long timing figures are always expanded","Use Show exploratory clock-time and diary analyses while retaining every figure caption alt and source link","No curve or support value change","Figure and source-target inventory"
"H06 result","Interpretation and limitations","mandatory hierarchy repair","Limitations are accurate but repeat details scattered earlier","Consolidate without weakening site model residual weighting placement or pointwise-interval qualifications","All uncertainty and scope claims retained","Protected statement map"
"H06 result","Preregistration deviations","mandatory link preservation","Four exact links are correct and must survive structural movement","Retain h06-preregistration-deviations and exact DEV-015 DEV-030 DEV-031 DEV-032 targets","No deviation status or wording invented","Literal occurrence and anchor-resolution checks"
"H06 result","Source and figure checks","optional harmonization","Figure QA and technical source material are always expanded","Place detailed figure QA and technical source material in Show technical source and figure checks","Every source target and reproducibility statement retained","Target existence and endpoint checks"
