"check","observed","expected","status","r_version","digest_version","quarto_version"
"pin columns","role|relative_path|sha256|bytes","role|relative_path|sha256|bytes","PASS","4.6.1","0.6.39","1.9.37"
"pin rows","42","42","PASS","4.6.1","0.6.39","1.9.37"
"pin roles unique","42","42","PASS","4.6.1","0.6.39","1.9.37"
"pin paths unique","42","42","PASS","4.6.1","0.6.39","1.9.37"
"pin identities","42/42","42/42","PASS","4.6.1","0.6.39","1.9.37"
"preceding H08 acceptance manifest","30/30","30/30","PASS","4.6.1","0.6.39","1.9.37"
"parseable R chunks","17/17","17/17","PASS","4.6.1","0.6.39","1.9.37"
"table endpoints and order","tbl-h09-metrics|tbl-h09-formulas|tbl-h09-primary-samples|tbl-h09-near-eye-results|tbl-h09-chest-results|tbl-h09-paired-placement|tbl-h09-interactions|tbl-h09-qualified-diagnostics|tbl-h09-gap-sensitivity|tbl-h09-sensitivity-summary|tbl-h09-mean-timing-sensitivity","tbl-h09-metrics|tbl-h09-formulas|tbl-h09-primary-samples|tbl-h09-near-eye-results|tbl-h09-chest-results|tbl-h09-paired-placement|tbl-h09-interactions|tbl-h09-qualified-diagnostics|tbl-h09-gap-sensitivity|tbl-h09-sensitivity-summary|tbl-h09-mean-timing-sensitivity","PASS","4.6.1","0.6.39","1.9.37"
"figure endpoints and order","fig-h09-primary-effects|fig-h09-paired-placement|fig-h09-near-eye-diagnostics|fig-h09-chest-diagnostics","fig-h09-primary-effects|fig-h09-paired-placement|fig-h09-near-eye-diagnostics|fig-h09-chest-diagnostics","PASS","4.6.1","0.6.39","1.9.37"
"prohibited scientific or artifact calls","","none","PASS","4.6.1","0.6.39","1.9.37"
"reader-link multiset size","23/21","23/21","PASS","4.6.1","0.6.39","1.9.37"
"reader-link set","../../artifacts/08_diagnostics/H09/H09_diagnostic_assessment_registry.csv|../../artifacts/08_diagnostics/H09/H09_diagnostic_author_adjudication.csv|../../artifacts/08_diagnostics/H09/H09_leave_one_site_out_summary.csv|../../artifacts/08_diagnostics/H09/H09_participant_influence_summary.csv|../../artifacts/09_tables/H09/H09_ar1_sensitivity.csv|../../artifacts/09_tables/H09/H09_fifth_outcome_sensitivity.csv|../../artifacts/09_tables/H09/H09_gap_timing_unaware_sensitivity.csv|../../artifacts/09_tables/H09/H09_l10_cut_sensitivity.csv|../../artifacts/09_tables/H09/H09_model_results_master.csv|../../artifacts/09_tables/H09/H09_participant_summary_sensitivity.csv|../../artifacts/09_tables/H09/H09_photoperiod_sensitivity.csv|../../artifacts/09_tables/H09/H09_site_specific_slopes.csv|../../artifacts/11_source_data/H09/H09_paired_placement_effects_data.csv|../../artifacts/11_source_data/H09/H09_primary_effects_data.csv|../../artifacts/12_manifests/H09/H09_figure_manifest.csv|../../audit/hypotheses/H09/H09_analysis_preparation.qmd|../preparation/04_metric_derivation.qmd|../preparation/06_model_ready_datasets.qmd|../preregistration_deviations.qmd#dev-037|../preregistration_deviations.qmd#dev-038|../preregistration_deviations.qmd#dev-039","../../artifacts/08_diagnostics/H09/H09_diagnostic_assessment_registry.csv|../../artifacts/08_diagnostics/H09/H09_diagnostic_author_adjudication.csv|../../artifacts/08_diagnostics/H09/H09_leave_one_site_out_summary.csv|../../artifacts/08_diagnostics/H09/H09_participant_influence_summary.csv|../../artifacts/09_tables/H09/H09_ar1_sensitivity.csv|../../artifacts/09_tables/H09/H09_fifth_outcome_sensitivity.csv|../../artifacts/09_tables/H09/H09_gap_timing_unaware_sensitivity.csv|../../artifacts/09_tables/H09/H09_l10_cut_sensitivity.csv|../../artifacts/09_tables/H09/H09_model_results_master.csv|../../artifacts/09_tables/H09/H09_participant_summary_sensitivity.csv|../../artifacts/09_tables/H09/H09_photoperiod_sensitivity.csv|../../artifacts/09_tables/H09/H09_site_specific_slopes.csv|../../artifacts/11_source_data/H09/H09_paired_placement_effects_data.csv|../../artifacts/11_source_data/H09/H09_primary_effects_data.csv|../../artifacts/12_manifests/H09/H09_figure_manifest.csv|../../audit/hypotheses/H09/H09_analysis_preparation.qmd|../preparation/04_metric_derivation.qmd|../preparation/06_model_ready_datasets.qmd|../preregistration_deviations.qmd#dev-037|../preregistration_deviations.qmd#dev-038|../preregistration_deviations.qmd#dev-039","PASS","4.6.1","0.6.39","1.9.37"
"reader-link path safety","0","0","PASS","4.6.1","0.6.39","1.9.37"
"reader-link target and fragment resolution","21/21","21/21","PASS","4.6.1","0.6.39","1.9.37"
"deviation-link contract","1/1/1/FALSE","1/1/1/FALSE","PASS","4.6.1","0.6.39","1.9.37"
"exact formula literals","5/5","5/5","PASS","4.6.1","0.6.39","1.9.37"
"accepted source phrases","12/12","12/12","PASS","4.6.1","0.6.39","1.9.37"
"reader-facing BH abbreviation absent","0","0","PASS","4.6.1","0.6.39","1.9.37"
"primary scientific and multiplicity contract","20/8/6/4/0","20/8/6/4/0","PASS","4.6.1","0.6.39","1.9.37"
"accepted key estimates","0.381236542890041/0.00298827104154087/-0.443907364409369/0.00130345909142947","0.381236542890041/0.00298827104154086/-0.443907364409369/0.00130345909142947","PASS","4.6.1","0.6.39","1.9.37"
"stored figure and paired-source contract","4/4/4","4/4/4","PASS","4.6.1","0.6.39","1.9.37"
"known typography range retained for live QA","5.09936257967754/6.69291338582677","5.099363/6.692913 and mandatory fresh final-size inspection","PASS","4.6.1","0.6.39","1.9.37"
"historical Stage 3 manifest transitions","97/108","97/108 with exact 11-path accepted transition set","PASS","4.6.1","0.6.39","1.9.37"
"historical reader-test classification","TRUE/TRUE","TRUE/TRUE and test deferred","PASS","4.6.1","0.6.39","1.9.37"
"profile adjacency","TRUE","TRUE","PASS","4.6.1","0.6.39","1.9.37"
"phase-4 current H09 row","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6/ce6c4c644af675e5feb25dcbc834b55c3ddfc87ec3dc581c95366edc0de067b1","current source/current pre-render HTML","PASS","4.6.1","0.6.39","1.9.37"
"H09 coordination safe point","idle/source_only_adjustment_and_exact_deviation_links_accepted","idle/source_only_adjustment_and_exact_deviation_links_accepted","PASS","4.6.1","0.6.39","1.9.37"
"build symlinks","0","0","PASS","4.6.1","0.6.39","1.9.37"
"Quarto version","1.9.37","1.9.37","PASS","4.6.1","0.6.39","1.9.37"
