"logical_order","category","hypothesis","source","owner_task","scientific_status","safe_to_review","line_count","prose_nonblank_line_count","title","source_sha256","in_profile_render","render_position","in_sidebar","sidebar_position","expected_html","html_exists","html_sha256"
1,"landing",,"index.qmd","019faf58-3df3-7383-8034-f715cdfdd154","shared manuscript landing; reviewable but claims may remain in assembly",TRUE,691,255,"Environmental and behavioural determinants of the personal light exposome","aa24170aa24cb6a39f2a1e3cf6d33ead9d1a20c6cfe2860674d20802ca28ec9e",TRUE,31,TRUE,1,"_build/nathealth/index.html",TRUE,"c2db2117d166c55d21b189b25be74c1e2f2a6cf32638dbd0210ad1680316b45c"
2,"shared",,"supplementary_information.qmd","019faf58-3df3-7383-8034-f715cdfdd154","shared supplementary landing; reviewable but assembly-dependent",TRUE,60,30,"Supplementary Information","8d013e4d37ca5ff438988e82907a26d65b98a9a47cc2d62ec3ddcd0e2b3862fa",TRUE,32,TRUE,2,"_build/nathealth/supplementary_information.html",FALSE,
3,"shared",,"notebooks/placement_decision.qmd","019faf58-3df3-7383-8034-f715cdfdd154","accepted shared placement context; safe to review",TRUE,46,22,"Sensor-placement decision","6a8cc0eb69ca0ccfccad519dd89d983310e1a3f1865170fa61167577c9c1e379",TRUE,10,TRUE,10,"_build/nathealth/notebooks/placement_decision.html",TRUE,"403d4aa5b488eab5fb615654908428fc33f40bab5e36a443c173ce26735cee5a"
4,"shared_legacy",,"_deviations.qmd","019faf58-3df3-7383-8034-f715cdfdd154","partial legacy deviation page; superseded as target by Phase 3 proposal",TRUE,27,20,,"a2565a71482d761877d9852932ee2118a3f319959a32af94ab3de1cf4d7ab7bb",FALSE,,FALSE,,"_build/nathealth/_deviations.html",FALSE,
5,"descriptives",,"notebooks/descriptives.qmd","019fb87f-41b5-75c1-bc11-aa7fa233ef89","accepted and current after METRIC-011 bounded refresh",TRUE,561,224,"Descriptive tables and figures","c755492977778030d06d2d28931edc865876c7c24b6bafda408acf7aa4634285",TRUE,11,TRUE,11,"_build/nathealth/notebooks/descriptives.html",TRUE,"2d88888c888bc6f89374bd43753c239329bb1b9dd33f0f6e466d5cece5556ce0"
6,"preparation",,"notebooks/preparation/01_import_state_alignment.qmd","019fbd2a-3d80-7ed0-b93e-96457a9e7f26","accepted preparation/provenance page; current after METRIC-010/011 refresh",TRUE,1022,89,"Preparation 01: Import and align light, sleep, and wear data","4708b90ba3dd56c21fad10d02be6a884890b668662f62631d762de1375b4f6c2",TRUE,1,TRUE,3,"_build/nathealth/notebooks/preparation/01_import_state_alignment.html",TRUE,"6c45e5d23a25808c74f60677f5e3873bfdb2926cc0bfc8a6a9f4411e8d0ddeec"
7,"preparation",,"notebooks/preparation/02_coverage_sample_flow.qmd","019fbd2a-3d80-7ed0-b93e-96457a9e7f26","accepted preparation/provenance page; current after METRIC-010/011 refresh",TRUE,791,77,"Preparation 02: Assess coverage and document sample flow","50c069f8e987087e89c09f4397d197a5754a9de067c955ae9e338a6beeafbfad",TRUE,2,TRUE,4,"_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html",TRUE,"54f0c716963d5ce5736eb2b10817cee78c7a733762cacc9eb65005d7dcb452d9"
8,"preparation",,"notebooks/preparation/03_reference_profiles.qmd","019fbd2a-3d80-7ed0-b93e-96457a9e7f26","accepted preparation/provenance page; current after METRIC-010/011 refresh",TRUE,1257,135,"Preparation 03: Learn fixed time-of-day reference profiles","d63499f95a39e3fbc335aef3a5f98439f14c24a27406e15a49c99ef79fb4119d",TRUE,3,TRUE,5,"_build/nathealth/notebooks/preparation/03_reference_profiles.html",TRUE,"aab4d78311fc1037975b70c65515d133182367c7da373ed5aae2c1440711d7e0"
9,"preparation",,"notebooks/preparation/04_metric_derivation.qmd","019fbd2a-3d80-7ed0-b93e-96457a9e7f26","accepted preparation/provenance page; current after METRIC-010/011 refresh",TRUE,2208,200,"Preparation 04: Derive light-exposure metrics","0de19fc8bdd68ff24c35dfb621d819f3cc6c6bacc532be8fc1b8b3b3242ac668",TRUE,4,TRUE,6,"_build/nathealth/notebooks/preparation/04_metric_derivation.html",TRUE,"461e4605ff967690b6fc779a2f4381a8f19936bcd6aa48c4c091774b6437664c"
10,"preparation",,"notebooks/preparation/05_model_input_acquisition.qmd","019fbd2a-3d80-7ed0-b93e-96457a9e7f26","accepted preparation/provenance page; current after METRIC-010/011 refresh",TRUE,965,76,"Preparation 05: Acquire fixed questionnaire and diary inputs","ee1910eacbd23329d651a160450d02041cbd175869a56963ac14caef24e7d95e",TRUE,5,TRUE,7,"_build/nathealth/notebooks/preparation/05_model_input_acquisition.html",TRUE,"1e3cddd7e66168159e5fb97564aa3fa274fb760571265bd0c6eb84597b72291d"
