check_id,pass,detail
corpus_manifest,TRUE,37/37 source and HTML identities are live exact
single_manifest_rebuild,TRUE,historical preimage exact and builder count is one
final_corpus_checks,TRUE,6/6 final corpus checks pass
structural_test_classification,TRUE,six current tests pass and three historical stops are exact
live_dom_and_links,TRUE,"37 mains, 572 tables, 160 figures, and 10192 local links"
legacy_accessibility_classification,TRUE,eight legacy table pages and 24 informative index images classified
build_inventory_stability,TRUE,1180 build members are byte stable with zero symlinks
protected_inventory_classification,TRUE,"13086 common paths exact, one manifest transition, two bounded scripts"
matrix_transition,TRUE,shared matrix row records final REPORT-018 closure
acceptance_record,TRUE,acceptance record is exact
