"role","path","sha256","bytes"
"acceptance_record","audit/report_harmonization/report018_h06_companion_independent_acceptance.md","046537d759b39e6ce622e7e2dcbbb215c064046212e0c355c97ac047231af562",3976
"owner_acceptance","audit/hypotheses/H06/report018_order47d_companion_acceptance/completion_record.md","a89dfc0651e45321eeb3937068fe22d2cff80f8086382cbb3770b7a4f08fc78e",8097
"owner_manifest","audit/hypotheses/H06/report018_order47d_companion_acceptance/owner_manifest.csv","5816a6ea3d493eecde2d3188e9080de4b5058bcc03149e14652c13bdb5414b80",28296
"result_acceptance","audit/report_harmonization/report018_h06_result_independent_acceptance.md","1e5097504278defa98cbc42cc6798d85926cb525316886c12d4cf8f3c7f8f7a1",5097
"result_acceptance_manifest","audit/report_harmonization/report018_h06_result_independent_acceptance_manifest.csv","920d3b384046231d3d404f41fbf61cc2504583bbd1b0e5769fbe8f2fa9c1f32f",3459
"order","audit/report_harmonization/owner_orders/47d_h06_hourly_companion_render.md","fe25c05e3fb20b9a76c41bd2fd67810e9b2cf7845fb52ffc1b92cd01d0663523",9631
"dispatch_manifest","audit/report_harmonization/report018_h06_order47d_dispatch_manifest.csv","9067ddc6607ea7e5f94fa7bb8d8259073137ac740a606ddcea9431e6dd052a47",5506
"no_rerender_concurrence","audit/report_harmonization/report018_h06_order47d_test_stop_no_rerender_concurrence.md","b4eef3626e5a6a83209fd4c04e278bc1f390a54a2a6ccd01021eb9ab12882dd1",4208
"no_rerender_concurrence_manifest","audit/report_harmonization/report018_h06_order47d_test_stop_no_rerender_concurrence_manifest.csv","2bf82dd065ecb7af79aa1717836478b3caf701359a00d0ed25d3dedc3f9369ce",3288
"png_delta_classification","audit/report_harmonization/report018_h06_order47d_response_png_delta_classification.md","df2ec2b57d36a64c2c11cbc766a25d0841aa913559baec950c9fa046724090ec",4088
"png_delta_classification_manifest","audit/report_harmonization/report018_h06_order47d_response_png_delta_classification_manifest.csv","464020499116e93a5463b0a46b8dfc61aaf073c6c4b5fb142ee1d6a9097868fc",3473
"result_qmd","notebooks/hypotheses/H06.qmd","d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350",60791
"result_html","_build/nathealth/notebooks/hypotheses/H06.html","8b5f1b0ada997290ec5324de35e0c874fd25e2e9ef052281acaab07d0a3dccaa",4874263
"companion_qmd","audit/hypotheses/H06/H06_analysis_preparation.qmd","f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b",59613
"companion_build_qmd","_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.qmd","f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b",59613
