"domain","check","observed","expected","status"
"desktop 1440x1000","document width","1425 within 1440; no page overflow","no page overflow","PASS"
"desktop 1440x1000","all reader endpoints","19 tables plus 1 figure; all captions nonempty; no endpoint overlap","20 ordered endpoints with complete captions and no overlap","PASS"
"desktop 1440x1000","all table geometry","19/19 tables contained; minimum cell text 8 CSS px","all tables contained and readable","PASS"
"desktop 1440x1000","analysis map","1092 by 1262 rendered SVG; nodes, labels, and arrows visible","complete top-down diagram without clipping","PASS"
"desktop 1440x1000","support figure","complete 1285 by 960 source displayed at 1149 by 858","complete figure with labels, legend, axes, panels, marks, and caption","PASS"
"narrow 708x1000","document width","693 within 708; no page overflow","no page overflow","PASS"
"narrow 708x1000","all reader endpoints","20/20 ordered endpoints; all captions; no overlap; 19/19 tables contained","all endpoints present and contained","PASS"
"narrow 708x1000","support figure final size","642 by 480; complete; caption 642 px wide","exact 642-pixel intended 170-mm width with no clipping","PASS"
"narrow 708x1000","formula and provenance tables","642-pixel tables; minimum cell text 8 CSS px; manifest rows 6 and key-output rows 9","complete, legible, and structurally exact","PASS"
"200-percent equivalent 720x500","document and endpoint geometry","705 within 720; 20/20 endpoints; no overlap; 19/19 tables contained","no overflow, clipping, or overlap","PASS"
"200-percent equivalent 720x500","support figure","654 by 489; complete; all panels and labels visible across vertical scroll","complete and readable","PASS"
"interaction","code disclosure","analysis-map disclosure opened, code became visible, and disclosure closed","working disclosure without layout break","PASS"
"navigation","page and reciprocal result endpoint","H09 companion active; direct result endpoint opened with one main element; return succeeded","active navigation and working reciprocal endpoint","PASS"
"HTTP","companion result and source data","200/200/200","three HTTP 200 responses","PASS"
"console","page-attributable warnings and errors","0","0","PASS"
"cosmetic","optional favicon request","404 in server log only; absent from browser console","nonblocking optional site cosmetic","PASS"
