"category","old_or_internal_term","recommended_reader_term","first_use_explanation","acceptable_later_use","technical_term_that_may_remain","where_technical_term_may_remain","priority"
"association structure","[predictor] heterogeneity","[predictor]-by-site interaction","The association was allowed to differ by study site.","[predictor]-by-site interaction","heterogeneity","Methods details or a table naming a formally tested heterogeneity contrast, after the reader term has been introduced.","mandatory"
"site averaging","equal-site estimate; equal-site mean","site-average estimate","An average across sites that gives each site equal weight.","site-average estimate","equal-site marginal mean; equal-site geometric mean","Technical methods, equations, or source-data column definitions after the plain explanation.","mandatory"
"nonlinearity","GAM; GAMM; smooth model","nonlinear GAM analysis or nonlinear GAM model","A generalized additive model (GAM) allows the named association to bend rather than follow a straight line; state exactly what varies nonlinearly, for example: the association with clock time was allowed to vary nonlinearly across the day.","GAM; nonlinear GAM; fitted curve","generalized additive mixed model (GAMM)","GAM may remain after this explanation; GAMM remains where the mixed-model distinction matters.","mandatory"
"model assessment","diagnostics","model checks","Model checks (sometimes called model diagnostics) assess whether the fitted model behaves adequately for its intended inference.","model checks","model diagnostics","Parenthetical first use, methods, or a diagnostic table title when technically necessary.","mandatory"
"sample comparison","common sample; paired/common sample; paired placement","same participants and participant-days at both sensor positions","The comparison uses the same participants and participant-days at near-eye and chest positions; the two models are still fitted separately unless the report says otherwise.","matched sample; common sample","paired-placement analysis","Methods and technical provenance after the actual matching unit has been stated.","mandatory"
"scale","transformed scale; model scale","transformed scale","The quantity was changed before model fitting; name the transformation and make clear that coefficients on this scale are not yet in the original measurement units.","transformed scale; model scale","link scale","Formal model descriptions and equations.","mandatory"
"scale","back-transformed estimate","back-transformed estimate","The fitted quantity was converted back to hours, lux, a ratio, or another stated reader-facing unit; after this explanation, back-transformed may be used directly.","back-transformed estimate","inverse-link estimate","Formal methods or reproducibility details.","mandatory"
"effect modification","interaction","interaction","The association of one variable depends on another variable; name both variables and the relevant reference category.","interaction","interaction term","Model formulas and technical tables.","mandatory"
"multilevel model","random effect","random effect","A model component that represents remaining variation among participants, sites, or another named grouping after the reported predictors are considered.","random effect","random intercept; random slope; random-effect smooth","Model specification and variance-component tables.","mandatory"
"serial dependence","autocorrelation; AR(1); rho","autocorrelation with an AR(1) structure, where applicable","Measurements close together in time can remain more similar than measurements farther apart; an AR(1) structure represents this correlation as strongest for adjacent observations and weaker at larger time separations.","AR(1); autocorrelation","autocorrelation parameter (rho)","AR(1) may remain after the first-use explanation; rho remains in formulas or detailed model checks.","mandatory"
"uncertainty","CI","95% confidence interval (95% CI)","A range reflecting sampling uncertainty under the fitted model; do not describe it as a probability that the fixed true value lies in the interval.","95% CI","Wald interval; bootstrap interval; profile interval","Captions, tables, and prose after first use; name the construction when it matters.","mandatory"
"multiplicity","BH adjustment; FDR adjustment","false-discovery-rate (FDR) adjustment","A correction applied across a stated family of tests to limit the expected proportion of false discoveries among retained results; identify the family and name the Benjamini–Hochberg method where reproducibility requires it.","FDR adjustment; FDR","Benjamini–Hochberg procedure","Use FDR rather than the BH abbreviation throughout reader-facing prose and tight displays; the full method name may remain in methods or reproducibility notes.","mandatory"
"robustness","sensitivity analysis","sensitivity analysis","A planned alternative analysis used to assess whether the interpretation changes under a different sample, data definition, metric definition, or model choice; name the change.","sensitivity analysis","scenario-specific technical name","Methods, tables, and provenance.","mandatory"
"uncertainty","pointwise interval","pointwise confidence interval","The interval applies at one displayed time or predictor value at a time and is not a simultaneous band for the complete curve.","pointwise interval","pointwise Wald interval","Curve captions and methods.","mandatory"
"uncertainty","simultaneous interval or band","simultaneous confidence band","The band is constructed to cover the complete displayed curve at the stated confidence level, not only one point at a time.","simultaneous band","simultaneous critical-value method","Methods and technical captions.","mandatory"
"robust inference","participant-cluster HC3; cluster-robust","participant-cluster-robust confidence interval","The calculation allows observations from the same participant to be related and uses the named small-sample correction.","cluster-robust interval","HC3 covariance estimator","Methods, table notes, and captions after first use.","mandatory"
"display scale","symlog scale","symlog scale","A symlog scale combines a linear section for values from 0 to 1 lx with a base-10 logarithmic section above 1 lx; labels remain in lux.","symlog scale; symlog axis","symmetric-log transform","Symlog may remain after its first-use explanation; the transform name may remain in figure methods or source-data documentation.","mandatory where used"
"variance attribution","Shapley allocation; dominance analysis","Shapley allocation","Shapley allocation averages a model component's contribution across all orders in which components could be added, so shared explanatory information is allocated rather than counted repeatedly.","Shapley allocation","Shapley value; dominance analysis","Shapley allocation may remain after its first-use explanation; technical variants remain in H02 methods, equations, and reproducibility details.","mandatory where used"
"nonlinear model checks","concurvity","overlap among nonlinear model terms","Different fitted nonlinear terms can explain similar patterns, making their separate contributions harder to distinguish.","concurvity","pairwise concurvity estimate","H07 methods and model-check tables.","mandatory where used"
"curve interpretation","derivative","derivative","The derivative is the slope of the fitted curve and describes how quickly the fitted outcome is changing at each value of photoperiod or time.","derivative; fitted-curve slope","first derivative on the model scale","Derivative may remain after its first-use explanation; the formal scale remains in H07 methods, figures, and source data.","mandatory where used"
"curve interpretation","plateau","pattern consistent with a transition from increase to a sustained near-flat tail","Define the exact rule and avoid implying a biological ceiling or a permanently flat response.","qualifying transition; near-flat tail","derivative-defined plateau classification","H07 methods and classification table after the rule is explained.","mandatory where used"
"light metric","melEDI","melanopic equivalent daylight illuminance (melEDI)","A measure of light weighted for melanopsin-related sensitivity and expressed in lux.","melEDI","CIE S 026 terminology","Metric definitions, methods, and units.","mandatory first use per document family"
"time unit","participant-day","participant-day","One participant contributing data on one calendar or study day under the report's stated day definition.","participant-day","observation-day key","Data and provenance details.","mandatory first use where denominator matters"
"placement","near-eye; glasses","near-eye sensor position","Light measured by the sensor worn near the eye; it is the primary placement but is not a direct measurement at the retina.","near eye","glasses placement","Code, data fields, and provenance tables.","mandatory first use"
"placement","chest","chest sensor position","Light measured by the chest-worn sensor; it is complementary and should not be described as ocular exposure.","chest","chest placement","Code, data fields, and provenance tables.","mandatory first use"
"site naming","site name without country code","site name followed by its ISO alpha-2 country code","Every displayed study-site name carries its country code, for example Tübingen (DE); apply the same label in prose, tables, figures, legends, captions, and alt text.","Tübingen (DE); Aalborg (DK)","internal site code","Internal codes may remain only in code, data fields, formulas, and audit provenance.","mandatory everywhere reader-facing"
"evidence role","primary; complementary","primary near-eye result; complementary chest result","Primary identifies the prespecified or approved main placement; complementary identifies supporting evidence from a different placement or analysis, not a replication on an identical sample unless stated.","primary; complementary","confirmatory; secondary","Only where those inferential labels are formally justified by the contract.","mandatory"
"deviation","deviation ID without context","preregistration deviation with a plain description and exact link","State what differed from the preregistered plan, why, and what consequence it has for interpretation, then link the stable entry.","deviation DEV-###","ledger status and audit record type","Deviation register and linked provenance.","mandatory"
"production history","Stage 1/2/3/4; gate; worker; task; coordinator; author gate","omit from the reader report; state the scientific status or qualification directly","For example, replace a gate history with: this result is based on the accepted analysis, or: independent reconstruction of this input remains incomplete.","accepted analysis; current qualification","workflow stage and gate ID","Audit-only provenance and owner handoffs.","mandatory"
"artifact history","frozen; sealed; pinned; production artifact; manifest; checksum; SHA-256","stored analysis output or source data, only when the distinction helps the reader","If provenance matters, say that the display uses stored outputs and link the technical record; do not narrate hashes in the result flow.","stored output; source data","manifest; checksum; hash","Collapsible reproducibility details or audit-only companion material.","mandatory"
"legacy history","V0; legacy implementation; submitted implementation; cut trail; superseded analysis","omit from the reader narrative or replace with the current scientific comparison","Describe only the approved current analysis and any consequence that still matters scientifically.","previous analysis, only if scientifically necessary","legacy/V0 label","Audit comparison documents, not the reader-facing result.","mandatory"
"internal identifiers","METRIC-###; FIND-###; REPORT-###; CHG-###; ENV-###","plain scientific qualification, optionally linked to audit provenance","For example: the current diary-period support has not yet been independently reconstructed.","plain qualification","internal identifier","Audit records and source-data provenance only.","mandatory"
"model fitting","fREML; REML","restricted-likelihood estimation","A fitting criterion used to estimate smoothness or variance components; readers do not need it in the principal result unless it changes interpretation.","restricted likelihood","fast restricted maximum likelihood (fREML); REML","Model specification and computational reproducibility details.","optional reader explanation"
