"metric","value","note"
"status","PASS","dry-run implementation and focused test only"
"input_temp_path","/private/tmp/report017-h01-gt-dry-run.pF8CnV/H01-input.html","temporary copy of the sealed H01 HTML"
"input_sha256","ceb68cc24bd24cabdbab94aabe770c75a7ce0d3942f5c099064ed80eecf6da72","matches the durable accepted H01 HTML"
"input_bytes","1371249","bytes"
"output_temp_path","/private/tmp/report017-h01-gt-dry-run.pF8CnV/H01-repaired.html","temporary repaired copy only"
"output_sha256","f96183693bfb3f8dc6570c1666f7e9202a47a9cd3bf9c9f62d1c30c941dfb054","raw-attribute substitutions only"
"output_bytes","1626062","bytes"
"exact_reverse_sha256","ceb68cc24bd24cabdbab94aabe770c75a7ce0d3942f5c099064ed80eecf6da72","reversing the ledger reproduces the input byte-for-byte"
"table_endpoints","36","unique Quarto tbl-* endpoints"
"id_substitutions","783","gt-internal id attribute values"
"headers_substitutions","4798","gt body-cell headers attribute values"
"total_substitutions","5581","only id and headers values"
"unsupported_old_id_references","0","no aria-labelledby, aria-describedby, for, fragment href, or other enumerated IDREF reference"
"post_document_duplicate_ids","0","document-wide"
"post_unresolved_headers_tokens","0","every token resolves exactly once in its own table to a th element"
"visible_text_changed","0","table and complete-document text are identical"
"row_cell_header_counts_changed","0","all counts are identical"
"durable_rendered_html_changed","0","the accepted H01 HTML remains unchanged"
"R_version","4.6.1","authoritative structural audit runtime"
"gt_version","1.3.0","accepted project table renderer"
"xml2_version","1.6.0","DOM verification"
"htmltools_version","0.5.9","recorded table runtime"
"knitr_version","1.51","recorded report runtime"
"digest_version","0.6.39","SHA-256 verification"
"Quarto_version","1.9.37","recorded report renderer"
