"relative_path","role","sha256","bytes","modified_utc","is_symlink","symlink_target"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html","expected_companion_render_target","53c261b88b5d10238e18e33323ad705c61c92215c040fc84880385cdc434fd2f",641597,"2026-08-12T00:50:39.521407Z UTC",FALSE,""
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.qmd","expected_source_identical_build_qmd","e32aff685b713838acd5e416003edae8c9d066abe8dbd52fe9e133159b23e663",45382,"2026-08-12T00:50:39.508977Z UTC",FALSE,""
"_build/nathealth/notebooks/hypotheses/H07.html","dispatch_contract","7814860467f71311c56e22960e757059524ccc3890b0721708eda7a5c661ab40",265730,"2026-08-21T17:27:46.052077Z UTC",FALSE,""
"_build/nathealth/supplementary_information.html","h07_protected","a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb",49234,"2026-08-20T10:07:18.760657Z UTC",FALSE,""
"_quarto-nathealth.yml","dispatch_contract","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"2026-08-14T14:21:45.336235Z UTC",FALSE,""
"_quarto.yml","h07_protected","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c",2517,"2026-07-03T18:42:18.747725Z UTC",FALSE,""
"artifacts/07_models/H07/fits/dose_common_corrected__chest/dose_time_sensitive_corrected_medi/adapted_photoperiod_linear.rds","h07_artifact_or_input","85eb2db31bd8e5a30e48d14f53ca5d20588ded5c79c1bbe3152208e675f126af",684548,"2026-08-06T09:19:05.884569Z UTC",FALSE,""
"artifacts/07_models/H07/fits/dose_common_corrected__chest/dose_time_sensitive_corrected_medi/adapted_photoperiod_smooth.rds","h07_artifact_or_input","03a71b51f3cc75c6ea4d32c2a3a8fae10bbb82c8f0443d89eb19b47e4ac9d528",736432,"2026-08-06T09:19:08.568401Z UTC",FALSE,""
"artifacts/07_models/H07/fits/dose_common_corrected__chest/dose_time_sensitive_corrected_medi/registered_null.rds","h07_artifact_or_input","077dcc59cd82318be3e5a35f9b37b526ee00a183f61041017a41064a440a320a",417508,"2026-08-06T09:19:03.511073Z UTC",FALSE,""
"artifacts/07_models/H07/fits/dose_common_corrected__near_eye/dose_time_sensitive_corrected_medi/adapted_photoperiod_linear.rds","h07_artifact_or_input","ac1802f5820dab3f5d6650114813d811bfb6b4a3c0303040cce5411a5420cc74",620648,"2026-08-06T09:18:59.536994Z UTC",FALSE,""
