"path","role","expected_sha256","observed_sha256","expected_bytes","observed_bytes","status"
"audit/report_harmonization/owner_orders/53_h07_companion_report018_render.md","controlling order 53","988d0773e2b2ed05696a0fb1d2d717384a5d80f80ae976612706f82c7eed7c9b","988d0773e2b2ed05696a0fb1d2d717384a5d80f80ae976612706f82c7eed7c9b",5016,5016,"PASS"
"audit/report_harmonization/report018_h07_companion_release.md","central companion release","4d3948848ad229e128dbeee6be98b3142e688b47eb2d6d0f2cb8f1baf8ddb085","4d3948848ad229e128dbeee6be98b3142e688b47eb2d6d0f2cb8f1baf8ddb085",6013,6013,"PASS"
"audit/report_harmonization/report018_h07_companion_release_manifest.csv","central release manifest","ad49add8af40446ce0e7710326f4c94e4463742a72b99c341c2a158e575ba7a3","ad49add8af40446ce0e7710326f4c94e4463742a72b99c341c2a158e575ba7a3",3278,3278,"PASS"
"audit/report_harmonization/report018_h07_companion_release_pins.csv","release pins","47161aabe9c90eb3457d6d8bbb7787930bc95af0e1d109cc13702decb1a35f6a","47161aabe9c90eb3457d6d8bbb7787930bc95af0e1d109cc13702decb1a35f6a",3515,3515,"PASS"
"scripts/report_harmonization/check_h07_companion_report018_release.R","completed release checker","02a6cf08ccea3bfa0ea1b3303ddcf8ca9a59c3ed48db6328c305f6dfd8f9bb61","02a6cf08ccea3bfa0ea1b3303ddcf8ca9a59c3ed48db6328c305f6dfd8f9bb61",10571,10571,"PASS"
"audit/report_harmonization/report018_h07_companion_release_verification.csv","release verification","a3e8f2328e1dadea5173c9c76e30f863f467dc3b79b65411e95125874da93d9c","a3e8f2328e1dadea5173c9c76e30f863f467dc3b79b65411e95125874da93d9c",2070,2070,"PASS"
"audit/report_harmonization/report018_h07_result_independent_acceptance.md","preceding result acceptance","7752009f6cbda0ac1954c7d6b98238e00aa21172443f18bc2268193581e37813","7752009f6cbda0ac1954c7d6b98238e00aa21172443f18bc2268193581e37813",3456,3456,"PASS"
"audit/report_harmonization/report018_h07_result_independent_acceptance_manifest.csv","preceding result acceptance manifest","cd2324cf4b1ab31dd8c9f760bb1b9c468eda7db91358a14803212a42d44d47e1","cd2324cf4b1ab31dd8c9f760bb1b9c468eda7db91358a14803212a42d44d47e1",4106,4106,"PASS"
"notebooks/hypotheses/H07.qmd","accepted result source","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226",45440,45440,"PASS"
"_build/nathealth/notebooks/hypotheses/H07.html","accepted result HTML","7814860467f71311c56e22960e757059524ccc3890b0721708eda7a5c661ab40","7814860467f71311c56e22960e757059524ccc3890b0721708eda7a5c661ab40",265730,265730,"PASS"
