"order","endpoint","native_gt_count","caption_count","caption","rows","header_cells","body_cells","status"
1,"tbl-h07-preparation-contributions",1,1,"Table 1: What each analytical component contributes to H07",7,3,18,"PASS"
2,"tbl-h07-preparation-input-identities",1,1,"Table 2: Consequential input identities verified before preparing this companion",5,4,16,"PASS"
3,"tbl-h07-preparation-frame-integrity",1,1,"Table 3: Integrity checks for the 18 primary metric-specific model frames",3,9,12,"PASS"
4,"tbl-h07-preparation-sample-ranges",1,1,"Table 4: Range of exact primary fitted samples across the nine metrics",3,9,12,"PASS"
5,"tbl-h07-preparation-metric-samples",1,1,"Table 5: Exact fitted sample for every metric and placement",21,8,108,"PASS"
6,"tbl-h07-preparation-site-support",1,1,"Table 6: Site-level support in the complete mean-melEDI frame",20,8,102,"PASS"
7,"tbl-h07-preparation-metric-contract",1,1,"Table 7: Response contract for all nine planned H07 metrics",10,5,45,"PASS"
8,"tbl-h07-preparation-formulas",1,1,"Table 8: Exact evaluated H07 Wilkinson formulas and their analytical roles",10,3,27,"PASS"
9,"tbl-h07-preparation-fit-settings",1,1,"Table 9: Recorded fitting settings common to the H07 model family",10,2,18,"PASS"
10,"tbl-h07-preparation-derivative-settings",1,1,"Table 10: Recorded derivative and qualifying-transition classification settings",14,2,26,"PASS"
11,"tbl-h07-preparation-pattern-counts",1,1,"Table 11: Recorded qualifying-transition classifications carried into the results report",4,6,7,"PASS"
12,"tbl-h07-preparation-diagnostic-summary",1,1,"Table 12: Summary of convergence, basis, overlap among nonlinear terms (concurvity), and temporal model checks",3,8,10,"PASS"
13,"tbl-h07-preparation-tweedie-pilot",1,1,"Table 13: Frozen 100-draw Tweedie distributional pilot",9,8,36,"PASS"
14,"tbl-h07-preparation-sensitivity-samples",1,1,"Table 14: Exact fitted sensitivity samples; ranges are metric-specific",15,5,70,"PASS"
15,"tbl-h07-preparation-sensitivity-classifications",1,1,"Table 15: Agreement of sensitivity qualifying-transition classifications with the reported pooled photoperiod analysis",19,9,36,"PASS"
16,"tbl-h07-preparation-model-form",1,1,"Table 16: Qualifying-transition stability under broader photoperiod smooths and fixed site effects",7,6,16,"PASS"
17,"tbl-h07-preparation-loso",1,1,"Table 17: Leave-one-site-out stability of the qualifying-transition classifications",21,6,72,"PASS"
18,"tbl-h07-preparation-metric011",1,1,"Table 18: Numerical-zero reconciliation retained in technical H07 provenance",10,4,36,"PASS"
19,"tbl-h07-preparation-code-order",1,1,"Table 19: H07 code in execution order",14,3,39,"PASS"
20,"tbl-h07-preparation-output-map",1,1,"Table 20: Principal durable H07 output families",9,3,24,"PASS"
21,"tbl-h07-preparation-environment",1,1,"Table 21: Recorded computational environment for the fitted H07 outputs",2,5,5,"PASS"
