"check","observed","expected","status"
"dispatch non-matrix hard rows","28","28","PASS"
"parseable R chunks","26","26","PASS"
"unique native gt source endpoints","21","21","PASS"
"unique figure source endpoints","3","3","PASS"
"relative reader and source targets","14","14","PASS"
"dynamic result QMD links","3","3","PASS"
"companion deviation anchor","1","1","PASS"
"prohibited scientific calls","0","0","PASS"
"scientific preservation phrases","7","7","PASS"
"historical manifest exact rows","1231","1231","PASS"
"historical manifest expected mismatches","4","4","PASS"
"profile registration","1","1","PASS"
"build symlinks","0","0","PASS"
"protected files","1368","complete","PASS"
"R version","4.6.1","4.6.1","PASS"
"Quarto version","1.9.37","1.9.37","PASS"
