"endpoint_type","order","endpoint"
"table",1,"tbl-h07-preparation-contributions"
"table",2,"tbl-h07-preparation-input-identities"
"table",3,"tbl-h07-preparation-frame-integrity"
"table",4,"tbl-h07-preparation-sample-ranges"
"table",5,"tbl-h07-preparation-metric-samples"
"table",6,"tbl-h07-preparation-site-support"
"table",7,"tbl-h07-preparation-metric-contract"
"table",8,"tbl-h07-preparation-formulas"
"table",9,"tbl-h07-preparation-fit-settings"
"table",10,"tbl-h07-preparation-derivative-settings"
"table",11,"tbl-h07-preparation-pattern-counts"
"table",12,"tbl-h07-preparation-diagnostic-summary"
"table",13,"tbl-h07-preparation-tweedie-pilot"
"table",14,"tbl-h07-preparation-sensitivity-samples"
"table",15,"tbl-h07-preparation-sensitivity-classifications"
"table",16,"tbl-h07-preparation-model-form"
"table",17,"tbl-h07-preparation-loso"
"table",18,"tbl-h07-preparation-metric011"
"table",19,"tbl-h07-preparation-code-order"
"table",20,"tbl-h07-preparation-output-map"
"table",21,"tbl-h07-preparation-environment"
"figure",1,"fig-h07-preparation-map"
"figure",2,"fig-h07-prep-metric-sample-support"
"figure",3,"fig-h07-prep-site-photoperiod-ranges"
