"category","endpoint","path","exists","sha256","bytes","expected_sha256","status"
"control","order 53","audit/report_harmonization/owner_orders/53_h07_companion_report018_render.md",TRUE,"988d0773e2b2ed05696a0fb1d2d717384a5d80f80ae976612706f82c7eed7c9b",5016,"988d0773e2b2ed05696a0fb1d2d717384a5d80f80ae976612706f82c7eed7c9b","PRESENT"
"control","central release","audit/report_harmonization/report018_h07_companion_release.md",TRUE,"4d3948848ad229e128dbeee6be98b3142e688b47eb2d6d0f2cb8f1baf8ddb085",6013,"4d3948848ad229e128dbeee6be98b3142e688b47eb2d6d0f2cb8f1baf8ddb085","PRESENT"
"control","dispatch manifest","audit/report_harmonization/report018_h07_companion_order53_dispatch_manifest.csv",TRUE,"d5a405c26a998f9a2944262ff44cb78bfe4eaa3925d26b8ec8c69914d9ea138b",4444,"d5a405c26a998f9a2944262ff44cb78bfe4eaa3925d26b8ec8c69914d9ea138b","PRESENT"
"control","current coordination matrix","audit/report_harmonization/coordination_matrix.csv",TRUE,"6835f5a5fb56a9ed08e84aa906442521a9a9ac50177d292492691a2186b9437a",34034,"","PRESENT"
"result","accepted result source","notebooks/hypotheses/H07.qmd",TRUE,"c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226",45440,"c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226","PRESENT"
"result","accepted result HTML","_build/nathealth/notebooks/hypotheses/H07.html",TRUE,"7814860467f71311c56e22960e757059524ccc3890b0721708eda7a5c661ab40",265730,"7814860467f71311c56e22960e757059524ccc3890b0721708eda7a5c661ab40","PRESENT"
"companion","released companion source","audit/hypotheses/H07/H07_analysis_preparation.qmd",TRUE,"a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b",49762,"a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b","PRESENT"
"companion","source-identical build QMD","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.qmd",TRUE,"a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b",49762,"a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b","PRESENT"
"companion","rendered and semantically repaired build HTML","_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93",654955,"4c03a3e3cdfa1c6eac13d5785ceee8306e6d0941278b679a1eb88e357b270d93","PRESENT"
"companion","missing source-side historical HTML","audit/hypotheses/H07/H07_analysis_preparation.html",FALSE,"",,"53c261b88b5d10238e18e33323ad705c61c92215c040fc84880385cdc434fd2f","MISSING"
