"domain","check","observed","expected","status"
"semantics","reversal and reapplication","6","6","PASS"
"semantics","visible and structural invariance","7","7","PASS"
"reader structure","native gt table order and captions","tbl-h07-preparation-contributions|tbl-h07-preparation-input-identities|tbl-h07-preparation-frame-integrity|tbl-h07-preparation-sample-ranges|tbl-h07-preparation-metric-samples|tbl-h07-preparation-site-support|tbl-h07-preparation-metric-contract|tbl-h07-preparation-formulas|tbl-h07-preparation-fit-settings|tbl-h07-preparation-derivative-settings|tbl-h07-preparation-pattern-counts|tbl-h07-preparation-diagnostic-summary|tbl-h07-preparation-tweedie-pilot|tbl-h07-preparation-sensitivity-samples|tbl-h07-preparation-sensitivity-classifications|tbl-h07-preparation-model-form|tbl-h07-preparation-loso|tbl-h07-preparation-metric011|tbl-h07-preparation-code-order|tbl-h07-preparation-output-map|tbl-h07-preparation-environment","tbl-h07-preparation-contributions|tbl-h07-preparation-input-identities|tbl-h07-preparation-frame-integrity|tbl-h07-preparation-sample-ranges|tbl-h07-preparation-metric-samples|tbl-h07-preparation-site-support|tbl-h07-preparation-metric-contract|tbl-h07-preparation-formulas|tbl-h07-preparation-fit-settings|tbl-h07-preparation-derivative-settings|tbl-h07-preparation-pattern-counts|tbl-h07-preparation-diagnostic-summary|tbl-h07-preparation-tweedie-pilot|tbl-h07-preparation-sensitivity-samples|tbl-h07-preparation-sensitivity-classifications|tbl-h07-preparation-model-form|tbl-h07-preparation-loso|tbl-h07-preparation-metric011|tbl-h07-preparation-code-order|tbl-h07-preparation-output-map|tbl-h07-preparation-environment","PASS"
"reader structure","two accepted PNG figures","fig-h07-prep-metric-sample-support|fig-h07-prep-site-photoperiod-ranges","fig-h07-prep-metric-sample-support|fig-h07-prep-site-photoperiod-ranges","PASS"
"reader structure","one top-down Mermaid","1/TD","1/TD","PASS"
"semantics","unique document IDs","0","0","PASS"
"semantics","table header references","1144","1144","PASS"
"reader links","all reader links resolve","405","408","FAIL"
"reader links","dynamic result links","../../../notebooks/hypotheses/H07.html|../../../notebooks/hypotheses/H07.html|../../../notebooks/hypotheses/H07.html#h07-preregistration-deviations","../../../notebooks/hypotheses/H07.html|../../../notebooks/hypotheses/H07.html|../../../notebooks/hypotheses/H07.html#h07-preregistration-deviations","PASS"
"scientific contract","required reader phrases","13","13","PASS"
"reader structure","country-coded sites","9","9","PASS"
"reader structure","active H07 preparation navigation","H07 preparation and provenance","H07 preparation and provenance","PASS"
"reader structure","embedded execution defects","0/FALSE/FALSE","0/FALSE/FALSE","PASS"
"reader structure","companion deviation anchor","1","1","PASS"
"scientific contract","source-data row contracts","9","9","PASS"
"scientific contract","frames samples diagnostics classifications and METRIC-011","TRUE","TRUE","PASS"
"scientific contract","exact formula registry","9","9","PASS"
"figure contract","170 mm typography and historical visual QA","2","2","PASS"
"helper manifest","unique live-exact non-circular rows","1235/1235/0","1235/1235/0","PASS"
"helper manifest","current result and companion identities present","6","6","PASS"
"protected preservation","source-side historical companion HTML","FALSE/FALSE","TRUE/TRUE","FAIL"
"protected preservation","source-side historical companion asset tree in live manifest","0","15","FAIL"
"helper manifest","source-identical build QMD","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b","PASS"
"protected preservation","accepted result source HTML profile tests hooks handoff and lock","12","12","PASS"
"build delta","classified companion build changes","21","21","PASS"
"protected preservation","removed protected paths","16","0","FAIL"
"tests","unchanged result reader test","0","0","PASS"
"tests","held preparation test unchanged and unexecuted","89fd3eaa2f4f9928234280844e480ff5b863e104366af17675fe36366c456558/FALSE","89fd3eaa2f4f9928234280844e480ff5b863e104366af17675fe36366c456558/FALSE","PASS"
