"table_index","table_endpoint","attribute","attribute_index","pre_value_start_byte","pre_value_end_byte","pre_value","post_value","intended_pre_ids","intended_post_ids","post_value_start_byte","post_value_end_byte","pre_value_bytes","post_value_bytes"
1,"tbl-h07-preparation-contributions","id",1,46347,46355,"Component","tbl-h07-preparation-contributions--gt-0001","","",46347,46388,9,42
1,"tbl-h07-preparation-contributions","id",2,46482,46489,"Question","tbl-h07-preparation-contributions--gt-0002","","",46515,46556,8,42
1,"tbl-h07-preparation-contributions","id",3,46615,46631,"Evidence-retained","tbl-h07-preparation-contributions--gt-0003","","",46682,46723,17,42
1,"tbl-h07-preparation-contributions","headers",1,46855,46863,"Component","tbl-h07-preparation-contributions--gt-0001","Component","tbl-h07-preparation-contributions--gt-0001",46947,46988,9,42
1,"tbl-h07-preparation-contributions","headers",2,46922,46929,"Question","tbl-h07-preparation-contributions--gt-0002","Question","tbl-h07-preparation-contributions--gt-0002",47047,47088,8,42
1,"tbl-h07-preparation-contributions","headers",3,47013,47029,"Evidence retained","tbl-h07-preparation-contributions--gt-0003","Evidence-retained","tbl-h07-preparation-contributions--gt-0003",47172,47213,17,42
1,"tbl-h07-preparation-contributions","headers",4,47153,47161,"Component","tbl-h07-preparation-contributions--gt-0001","Component","tbl-h07-preparation-contributions--gt-0001",47337,47378,9,42
1,"tbl-h07-preparation-contributions","headers",5,47235,47242,"Question","tbl-h07-preparation-contributions--gt-0002","Question","tbl-h07-preparation-contributions--gt-0002",47452,47493,8,42
1,"tbl-h07-preparation-contributions","headers",6,47344,47360,"Evidence retained","tbl-h07-preparation-contributions--gt-0003","Evidence-retained","tbl-h07-preparation-contributions--gt-0003",47595,47636,17,42
1,"tbl-h07-preparation-contributions","headers",7,47507,47515,"Component","tbl-h07-preparation-contributions--gt-0001","Component","tbl-h07-preparation-contributions--gt-0001",47783,47824,9,42
1,"tbl-h07-preparation-contributions","headers",8,47581,47588,"Question","tbl-h07-preparation-contributions--gt-0002","Question","tbl-h07-preparation-contributions--gt-0002",47890,47931,8,42
1,"tbl-h07-preparation-contributions","headers",9,47693,47709,"Evidence retained","tbl-h07-preparation-contributions--gt-0003","Evidence-retained","tbl-h07-preparation-contributions--gt-0003",48036,48077,17,42
1,"tbl-h07-preparation-contributions","headers",10,47847,47855,"Component","tbl-h07-preparation-contributions--gt-0001","Component","tbl-h07-preparation-contributions--gt-0001",48215,48256,9,42
1,"tbl-h07-preparation-contributions","headers",11,47929,47936,"Question","tbl-h07-preparation-contributions--gt-0002","Question","tbl-h07-preparation-contributions--gt-0002",48330,48371,8,42
1,"tbl-h07-preparation-contributions","headers",12,48035,48051,"Evidence retained","tbl-h07-preparation-contributions--gt-0003","Evidence-retained","tbl-h07-preparation-contributions--gt-0003",48470,48511,17,42
1,"tbl-h07-preparation-contributions","headers",13,48171,48179,"Component","tbl-h07-preparation-contributions--gt-0001","Component","tbl-h07-preparation-contributions--gt-0001",48631,48672,9,42
1,"tbl-h07-preparation-contributions","headers",14,48242,48249,"Question","tbl-h07-preparation-contributions--gt-0002","Question","tbl-h07-preparation-contributions--gt-0002",48735,48776,8,42
