"check","pass","sample"
"caller_serialization_unchanged",TRUE,"ANY"
"endpoint_rows_permutation",TRUE,"ANY"
"BB_rows_permutation",TRUE,"ANY"
"literal_endpoint_Y_N",TRUE,"ANY"
"literal_BB_Y_N",TRUE,"ANY"
"actual_dates_preserved",TRUE,"ANY"
"date_classes_preserved",TRUE,"ANY"
"endpoint_order_exact",TRUE,"ANY"
"actual_gap_lengths_exact",TRUE,"ANY"
"all_noninitial_gaps_positive",TRUE,"ANY"
"BB_coordinates_are_real_days",TRUE,"ANY"
"factor_levels_preserved",TRUE,"ANY"
"all12_transport_checks",TRUE,"ANY"
"full_five_matrix_rank",TRUE,"ANY"
"fixed_and_random_column_names_match_primary",TRUE,"ANY"
"both_BB_formulas_have_all_fields",TRUE,"ANY"
"140_participant_starts_exact",TRUE,"ANY"
"saved_primary_coefficients_exact",TRUE,"ANY"
"expected_sample_rows",TRUE,"ANY"
"all54_category_cells",TRUE,"ANY"
"actual_Date_class_and_full_source_label_preserved",TRUE,"ANY"
"all_constructor_factor_levels_match_accepted_primary",TRUE,"ANY"
"caller_serialization_unchanged",TRUE,"80"
"endpoint_rows_permutation",TRUE,"80"
"BB_rows_permutation",TRUE,"80"
"literal_endpoint_Y_N",TRUE,"80"
"literal_BB_Y_N",TRUE,"80"
"actual_dates_preserved",TRUE,"80"
"date_classes_preserved",TRUE,"80"
"endpoint_order_exact",TRUE,"80"
"actual_gap_lengths_exact",TRUE,"80"
"all_noninitial_gaps_positive",TRUE,"80"
"BB_coordinates_are_real_days",TRUE,"80"
"factor_levels_preserved",TRUE,"80"
"all12_transport_checks",TRUE,"80"
"full_five_matrix_rank",TRUE,"80"
"fixed_and_random_column_names_match_primary",TRUE,"80"
"both_BB_formulas_have_all_fields",TRUE,"80"
"140_participant_starts_exact",TRUE,"80"
"saved_primary_coefficients_exact",TRUE,"80"
"expected_sample_rows",TRUE,"80"
"all54_category_cells",TRUE,"80"
"actual_Date_class_and_full_source_label_preserved",TRUE,"80"
"all_constructor_factor_levels_match_accepted_primary",TRUE,"80"
