placement,site,participant_key,local_date,fitted_duration_hours,metric_support_expected_minutes,pre_sleep_source_intervals,pre_sleep_interval_minutes_on_date
chest,BAUA,BAUA::BAUA_S017,2025-09-14,5.966666666666667,360,2,360
chest,FUSPCEU,FUSPCEU::FUSPCEU_S020,2025-01-26,5.616666666666666,360,2,360
chest,IZTECH,IZTECH::IZTECH_S001,2024-12-25,5.533333333333333,360,2,360
chest,UCR,UCR::UCR_S018,2025-07-26,5.15,340,2,340
chest,FUSPCEU,FUSPCEU::FUSPCEU_S008,2024-10-27,5,300,2,300
chest,RISE,RISE::RISE_S003,2025-03-23,4.666666666666667,285,2,285
chest,TUM,TUM::TUM_S005,2024-06-23,4.566666666666666,360,2,360
chest,THUAS,THUAS::THUAS_S015,2025-07-13,4.35,265,2,265
chest,UCR,UCR::UCR_S029,2025-08-15,4.316666666666666,310,2,310
chest,IZTECH,IZTECH::IZTECH_S001,2024-12-27,4.266666666666667,270,2,270
chest,TUM,TUM::TUM_S001,2024-05-19,4.266666666666667,290,2,290
chest,THUAS,THUAS::THUAS_S019,2025-10-03,4.066666666666666,330,2,330
chest,TUM,TUM::TUM_S004,2024-06-14,4,240,2,240
chest,TUM,TUM::TUM_S006,2024-06-30,3.966666666666667,295,2,295
chest,UCR,UCR::UCR_S015,2025-07-18,3.933333333333333,280,2,280
chest,UCR,UCR::UCR_S016,2025-07-17,3.9,240,2,240
chest,RISE,RISE::RISE_S007,2025-04-17,3.8666666666666667,232,2,232
chest,TUM,TUM::TUM_S002,2024-05-30,3.8666666666666667,245,2,245
chest,FUSPCEU,FUSPCEU::FUSPCEU_S024,2025-02-09,3.8333333333333335,240,2,240
chest,KNUST,KNUST::KNUST_S009,2024-12-03,3.816666666666667,255,2,255
chest,TUM,TUM::TUM_S009,2024-07-17,3.8,230,2,230
chest,THUAS,THUAS::THUAS_S001,2025-02-24,3.783333333333333,228,2,228
chest,BAUA,BAUA::BAUA_S005,2025-06-11,3.75,225,2,225
chest,UCR,UCR::UCR_S033,2025-08-20,3.7333333333333334,240,2,240
chest,BAUA,BAUA::BAUA_S015,2025-07-27,3.683333333333333,240,2,240
chest,BAUA,BAUA::BAUA_S004,2025-06-15,3.6666666666666665,300,2,300
chest,IZTECH,IZTECH::IZTECH_S012,2025-04-25,3.65,255,2,255
chest,THUAS,THUAS::THUAS_S001,2025-02-28,3.65,220,2,220
chest,BAUA,BAUA::BAUA_S005,2025-06-15,3.6166666666666667,242,2,242
chest,FUSPCEU,FUSPCEU::FUSPCEU_S009,2024-11-05,3.6,250,2,250
chest,FUSPCEU,FUSPCEU::FUSPCEU_S024,2025-02-08,3.6,270,2,270
chest,RISE,RISE::RISE_S002,2025-03-23,3.5833333333333335,216,2,216
chest,TUM,TUM::TUM_S009,2024-07-20,3.566666666666667,247,2,247
chest,IZTECH,IZTECH::IZTECH_S007,2025-03-01,3.55,227,2,227
chest,UCR,UCR::UCR_S037,2025-08-28,3.533333333333333,230,2,230
chest,IZTECH,IZTECH::IZTECH_S015,2025-04-30,3.5166666666666666,228,2,228
chest,BAUA,BAUA::BAUA_S010,2025-06-29,3.5,210,2,210
chest,FUSPCEU,FUSPCEU::FUSPCEU_S008,2024-10-23,3.5,210,2,210
chest,KNUST,KNUST::KNUST_S011,2024-12-20,3.4833333333333334,210,2,210
chest,TUM,TUM::TUM_S010,2024-07-25,3.4833333333333334,209,2,209
chest,FUSPCEU,FUSPCEU::FUSPCEU_S024,2025-02-06,3.466666666666667,210,2,210
chest,KNUST,KNUST::KNUST_S009,2024-12-05,3.466666666666667,210,2,210
chest,BAUA,BAUA::BAUA_S017,2025-09-10,3.45,288,2,288
chest,IZTECH,IZTECH::IZTECH_S001,2024-12-29,3.45,225,2,225
chest,IZTECH,IZTECH::IZTECH_S015,2025-05-02,3.433333333333333,210,2,210
chest,IZTECH,IZTECH::IZTECH_S017,2025-05-27,3.433333333333333,290,2,290
chest,UCR,UCR::UCR_S015,2025-07-19,3.433333333333333,210,2,210
chest,TUM,TUM::TUM_S010,2024-07-28,3.4166666666666665,210,2,210
chest,FUSPCEU,FUSPCEU::FUSPCEU_S024,2025-02-05,3.4,240,2,240
chest,BAUA,BAUA::BAUA_S005,2025-06-13,3.3833333333333333,270,2,270
chest,UCR,UCR::UCR_S009,2025-07-05,3.3833333333333333,245,2,245
chest,FUSPCEU,FUSPCEU::FUSPCEU_S004,2024-10-13,3.3,216,2,216
chest,UCR,UCR::UCR_S017,2025-07-19,3.216666666666667,290,2,290
chest,UCR,UCR::UCR_S004,2025-06-29,3.2,200,2,200
chest,BAUA,BAUA::BAUA_S015,2025-07-24,3.183333333333333,195,2,195
chest,TUM,TUM::TUM_S002,2024-06-01,3.1666666666666665,195,2,195
chest,TUM,TUM::TUM_S009,2024-07-18,3.1666666666666665,190,2,190
chest,UCR,UCR::UCR_S030,2025-08-16,3.1666666666666665,210,2,210
chest,RISE,RISE::RISE_S002,2025-03-18,3.15,234,2,234
chest,UCR,UCR::UCR_S001,2025-06-22,3.15,205,2,205
chest,UCR,UCR::UCR_S029,2025-08-17,3.1,220,2,220
chest,BAUA,BAUA::BAUA_S006,2025-06-11,3.0833333333333335,185,2,185
chest,IZTECH,IZTECH::IZTECH_S009,2025-03-24,3.0833333333333335,242,2,242
chest,IZTECH,IZTECH::IZTECH_S013,2025-04-25,3.0833333333333335,360,2,360
chest,BAUA,BAUA::BAUA_S022,2025-09-27,3.066666666666667,205,2,205
chest,THUAS,THUAS::THUAS_S010,2025-06-08,3.066666666666667,246,2,246
chest,BAUA,BAUA::BAUA_S018,2025-09-09,3.0166666666666666,195,2,195
chest,IZTECH,IZTECH::IZTECH_S002,2025-01-09,3.0166666666666666,282,2,282
chest,FUSPCEU,FUSPCEU::FUSPCEU_S016,2024-11-27,3,240,2,240
chest,KNUST,KNUST::KNUST_S006,2024-11-15,2.9833333333333334,190,2,190
chest,UCR,UCR::UCR_S005,2025-06-26,2.9833333333333334,360,2,360
chest,UCR,UCR::UCR_S033,2025-08-22,2.966666666666667,210,2,210
