run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,gate_role,named_alternative,primary_near_eye,participants,participant_days,observations,sites,derivation_support_hours,derivation_support_status,sample_status,converged,positive_definite_hessian,singular,residual_status,shapiro_p,residual_variance_ratio,standardized_residual_over_3_fraction,standardized_residual_over_4_fraction,dharma_uniformity_p,dharma_dispersion_p,dharma_zero_inflation_p,dharma_outlier_p,observed_zero_fraction,simulated_zero_fraction,zero_fraction_ratio,prediction_bound_status,observed_below_bound_n,observed_above_bound_n,predicted_below_bound_n,predicted_above_bound_n,audit_threshold_status,observed_above_audit_threshold_n,predicted_above_audit_threshold_n,diagnostic_status,strong_residual_flag,predicted_support_flag,attempted_refits,successful_refits,used_refits,failed_refits,warning_refits,bootstrap_status,postbootstrap_gate_status
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,explicit_author_disposition_required,Tweedie log-link model,FALSE,154,902,902,8,,unavailable,FITTED,TRUE,TRUE,FALSE,WARN_STRONG_GAUSSIAN_MISFIT,4.686163539079507e-21,12.737051025854695,0.01108647450110864,0.00443458980044345,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,0,0,,NOT_APPLICABLE,,,WARN_REVIEW,TRUE,FALSE,1500,1500,1000,0,0,PASS,OPEN_AUTHOR_DISPOSITION_REQUIRED
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,explicit_author_disposition_required,Tweedie log-link model,FALSE,112,643,643,8,,unavailable,FITTED,TRUE,TRUE,FALSE,WARN_STRONG_GAUSSIAN_MISFIT,1.4983315748414722e-20,15.447577502074784,0.01555209953343701,0.0062208398133748,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,0,0,,NOT_APPLICABLE,,,WARN_REVIEW,TRUE,FALSE,1500,1500,1000,0,0,PASS,OPEN_AUTHOR_DISPOSITION_REQUIRED
main__glasses__all_available,main,glasses,all_available,primary,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,explicit_author_disposition_required,Tweedie log-link model,TRUE,141,816,816,9,,unavailable,FITTED,TRUE,TRUE,FALSE,WARN_GAUSSIAN_DIAGNOSTIC,8.033050006169092e-15,7.348875228226344,0.01225490196078431,0.00490196078431372,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,0,0,,NOT_APPLICABLE,,,WARN_REVIEW,FALSE,FALSE,1500,1500,1000,0,0,PASS,WARN_REVIEW
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,explicit_author_disposition_required,Tweedie log-link model,FALSE,112,643,643,8,,unavailable,FITTED,TRUE,TRUE,FALSE,WARN_STRONG_GAUSSIAN_MISFIT,4.552369776604756e-12,10.93348920096374,0.01399688958009331,0.0046656298600311,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,0,0,,NOT_APPLICABLE,,,WARN_REVIEW,TRUE,FALSE,1500,1500,1000,0,0,PASS,OPEN_AUTHOR_DISPOSITION_REQUIRED
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,explicit_author_disposition_required,Tweedie log-link model,FALSE,154,897,897,8,,unavailable,FITTED,TRUE,TRUE,FALSE,WARN_STRONG_GAUSSIAN_MISFIT,1.6207813225615976e-20,15.78303460062236,0.00891861761426978,0.00445930880713489,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,0,0,,NOT_APPLICABLE,,,WARN_REVIEW,TRUE,FALSE,1500,1500,1000,0,0,PASS,OPEN_AUTHOR_DISPOSITION_REQUIRED
manuscript_prepared_data__chest__paired_common_sample,manuscript_prepared_data,chest,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,explicit_author_disposition_required,Tweedie log-link model,FALSE,112,640,640,8,,unavailable,FITTED,TRUE,TRUE,FALSE,WARN_STRONG_GAUSSIAN_MISFIT,2.951442607759418e-20,17.41158662722739,0.0109375,0.00625,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,0,0,,NOT_APPLICABLE,,,WARN_REVIEW,TRUE,FALSE,1500,1500,1000,0,0,PASS,OPEN_AUTHOR_DISPOSITION_REQUIRED
manuscript_prepared_data__glasses__all_available,manuscript_prepared_data,glasses,all_available,manuscript_prepared_data_sensitivity,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,explicit_author_disposition_required,Tweedie log-link model,TRUE,141,811,811,9,,unavailable,FITTED,TRUE,TRUE,FALSE,WARN_GAUSSIAN_DIAGNOSTIC,7.029629326748242e-13,8.513468562595245,0.01109741060419235,0.00369913686806411,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,0,0,,NOT_APPLICABLE,,,WARN_REVIEW,FALSE,FALSE,1500,1500,1000,0,0,PASS,WARN_REVIEW
manuscript_prepared_data__glasses__paired_common_sample,manuscript_prepared_data,glasses,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,explicit_author_disposition_required,Tweedie log-link model,FALSE,112,640,640,8,,unavailable,FITTED,TRUE,TRUE,FALSE,WARN_STRONG_GAUSSIAN_MISFIT,4.734242542904798e-10,12.551314303503728,0.0125,0.003125,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,0,0,,NOT_APPLICABLE,,,WARN_REVIEW,TRUE,FALSE,1500,1500,1000,0,0,PASS,OPEN_AUTHOR_DISPOSITION_REQUIRED
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,explicit_author_disposition_required,none preapproved,FALSE,153,743,743,8,2180.1,available,FITTED,TRUE,TRUE,FALSE,WARN_TWEEDIE_DIAGNOSTIC,,,,,0.00231675238710117,0.76,0.264,0.2086927270041679,0.00672947510094212,0.00380080753701211,1.7705382436260624,PASS,0,0,0,0,PASS,0,0,WARN_REVIEW,FALSE,FALSE,1500,1500,1000,0,0,PASS,WARN_REVIEW
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,explicit_author_disposition_required,none preapproved,FALSE,110,505,505,8,1479.1833333333334,available,FITTED,TRUE,TRUE,FALSE,WARN_STRONG_TWEEDIE_MISFIT,,,,,0.00126769699589111,0.816,0.096,0.06944605905885759,0.0099009900990099,0.00406336633663366,2.4366471734892787,PASS,0,0,0,0,PASS,0,0,WARN_REVIEW,TRUE,FALSE,1500,1500,1000,0,0,PASS,OPEN_AUTHOR_DISPOSITION_REQUIRED
main__glasses__all_available,main,glasses,all_available,primary,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,explicit_author_disposition_required,none preapproved,TRUE,139,655,655,9,1925.5333333333333,available,FITTED,TRUE,TRUE,FALSE,WARN_STRONG_TWEEDIE_MISFIT,,,,,0.00518817255367957,0.552,0.024,0.376453363068442,0.01526717557251908,0.00687633587786259,2.2202486678507993,PASS,0,0,0,0,PASS,0,0,WARN_REVIEW,TRUE,FALSE,1500,1500,1000,0,0,PASS,OPEN_AUTHOR_DISPOSITION_REQUIRED
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,explicit_author_disposition_required,none preapproved,FALSE,110,505,505,8,1479.2833333333333,available,FITTED,TRUE,TRUE,FALSE,WARN_STRONG_TWEEDIE_MISFIT,,,,,0.01367316577228711,0.344,0.056,0.6093011007921009,0.01386138613861386,0.00598811881188118,2.314814814814815,PASS,0,0,0,0,PASS,0,0,WARN_REVIEW,TRUE,FALSE,1500,1500,1000,0,0,PASS,OPEN_AUTHOR_DISPOSITION_REQUIRED
manuscript_prepared_data__chest__all_available,manuscript_prepared_data,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,explicit_author_disposition_required,none preapproved,FALSE,154,867,867,8,,unavailable,FITTED,TRUE,TRUE,FALSE,WARN_TWEEDIE_DIAGNOSTIC,,,,,7.040662103537286e-4,0.384,0.424,0.5679937703209117,0.01038062283737024,0.00735870818915801,1.4106583072100314,PASS,0,0,0,0,PASS,0,0,WARN_REVIEW,FALSE,FALSE,1500,1500,1000,0,0,PASS,WARN_REVIEW
