placement,placement_label,site,site_display_order,site_display_name,site_color_hex,participant_display_index,age,biological_sex
glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,1,21,Male
glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,2,23,Male
glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,3,27,Female
glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,4,34,Female
glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,5,36,Male
glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,6,38,Male
glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,7,40,Female
glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,8,42,Male
glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,9,44,Female
glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,10,50,Female
glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,11,54,Male
glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,12,64,Male
glasses,Near eye (primary),RISE,1,Borås (SE),#88CCEE,13,68,Female
glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,1,19,Female
glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,2,20,Male
glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,3,23,Male
glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,4,24,Male
glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,5,26,Male
glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,6,27,Male
glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,7,29,Male
glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,8,32,Male
glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,9,38,Female
glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,10,39,Female
glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,11,42,Female
glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,12,57,Female
glasses,Near eye (primary),THUAS,2,Delft (NL),#117733,13,59,Female
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,1,20,Male
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,2,21,Female
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,3,22,Female
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,4,23,Female
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,5,24,Female
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,6,26,Male
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,7,27,Female
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,8,29,Female
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,9,33,Male
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,10,37,Female
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,11,39,Female
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,12,40,Male
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,13,41,Male
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,14,43,Male
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,15,46,Male
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,16,48,Male
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,17,60,Male
glasses,Near eye (primary),BAUA,3,Dortmund (DE),#DDCC77,18,62,Female
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,1,22,Female
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,2,22,Female
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,3,22,Female
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,4,24,Male
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,5,24,Male
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,6,25,Female
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,7,25,Female
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,8,25,Female
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,9,25,Female
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,10,27,Male
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,11,27,Male
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,12,27,Male
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,13,27,Female
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,14,27,Male
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,15,28,Female
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,16,28,Male
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,17,28,Male
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,18,28,Female
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,19,28,Female
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,20,29,Male
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,21,29,Male
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,22,30,Male
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,23,33,Female
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,24,34,Female
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,25,38,Male
glasses,Near eye (primary),MPI,4,Tübingen (DE),#DDCC77,26,46,Female
glasses,Near eye (primary),TUM,5,Munich (DE),#DDCC77,1,20,Female
glasses,Near eye (primary),TUM,5,Munich (DE),#DDCC77,2,25,Female
glasses,Near eye (primary),TUM,5,Munich (DE),#DDCC77,3,26,Female
glasses,Near eye (primary),TUM,5,Munich (DE),#DDCC77,4,26,Male
glasses,Near eye (primary),TUM,5,Munich (DE),#DDCC77,5,27,Male
glasses,Near eye (primary),TUM,5,Munich (DE),#DDCC77,6,28,Male
glasses,Near eye (primary),TUM,5,Munich (DE),#DDCC77,7,28,Female
glasses,Near eye (primary),TUM,5,Munich (DE),#DDCC77,8,28,Female
glasses,Near eye (primary),TUM,5,Munich (DE),#DDCC77,9,29,Female
glasses,Near eye (primary),TUM,5,Munich (DE),#DDCC77,10,29,Male
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,1,20,Male
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,2,20,Female
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,3,22,Male
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,4,23,Female
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,5,23,Female
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,6,25,Female
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,7,26,Male
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,8,27,Female
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,9,28,Female
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,10,30,Female
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,11,30,Female
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,12,31,Female
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,13,33,Female
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,14,35,Female
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,15,40,Female
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,16,41,Male
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,17,42,Female
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,18,45,Female
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,19,46,Male
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,20,48,Male
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,21,48,Female
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,22,55,Male
glasses,Near eye (primary),FUSPCEU,6,Madrid (ES),#CC6677,23,56,Male
glasses,Near eye (primary),IZTECH,7,Izmir (TR),#332288,1,21,Male
glasses,Near eye (primary),IZTECH,7,Izmir (TR),#332288,2,21,Female
glasses,Near eye (primary),IZTECH,7,Izmir (TR),#332288,3,22,Male
glasses,Near eye (primary),IZTECH,7,Izmir (TR),#332288,4,23,Female
glasses,Near eye (primary),IZTECH,7,Izmir (TR),#332288,5,23,Male
glasses,Near eye (primary),IZTECH,7,Izmir (TR),#332288,6,23,Female
glasses,Near eye (primary),IZTECH,7,Izmir (TR),#332288,7,23,Female
glasses,Near eye (primary),IZTECH,7,Izmir (TR),#332288,8,24,Female
glasses,Near eye (primary),IZTECH,7,Izmir (TR),#332288,9,24,Male
glasses,Near eye (primary),IZTECH,7,Izmir (TR),#332288,10,24,Male
glasses,Near eye (primary),IZTECH,7,Izmir (TR),#332288,11,25,Female
glasses,Near eye (primary),IZTECH,7,Izmir (TR),#332288,12,25,Female
glasses,Near eye (primary),IZTECH,7,Izmir (TR),#332288,13,26,Female
glasses,Near eye (primary),IZTECH,7,Izmir (TR),#332288,14,27,Female
glasses,Near eye (primary),IZTECH,7,Izmir (TR),#332288,15,27,Female
glasses,Near eye (primary),IZTECH,7,Izmir (TR),#332288,16,29,Male
glasses,Near eye (primary),IZTECH,7,Izmir (TR),#332288,17,32,Female
glasses,Near eye (primary),UCR,8,San José (CR),#44AA99,1,22,Female
glasses,Near eye (primary),UCR,8,San José (CR),#44AA99,2,23,Male
glasses,Near eye (primary),UCR,8,San José (CR),#44AA99,3,23,Female
glasses,Near eye (primary),UCR,8,San José (CR),#44AA99,4,27,Male
glasses,Near eye (primary),UCR,8,San José (CR),#44AA99,5,36,Female
glasses,Near eye (primary),UCR,8,San José (CR),#44AA99,6,42,Female
glasses,Near eye (primary),KNUST,9,Kumasi (GH),#AA4499,1,18,Male
