contract_item,value
status,PASS
r_version,4.6.1
library_paths,/Users/zauner/Library/R/arm64/4.6/library | /Library/Frameworks/R.framework/Versions/4.6/Resources/library
release_manifest_path,audit/report_harmonization/report018_order72_release/release_manifest.csv
release_manifest_sha256,8e25aa779f0115a3a5da9ffcdc3913b81cd6fb06df0c17c9f6d5825356263526
release_manifest_rows_verified,71
frozen_source_path,artifacts/11_source_data/H10/H10_age_site_significant_associations_data.csv
frozen_source_sha256,5f06ab98bada441d02123e56d073e52bfacae75c0277ab73803efd401c33c8fd
frozen_source_rows,322
age_distribution_rows,295
retained_main_rows,11
retained_interaction_rows,16
display_text_path,audit/hypotheses/H10/manuscript_selection_figure_candidate/candidate_display_text.csv
display_text_sha256,e34ffd6de2bf1abb1e50a1474fd8c84611a2cef9ee7a8b9b4e7b971a25bb3ce5
builder_reference_sha256,5a2f9cb8fee62a5f19002405db4bb4868a7a1b13ebc950719335dd33458b8c7c
export_script_path,audit/hypotheses/H10/report018_order72_svg_export/export_h10_selection_svg.R
export_script_sha256,309401b5c73e0841beb6efad1b72df391cb646c0abc173d3e62b32a1628db36a
panel_tags,"uppercase A, B, C"
panel_tag_face,bold
canvas_width_in,9.4
canvas_height_in,13
accepted_raster_width_px,2820
accepted_raster_height_px,3900
intended_display_width_mm,170
svg_width,676.80pt
svg_height,936.00pt
svg_viewBox,0 0 676.80 936.00
svg_sha256,1340491390703f642e30b0284bd4e0416a704015bc717dd2a6e56a8073901799
svg_bytes,88725
resolved_svg_font_family,Arial
resolved_svg_font_path,/System/Library/Fonts/Supplemental/Arial.ttf
resolved_svg_font_sha256,525979822591a3447cfc49d943d6f7683508e25543407871c0ed8fed05fd2bd9
