pin_set,path,expected_sha256,observed_sha256,expected_bytes,observed_bytes,status
explicit H10/order pin,audit/report_harmonization/owner_orders/72_manuscript_svg_exports_released.md,d14575d7c262b01fe58ba85d343f966d5953601a0fb41cc0f61c25279eb4071c,d14575d7c262b01fe58ba85d343f966d5953601a0fb41cc0f61c25279eb4071c,,6898,PASS
explicit H10/order pin,audit/report_harmonization/owner_orders/72_manuscript_svg_exports_proposed.md,d3f329a2149149663c47e5db4514cbb7771b0afb6362afc8b911871068d0ebcd,d3f329a2149149663c47e5db4514cbb7771b0afb6362afc8b911871068d0ebcd,,14878,PASS
explicit H10/order pin,audit/manuscript_nature_health/figure_table_selection_assets/H10_age_site_significant_associations_selection_candidate.png,e989646f21543203ef07916dde8917e85243667d54b5aa492815476edc6c4b60,e989646f21543203ef07916dde8917e85243667d54b5aa492815476edc6c4b60,,460731,PASS
explicit H10/order pin,artifacts/10_figures/H10/H10_age_site_significant_associations.pdf,5f5c5cdf91b62dbe3fbb2cd215d6f1658d1835c62eab5504d9aa3570a60de5cf,5f5c5cdf91b62dbe3fbb2cd215d6f1658d1835c62eab5504d9aa3570a60de5cf,,46187,PASS
explicit H10/order pin,artifacts/11_source_data/H10/H10_age_site_significant_associations_data.csv,5f06ab98bada441d02123e56d073e52bfacae75c0277ab73803efd401c33c8fd,5f06ab98bada441d02123e56d073e52bfacae75c0277ab73803efd401c33c8fd,,41751,PASS
explicit H10/order pin,audit/hypotheses/H10/manuscript_selection_figure_candidate/candidate_display_text.csv,e34ffd6de2bf1abb1e50a1474fd8c84611a2cef9ee7a8b9b4e7b971a25bb3ce5,e34ffd6de2bf1abb1e50a1474fd8c84611a2cef9ee7a8b9b4e7b971a25bb3ce5,,1537,PASS
explicit H10/order pin,audit/hypotheses/H10/manuscript_selection_figure_candidate/build_h10_selection_figure_candidate.R,5a2f9cb8fee62a5f19002405db4bb4868a7a1b13ebc950719335dd33458b8c7c,5a2f9cb8fee62a5f19002405db4bb4868a7a1b13ebc950719335dd33458b8c7c,,19928,PASS
71-row release manifest,artifacts/10_figures/H02/figure4_exact_layout_replication.png,2d31f38a169659b37a16c44b9845605186709e4dc7734a8f97342408711f9ac2,2d31f38a169659b37a16c44b9845605186709e4dc7734a8f97342408711f9ac2,2389678,2389678,PASS
71-row release manifest,artifacts/10_figures/H02/figure4_exact_layout_replication.pdf,daccad7889e79d11980e0543f154421d3d238c0b2c3e34ddae42de3b31106ba4,daccad7889e79d11980e0543f154421d3d238c0b2c3e34ddae42de3b31106ba4,123404,123404,PASS
71-row release manifest,artifacts/11_source_data/H02/figure4_exact_layout_source.rds,63ea7588e5a19f5df64710e54d647b18cc74bc7c87dc7e8829bf65b7dfea825b,63ea7588e5a19f5df64710e54d647b18cc74bc7c87dc7e8829bf65b7dfea825b,212976,212976,PASS
71-row release manifest,scripts/hypotheses/H02/build_h02_figure4_replication.R,aed917fa24180d7e2bb0a30917046f43cf55fcdc50b11e667b175282148d9d00,aed917fa24180d7e2bb0a30917046f43cf55fcdc50b11e667b175282148d9d00,34139,34139,PASS
71-row release manifest,scripts/hypotheses/H02/h02_figure4_pointwise.R,ba6ae587bb8cde296f4273f5c40dd97a073bf1df422c694481404ae8ad3475ae,ba6ae587bb8cde296f4273f5c40dd97a073bf1df422c694481404ae8ad3475ae,21258,21258,PASS
71-row release manifest,scripts/Brown_bracket.R,55f82d40dec1ff287fc2e0a36bc09ca9e8bcb5f382d679410cf5e975b0ac5de0,55f82d40dec1ff287fc2e0a36bc09ca9e8bcb5f382d679410cf5e975b0ac5de0,595,595,PASS
71-row release manifest,artifacts/10_figures/H06/H06_paired_placement_effects.png,e0a63c615a5422d28e1af7d2cc15ca29e65057b7639308c5cbdcb028e25f9478,e0a63c615a5422d28e1af7d2cc15ca29e65057b7639308c5cbdcb028e25f9478,59084,59084,PASS
71-row release manifest,artifacts/10_figures/H06/H06_paired_placement_effects.pdf,035f8a32d2356d33280d6f8945bbef7b4e5ba24d6c0fbd4fe251296eac0c7fa7,035f8a32d2356d33280d6f8945bbef7b4e5ba24d6c0fbd4fe251296eac0c7fa7,13698,13698,PASS
71-row release manifest,artifacts/11_source_data/H06/H06_paired_placement_effects_figure.csv,b50dc0a8db8396666fb1ea8cf18cfbf01bb3bb022973755de0edcf835168fba2,b50dc0a8db8396666fb1ea8cf18cfbf01bb3bb022973755de0edcf835168fba2,1830,1830,PASS
71-row release manifest,scripts/hypotheses/H06/build_h06_stage2_reader_artifacts.R,3588b7440c4d5b0f7614034762c40cb62cb7e0fe36c32ff896dd1237df4c3291,3588b7440c4d5b0f7614034762c40cb62cb7e0fe36c32ff896dd1237df4c3291,17282,17282,PASS
71-row release manifest,artifacts/10_figures/H06/H06_stage3_site_specific_significance_screen.png,88aeef89cda1208a80ead843ca9551011350ed5f78734c57ceee380bf994f02e,88aeef89cda1208a80ead843ca9551011350ed5f78734c57ceee380bf994f02e,191658,191658,PASS
71-row release manifest,artifacts/10_figures/H06/H06_stage3_site_specific_significance_screen.pdf,fc5d39926af682d629bca21966dd68dbc9bda89e51a511003004d033d6185694,fc5d39926af682d629bca21966dd68dbc9bda89e51a511003004d033d6185694,32383,32383,PASS
71-row release manifest,artifacts/11_source_data/H06/H06_stage3_site_specific_significance_screen_figure.csv,8d15804a66a6589b6c6f408db147e65c0fa2a42f71cd32fb1dcd2acd6657d642,8d15804a66a6589b6c6f408db147e65c0fa2a42f71cd32fb1dcd2acd6657d642,49970,49970,PASS
71-row release manifest,scripts/hypotheses/H06/build_h06_stage3_site_specific_screening.R,e92aedc03a2f5e75e9c6ce884498ebb69fa8ea79af4ce122325fc2dd26ebd7cd,e92aedc03a2f5e75e9c6ce884498ebb69fa8ea79af4ce122325fc2dd26ebd7cd,27545,27545,PASS
71-row release manifest,config/site_display_registry.csv,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,295,295,PASS
71-row release manifest,artifacts/10_figures/H05/H05_reader_near_eye_effects.png,70c1013d51f7619fafe0d38664db7dcf55692990993098948ed443e83c35e1a5,70c1013d51f7619fafe0d38664db7dcf55692990993098948ed443e83c35e1a5,487117,487117,PASS
