"page","source_row_zero_based","cell_count","effective_columns","source_row_sha256","copied_row_sha256"
"table_2_a.html",0,4,4,"bb0e0e8df38b5b64c2c41fc23068fae33bb5fd4aa58b288d2e56ef73bbec2cb0","bb0e0e8df38b5b64c2c41fc23068fae33bb5fd4aa58b288d2e56ef73bbec2cb0"
"table_2_a.html",1,4,4,"44019a9135e87e3f9f9854e7fd743681ec591018afb5b2a1aa2ef04471ad126f","44019a9135e87e3f9f9854e7fd743681ec591018afb5b2a1aa2ef04471ad126f"
"table_2_a.html",2,4,4,"644aa938c7ff4e3d49f894275dd741948d689cd0124d663f43614fc071a2d4b8","644aa938c7ff4e3d49f894275dd741948d689cd0124d663f43614fc071a2d4b8"
"table_2_a.html",3,4,4,"65a3d64ed95ec055cbb0a39b53c020f355c4d7f87915c34eb45ed86150db729c","65a3d64ed95ec055cbb0a39b53c020f355c4d7f87915c34eb45ed86150db729c"
"table_2_a.html",4,4,4,"2623f9e3b3bc1418074e7928ecd3511f957110d1ebdd77b4b9c98b05b496d48b","2623f9e3b3bc1418074e7928ecd3511f957110d1ebdd77b4b9c98b05b496d48b"
"table_2_a.html",5,4,4,"e91ff929d33bff79011c4d960014b8e0526931060c32479a9d133661b834fd9d","e91ff929d33bff79011c4d960014b8e0526931060c32479a9d133661b834fd9d"
"table_2_a.html",6,4,4,"1b03a7e64e404b6e85d9a553efb9cadf0fe039e382c5d77b6af4831821e2f0d8","1b03a7e64e404b6e85d9a553efb9cadf0fe039e382c5d77b6af4831821e2f0d8"
"table_2_a.html",7,4,4,"8532290a30f59a4e04040bda041aae7f65f3c8290fb6a9987bf1b57aa4670888","8532290a30f59a4e04040bda041aae7f65f3c8290fb6a9987bf1b57aa4670888"
"table_2_a.html",8,4,4,"dbf3ca13e3ac54fff3af7904fdf79b0b9b681667a2a74776c7e27b1b24d68c95","dbf3ca13e3ac54fff3af7904fdf79b0b9b681667a2a74776c7e27b1b24d68c95"
"table_2_a.html",9,4,4,"37126d2ca8df9374e535b9ad9d56b2954c9b274bdc2ba85f9a8a6449fe7decc3","37126d2ca8df9374e535b9ad9d56b2954c9b274bdc2ba85f9a8a6449fe7decc3"
"table_2_a.html",10,4,4,"cbae675de760075c364ace90f956523497680fbe95c536b530eb2b2a2070de5e","cbae675de760075c364ace90f956523497680fbe95c536b530eb2b2a2070de5e"
"table_2_a.html",11,4,4,"fbe6a6a67ed51ae614561e0edbec468ef73b792b97c4f5b646f3f9a25c8a7fa2","fbe6a6a67ed51ae614561e0edbec468ef73b792b97c4f5b646f3f9a25c8a7fa2"
"table_2_b.html",0,5,5,"362c3569d5167be552c2b0a914316191eac652378a4cc8a72f83c81e6c43a1a4","362c3569d5167be552c2b0a914316191eac652378a4cc8a72f83c81e6c43a1a4"
"table_2_b.html",1,5,5,"afd4a688446c505fea38f63ded7807eb713f5644986a207610f1de3a7712eb04","afd4a688446c505fea38f63ded7807eb713f5644986a207610f1de3a7712eb04"
"table_2_b.html",2,5,5,"a7fd1f0e62744890d5643dc71b99f8a8f64ec385cb6cc038b754d777c9e8e583","a7fd1f0e62744890d5643dc71b99f8a8f64ec385cb6cc038b754d777c9e8e583"
"table_2_b.html",3,5,5,"8d27d2724ded15705db53f2fcc184cca8e6da4111a4e4796e009d3d992c70289","8d27d2724ded15705db53f2fcc184cca8e6da4111a4e4796e009d3d992c70289"
"table_2_b.html",4,5,5,"021094bf787ac2e3391854177acbb3178fb4a0c63a718584afcb6daa43450f07","021094bf787ac2e3391854177acbb3178fb4a0c63a718584afcb6daa43450f07"
