"domain","check","observed","expected","contract_status","evidence_status"
"authority and preservation","controlling and unchanged scientific identities","15/15","15/15","PASS","PASS"
"pre-render gate","unchanged owner verifier and empty process inventory","12/0","12/0","PASS","PASS"
"invocations","single render and helper; no post verifier or browser QA","1/1/1/0/0","1/1/1/0/0","FAIL_CLOSED","PASS"
"semantic contract","actual reversible semantic repair versus sealed count","19/102/591/693","19/102/588/690","FAIL_CLOSED","PASS"
"preparation manifest","helper output rows","553/553","555/555","FAIL_CLOSED","PASS"
"preparation manifest","pre-render to post-helper membership transition","17/16","0 missing/1 added figure asset","FAIL_CLOSED","PASS"
"source-side preservation","historical HTML and support files","0/0","1/16 exact","FAIL_CLOSED","PASS"
"build","post-render build membership","851/871/20/4","851/852/1 target asset/target-owned changes","FAIL_CLOSED","PASS"
"protected inventory","historical exact, missing, and changed rows","524/17/4","545/0/authorized target transitions only","FAIL_CLOSED","PASS"
"figure","target-generated sample-support PNG scientific identity","3116032e2bab0ad904a5cca5cb6353b5c0554e576cf076596671e31ed2caa775/129472","3116032e2bab0ad904a5cca5cb6353b5c0554e576cf076596671e31ed2caa775/129472","PASS","PASS"
