"path","sha256","bytes","role","observed_sha256","observed_bytes","exact","status"
"audit/report_harmonization/owner_orders/57c_h09_environment_process_probe_and_companion_retry.md","8aa2087907c2108f6235394dfadb61b1eca1fbf0e2bd5a320f0eff71c859ea22",9750,"controlling order","8aa2087907c2108f6235394dfadb61b1eca1fbf0e2bd5a320f0eff71c859ea22",9750,TRUE,"PASS"
"audit/report_harmonization/report018_h09_order57b_environment_stop_independent_acceptance.md","1285402d9b1a18a4c4c6d7e96884bee077d66c309d21b686381b92aa7f744749",5205,"independent acceptance","1285402d9b1a18a4c4c6d7e96884bee077d66c309d21b686381b92aa7f744749",5205,TRUE,"PASS"
"audit/report_harmonization/report018_h09_order57b_environment_stop_independent_acceptance_manifest.csv","ed18bfce23bd13de72a7f3f9ec253ee0732b1c9942ce32196bb5d45cd9632f85",5161,"29-row acceptance seal","ed18bfce23bd13de72a7f3f9ec253ee0732b1c9942ce32196bb5d45cd9632f85",5161,TRUE,"PASS"
"audit/report_harmonization/report018_h09_order57c_dispatch_manifest.csv","fd0661c7b66d7ff70004f5fcbc06f1c31597922c2a396bf7461245d8aa86bb6d",5600,"31-row dispatch","fd0661c7b66d7ff70004f5fcbc06f1c31597922c2a396bf7461245d8aa86bb6d",5600,TRUE,"PASS"
"scripts/report_harmonization/check_report018_h09_order57b_environment_stop.R","9a5cd08e47e647f1fe269f0e1f170ffced6d81defc58244af451a63f4e79a937",12243,"independent environment checker","9a5cd08e47e647f1fe269f0e1f170ffced6d81defc58244af451a63f4e79a937",12243,TRUE,"PASS"
"audit/hypotheses/H09/H09_analysis_preparation.qmd","394a976e52faf002cb2034a13353a053aae8bfda8942a79c2eb007017cae014f",51736,"unchanged companion source","394a976e52faf002cb2034a13353a053aae8bfda8942a79c2eb007017cae014f",51736,TRUE,"PASS"
"notebooks/hypotheses/H09.qmd","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",36970,"accepted result source","c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6",36970,TRUE,"PASS"
"_build/nathealth/notebooks/hypotheses/H09.html","901fd63b45182be70ef77166c418633220a7226d86f52e14d1c79afbfc7cdd16",244127,"accepted result HTML","901fd63b45182be70ef77166c418633220a7226d86f52e14d1c79afbfc7cdd16",244127,TRUE,"PASS"
"artifacts/12_manifests/H09/H09_stage3_artifacts.csv","0103aad8bf3b2424358fc139b85b95564054745b180a80d1e12c27ff72e1bef2",24678,"immutable Stage 3 manifest","0103aad8bf3b2424358fc139b85b95564054745b180a80d1e12c27ff72e1bef2",24678,TRUE,"PASS"
"scripts/hypotheses/H09/h09_contract.R","866b0f8736c8a25f50a3f1ce6e38c5d33d4666d4bf06031f0021ee1cb6d0b701",16374,"H09 contract","866b0f8736c8a25f50a3f1ce6e38c5d33d4666d4bf06031f0021ee1cb6d0b701",16374,TRUE,"PASS"
"artifacts/06_model_data/H09/H09_input_audit.csv","1ea3910539378434533dcaeeaee6ab613e325468d99ffd10e02bdc868a4175ed",4401,"H09 input audit","1ea3910539378434533dcaeeaee6ab613e325468d99ffd10e02bdc868a4175ed",4401,TRUE,"PASS"
"scripts/hypotheses/H09/build_h09_preparation_report_manifest.R","c7a320367e0115aee221a3a6ba5228a9a27ba55f734bd07881455b3159cebf56",9753,"unchanged dedicated helper","c7a320367e0115aee221a3a6ba5228a9a27ba55f734bd07881455b3159cebf56",9753,TRUE,"PASS"
"tests/hypotheses/H09/test_h09_preparation_report.R","9a243e391de7069179fcd0ccb7cc6813a5e779b1ae1bf7fcb52706349553dfe7",12824,"unexecuted historical test","9a243e391de7069179fcd0ccb7cc6813a5e779b1ae1bf7fcb52706349553dfe7",12824,TRUE,"PASS"
"_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"accepted profile","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,TRUE,"PASS"
"renv.lock","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,"accepted lockfile","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,TRUE,"PASS"
